Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,6.1031270027160645,10.535250186920166
Sibilant Plural,blazes,protector,9.899518966674805,9.65235185623169
Regular Singular,spark,protector,6.423183441162109,8.569446563720703
Regular Plural,sparks,protector,11.710647583007812,10.802132964134216
Sibilant Singular,breeze,protector,10.103078842163086,15.122087001800537
Sibilant Plural,breezes,protector,15.479530811309814,12.811566352844238
Regular Singular,storm,protector,7.351036548614502,9.593856811523438
Regular Plural,storms,protector,13.354507446289062,9.778220415115356
Sibilant Singular,tax,receivers,9.236848831176758,12.077109932899475
Sibilant Plural,taxes,receivers,8.341650009155273,12.932018518447876
Regular Singular,toll,receivers,12.024391174316406,11.036375761032104
Regular Plural,tolls,receivers,14.305995225906372,13.303375244140625
Sibilant Singular,sex,disparities,8.48808479309082,16.76688814163208
Sibilant Plural,sexes,disparities,13.46397590637207,17.63980460166931
Regular Singular,gender,disparities,9.238309621810913,12.181751012802124
Regular Plural,genders,disparities,14.97360372543335,17.456064105033875
Sibilant Singular,vase,maker,13.60456371307373,7.251797676086426
Sibilant Plural,vases,maker,17.52314853668213,9.460416793823242
Regular Singular,pot,maker,6.787858963012695,3.93064022064209
Regular Plural,pots,maker,8.004803657531738,9.599554061889648
Sibilant Singular,hoax,victims,13.605804681777954,8.05485725402832
Sibilant Plural,hoaxes,victims,15.116650104522705,8.206979751586914
Regular Singular,joke,victims,14.895802021026611,7.271191596984863
Regular Plural,jokes,victims,13.977400302886963,9.79587173461914
Sibilant Singular,phase,classifier,9.618176460266113,20.384396076202393
Sibilant Plural,phases,classifier,11.311377048492432,20.64810049533844
Regular Singular,step,classifier,10.805720329284668,21.26387894153595
Regular Plural,steps,classifier,14.84108829498291,19.82156527042389
Sibilant Singular,hose,installer,8.365626335144043,11.886732816696167
Sibilant Plural,hoses,installer,10.84725570678711,11.523466229438782
Regular Singular,pipe,installer,8.267640113830566,11.656693696975708
Regular Plural,pipes,installer,7.901220083236694,13.511988401412964
Sibilant Singular,fox,chaser,6.469820499420166,8.98115062713623
Sibilant Plural,foxes,chaser,9.574697494506836,8.504667520523071
Regular Singular,wolf,chaser,6.61290979385376,10.52526843547821
Regular Plural,wolves,chaser,9.860101699829102,9.235135078430176
Sibilant Singular,mix,winner,7.653467655181885,13.262693405151367
Sibilant Plural,mixes,winner,11.568590641021729,14.994662284851074
Regular Singular,blend,winner,12.13745665550232,17.836345672607422
Regular Plural,blends,winner,16.47752618789673,14.632505416870117
Sibilant Singular,nose,rashes,12.65654182434082,8.706884622573853
Sibilant Plural,noses,rashes,12.825686514377594,7.610354661941528
Regular Singular,thigh,rashes,16.625520706176758,7.83804714679718
Regular Plural,thighs,rashes,9.960978984832764,9.643352508544922
Sibilant Singular,cause,evaluators,8.144344329833984,14.041051149368286
Sibilant Plural,causes,evaluators,11.55609130859375,16.44268798828125
Regular Singular,loss,evaluators,8.344511032104492,14.07560110092163
Regular Plural,losses,evaluators,9.633713722229004,15.924071073532104
Sibilant Singular,gaze,detector,11.522705078125,7.399449110031128
Sibilant Plural,gazes,detector,18.900139808654785,9.46086859703064
Regular Singular,stare,detector,8.92479133605957,6.836808204650879
Regular Plural,stares,detector,9.181533813476562,10.637179374694824
Sibilant Singular,clause,finder,9.232097625732422,16.33951473236084
Sibilant Plural,clauses,finder,14.219195365905762,15.03707480430603
Regular Singular,article,finder,8.329997062683105,13.807392835617065
Regular Plural,articles,finder,7.911255836486816,14.146908283233643
Sibilant Singular,maze,decoder,9.919466018676758,16.624753952026367
Sibilant Plural,mazes,decoder,10.840009689331055,12.788476943969727
Regular Singular,web,decoder,11.30405044555664,12.68656873703003
Regular Plural,webs,decoder,15.967541217803955,13.57619047164917
Sibilant Singular,quiz,expert,10.072552680969238,7.101135730743408
Sibilant Plural,quizzes,expert,15.896477699279785,7.206235885620117
Regular Singular,puzzle,expert,7.588052749633789,6.1216020584106445
Regular Plural,puzzles,expert,10.494280815124512,5.548658847808838
Sibilant Singular,fax,man,4.781351089477539,3.9977505207061768
Sibilant Plural,faxes,man,10.981709957122803,4.438511371612549
Regular Singular,copy,man,9.487479209899902,4.414927005767822
Regular Plural,copies,man,11.47144889831543,3.7859175205230713
Sibilant Singular,size,device,8.116680145263672,8.203512191772461
Sibilant Plural,sizes,device,13.608291625976562,10.008639335632324
Regular Singular,shape,device,9.223618507385254,10.413908004760742
Regular Plural,shapes,device,8.697399139404297,10.77873420715332
Sibilant Singular,praise,getter,10.506071090698242,17.303032875061035
Sibilant Plural,praises,getter,12.406054973602295,18.337088584899902
Regular Singular,compliment,getter,13.245010375976562,19.288321495056152
Regular Plural,compliments,getter,13.655902862548828,18.69556713104248
Sibilant Singular,prize,recipient,9.866186141967773,10.605708360671997
Sibilant Plural,prizes,recipient,11.529475212097168,11.739108324050903
Regular Singular,award,recipient,10.865973472595215,7.223810911178589
Regular Plural,awards,recipient,14.202690124511719,9.007740020751953
Sibilant Singular,box,lifters,8.6134033203125,13.438336849212646
