Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.470407247543335,23.950364351272583
Sibilant Plural,blazes,protector,18.134851455688477,23.430177211761475
Regular Singular,spark,protector,26.225942850112915,29.31195306777954
Regular Plural,sparks,protector,33.41306710243225,23.756375312805176
Sibilant Singular,breeze,protector,7.6386497020721436,13.34267282485962
Sibilant Plural,breezes,protector,12.151626825332642,11.538437604904175
Regular Singular,storm,protector,7.485862493515015,11.723273277282715
Regular Plural,storms,protector,12.603763341903687,10.445602416992188
Sibilant Singular,tax,receivers,6.822405815124512,9.059749126434326
Sibilant Plural,taxes,receivers,7.056064128875732,11.354252338409424
Regular Singular,toll,receivers,11.001448154449463,14.906079769134521
Regular Plural,tolls,receivers,17.628533840179443,9.220924377441406
Sibilant Singular,sex,disparities,7.9361491203308105,15.95346450805664
Sibilant Plural,sexes,disparities,10.773410081863403,15.192196607589722
Regular Singular,gender,disparities,7.464340686798096,16.044720888137817
Regular Plural,genders,disparities,11.254703044891357,18.280282974243164
Sibilant Singular,vase,maker,12.272189617156982,7.073640823364258
Sibilant Plural,vases,maker,19.827322006225586,8.831350803375244
Regular Singular,pot,maker,2.5937304496765137,7.989199638366699
Regular Plural,pots,maker,6.897164821624756,8.810296773910522
Sibilant Singular,hoax,victims,25.0228853225708,34.36547231674194
Sibilant Plural,hoaxes,victims,32.46129846572876,35.371504068374634
Regular Singular,joke,victims,19.75675058364868,39.433162212371826
Regular Plural,jokes,victims,26.658181190490723,34.53018116950989
Sibilant Singular,phase,classifier,12.529510259628296,25.439721822738647
Sibilant Plural,phases,classifier,18.739527702331543,25.323734283447266
Regular Singular,step,classifier,13.79525351524353,31.359328031539917
Regular Plural,steps,classifier,18.14488196372986,27.419766187667847
Sibilant Singular,hose,installer,4.589029550552368,7.638591527938843
Sibilant Plural,hoses,installer,7.079223394393921,11.086700439453125
Regular Singular,pipe,installer,9.139161348342896,9.486798524856567
Regular Plural,pipes,installer,11.26118516921997,9.197938442230225
Sibilant Singular,fox,chaser,5.409127473831177,10.38569974899292
Sibilant Plural,foxes,chaser,9.812992334365845,10.796714782714844
Regular Singular,wolf,chaser,3.904172420501709,11.685020923614502
Regular Plural,wolves,chaser,5.879054546356201,13.611950874328613
Sibilant Singular,mix,winner,4.557508945465088,12.424077033996582
Sibilant Plural,mixes,winner,6.922120094299316,12.630804538726807
Regular Singular,blend,winner,11.448030948638916,15.264467239379883
Regular Plural,blends,winner,17.3851637840271,13.861987113952637
Sibilant Singular,nose,rashes,9.592226028442383,20.57164716720581
Sibilant Plural,noses,rashes,15.98485016822815,19.752981185913086
Regular Singular,thigh,rashes,7.690547466278076,20.08070135116577
Regular Plural,thighs,rashes,10.341385126113892,20.248988389968872
Sibilant Singular,cause,evaluators,8.341157674789429,20.665050983428955
Sibilant Plural,causes,evaluators,11.303217649459839,21.597756385803223
Regular Singular,loss,evaluators,2.8707618713378906,19.858587741851807
Regular Plural,losses,evaluators,3.5622100830078125,21.991058588027954
Sibilant Singular,gaze,detector,10.101335525512695,23.191688060760498
Sibilant Plural,gazes,detector,13.566680192947388,22.289469003677368
Regular Singular,stare,detector,9.002230405807495,25.69096302986145
Regular Plural,stares,detector,16.849276781082153,22.029271602630615
Sibilant Singular,clause,finder,11.35152006149292,11.291909217834473
Sibilant Plural,clauses,finder,14.588449716567993,13.826493263244629
Regular Singular,article,finder,3.403087615966797,10.574571132659912
Regular Plural,articles,finder,4.244736194610596,11.362625360488892
Sibilant Singular,maze,decoder,4.378410816192627,17.915018320083618
Sibilant Plural,mazes,decoder,4.785436630249023,23.10360097885132
Regular Singular,web,decoder,9.431333065032959,22.288007974624634
Regular Plural,webs,decoder,14.132284164428711,15.281140089035034
Sibilant Singular,quiz,expert,9.389544486999512,10.452735662460327
Sibilant Plural,quizzes,expert,13.92297077178955,9.113946437835693
Regular Singular,puzzle,expert,3.9035215377807617,9.53527021408081
Regular Plural,puzzles,expert,4.917409420013428,10.161701679229736
Sibilant Singular,fax,man,2.1248879432678223,4.385219573974609
Sibilant Plural,faxes,man,8.543907642364502,4.77105450630188
Regular Singular,copy,man,10.547557830810547,4.782289981842041
Regular Plural,copies,man,12.31709361076355,7.171097278594971
Sibilant Singular,size,device,8.187856674194336,10.214659690856934
Sibilant Plural,sizes,device,14.081669330596924,6.177250385284424
Regular Singular,shape,device,4.321606874465942,6.684904098510742
Regular Plural,shapes,device,5.477236986160278,5.938765048980713
Sibilant Singular,praise,getter,5.141418218612671,10.888872146606445
Sibilant Plural,praises,getter,6.217819929122925,14.838273286819458
Regular Singular,compliment,getter,10.15696406364441,15.512123346328735
Regular Plural,compliments,getter,11.877994060516357,15.258797645568848
Sibilant Singular,prize,recipient,6.8601837158203125,11.522677421569824
Sibilant Plural,prizes,recipient,8.473702907562256,12.92333459854126
Regular Singular,award,recipient,10.036145210266113,11.456957817077637
Regular Plural,awards,recipient,11.65593957901001,11.048202514648438
Sibilant Singular,box,lifters,9.455390214920044,16.083298683166504
Sibilant Plural,boxes,lifters,13.749181747436523,18.30467176437378
Regular Singular,pack,lifters,6.401543855667114,26.26062774658203
Regular Plural,packs,lifters,7.005228757858276,21.98391842842102
Sibilant Singular,rose,gardeners,3.981208324432373,8.885340690612793
Sibilant Plural,roses,gardeners,4.058008670806885,11.465325355529785
Regular Singular,flower,gardeners,3.968104124069214,5.582640647888184
Regular Plural,flowers,gardeners,4.202063322067261,10.779452085494995
Sibilant Singular,bruise,healer,13.067350387573242,14.909330368041992
Sibilant Plural,bruises,healer,18.614495992660522,14.383960247039795
Regular Singular,sore,healer,8.796902656555176,16.622517347335815
Regular Plural,sores,healer,13.75806999206543,15.020707130432129
Sibilant Singular,rise,addict,9.849872589111328,17.796128511428833
Sibilant Plural,rises,addict,16.317466020584106,17.75681185722351
Regular Singular,drop,addict,12.262974739074707,20.20931649208069
Regular Plural,drops,addict,18.587035655975342,20.83911967277527
