Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,11.564011096954346,36.364994525909424
Sibilant Plural,blazes,protector,21.2925763130188,35.14002013206482
Regular Singular,spark,protector,25.438404321670532,33.55350852012634
Regular Plural,sparks,protector,27.98807168006897,33.10019135475159
Sibilant Singular,breeze,protector,6.813593626022339,47.001951932907104
Sibilant Plural,breezes,protector,13.129358053207397,43.55701160430908
Regular Singular,storm,protector,7.792561292648315,37.9894380569458
Regular Plural,storms,protector,13.407920122146606,36.6324520111084
Sibilant Singular,tax,receivers,7.108562707901001,6.5771026611328125
Sibilant Plural,taxes,receivers,7.429077625274658,11.235064506530762
Regular Singular,toll,receivers,14.641059398651123,5.923097133636475
Regular Plural,tolls,receivers,15.927537441253662,10.862629890441895
Sibilant Singular,sex,disparities,8.077759742736816,17.158679723739624
Sibilant Plural,sexes,disparities,12.641464710235596,17.169204473495483
Regular Singular,gender,disparities,8.634467124938965,14.187528610229492
Regular Plural,genders,disparities,10.906342506408691,16.864852905273438
Sibilant Singular,vase,maker,18.261852264404297,19.728259325027466
Sibilant Plural,vases,maker,20.898224353790283,20.2452712059021
Regular Singular,pot,maker,8.383961915969849,20.988810300827026
Regular Plural,pots,maker,11.618097066879272,20.61038327217102
Sibilant Singular,hoax,victims,16.47948718070984,26.240394592285156
Sibilant Plural,hoaxes,victims,20.616013288497925,26.075446844100952
Regular Singular,joke,victims,14.872409582138062,26.353379011154175
Regular Plural,jokes,victims,18.204896688461304,26.097303867340088
Sibilant Singular,phase,classifier,10.645551443099976,29.388654708862305
Sibilant Plural,phases,classifier,17.37981081008911,29.508962631225586
Regular Singular,step,classifier,16.318430185317993,30.121891736984253
Regular Plural,steps,classifier,18.619913339614868,30.139426231384277
Sibilant Singular,hose,installer,4.630295276641846,8.168664455413818
Sibilant Plural,hoses,installer,5.5126495361328125,10.754840850830078
Regular Singular,pipe,installer,8.93606448173523,7.823809862136841
Regular Plural,pipes,installer,10.30654788017273,10.256725072860718
Sibilant Singular,fox,chaser,7.026474714279175,10.863730907440186
Sibilant Plural,foxes,chaser,11.78011155128479,9.19070291519165
Regular Singular,wolf,chaser,3.8893418312072754,12.06034517288208
Regular Plural,wolves,chaser,7.315491199493408,13.246113300323486
Sibilant Singular,mix,winner,6.27406120300293,12.791578769683838
Sibilant Plural,mixes,winner,9.42771053314209,13.014183044433594
Regular Singular,blend,winner,10.48555850982666,13.54906415939331
Regular Plural,blends,winner,14.556689739227295,12.236260414123535
Sibilant Singular,nose,rashes,11.76811695098877,18.72769808769226
Sibilant Plural,noses,rashes,20.921486854553223,18.73109269142151
Regular Singular,thigh,rashes,7.391456604003906,18.246684551239014
Regular Plural,thighs,rashes,6.549216270446777,18.313910484313965
