Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,11.864078998565674,11.273022651672363
Sibilant Plural,blazes,protector,15.27037501335144,12.73310899734497
Regular Singular,spark,protector,12.213436126708984,10.74853801727295
Regular Plural,sparks,protector,14.175381183624268,12.603667259216309
Sibilant Singular,breeze,protector,9.145859718322754,16.445801258087158
Sibilant Plural,breezes,protector,16.95893955230713,14.620844841003418
Regular Singular,storm,protector,8.525192260742188,15.721533298492432
Regular Plural,storms,protector,13.03052043914795,15.730000495910645
Sibilant Singular,tax,receivers,10.514581680297852,14.111507415771484
Sibilant Plural,taxes,receivers,10.872268676757812,18.83628559112549
Regular Singular,toll,receivers,14.887726783752441,15.632638931274414
Regular Plural,tolls,receivers,16.791144132614136,17.39556884765625
Sibilant Singular,sex,disparities,8.24744987487793,18.00851345062256
Sibilant Plural,sexes,disparities,12.513556003570557,20.25672674179077
Regular Singular,gender,disparities,10.758986473083496,19.323341846466064
Regular Plural,genders,disparities,19.8850040435791,20.759751796722412
Sibilant Singular,vase,maker,11.916266918182373,10.176946640014648
Sibilant Plural,vases,maker,14.458249568939209,11.909518718719482
Regular Singular,pot,maker,9.56702709197998,13.61828327178955
Regular Plural,pots,maker,12.284634590148926,11.870477676391602
Sibilant Singular,hoax,victims,21.311506271362305,9.496267318725586
Sibilant Plural,hoaxes,victims,22.150530099868774,11.222009658813477
Regular Singular,joke,victims,9.990625381469727,10.525309562683105
Regular Plural,jokes,victims,12.380468368530273,11.228508949279785
Sibilant Singular,phase,classifier,10.860166549682617,22.06850528717041
Sibilant Plural,phases,classifier,11.150214195251465,20.896060943603516
Regular Singular,step,classifier,9.179567337036133,22.0945987701416
Regular Plural,steps,classifier,8.682727813720703,23.392919540405273
Sibilant Singular,hose,installer,13.496576309204102,16.58965253829956
Sibilant Plural,hoses,installer,16.473403453826904,17.32439947128296
Regular Singular,pipe,installer,11.105086326599121,16.44036865234375
Regular Plural,pipes,installer,11.182088255882263,18.105332374572754
Sibilant Singular,fox,chaser,8.380472183227539,19.991381645202637
Sibilant Plural,foxes,chaser,13.293921947479248,18.267712593078613
Regular Singular,wolf,chaser,9.04161548614502,21.634915351867676
Regular Plural,wolves,chaser,12.89360523223877,19.83419132232666
Sibilant Singular,mix,winner,7.8730010986328125,9.148921012878418
Sibilant Plural,mixes,winner,14.630218982696533,10.091107368469238
Regular Singular,blend,winner,12.040623903274536,9.498783111572266
Regular Plural,blends,winner,13.064432621002197,10.80986213684082
Sibilant Singular,nose,rashes,10.832744598388672,15.157538414001465
Sibilant Plural,noses,rashes,13.155663013458252,19.499408721923828
Regular Singular,thigh,rashes,13.652239322662354,16.02472162246704
Regular Plural,thighs,rashes,14.0486421585083,17.815293312072754
Sibilant Singular,cause,evaluators,8.404874801635742,19.256159782409668
Sibilant Plural,causes,evaluators,11.89863109588623,20.262386322021484
Regular Singular,loss,evaluators,8.816218376159668,20.680735111236572
Regular Plural,losses,evaluators,12.421905517578125,20.49934148788452
