Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,5.906289100646973,11.334444999694824
Sibilant Plural,blazes,protector,6.895011901855469,11.742321968078613
Regular Singular,spark,protector,7.592080116271973,12.728511810302734
Regular Plural,sparks,protector,9.328346252441406,11.794608116149902
Sibilant Singular,breeze,protector,8.545866012573242,15.9520902633667
Sibilant Plural,breezes,protector,13.374639511108398,16.583926677703857
Regular Singular,storm,protector,8.230246543884277,14.673559188842773
Regular Plural,storms,protector,15.439297676086426,18.850838661193848
Sibilant Singular,tax,receivers,9.096099853515625,14.050073623657227
Sibilant Plural,taxes,receivers,8.156205177307129,15.775618553161621
Regular Singular,toll,receivers,10.994443893432617,13.035566329956055
Regular Plural,tolls,receivers,12.60410213470459,13.812251091003418
Sibilant Singular,sex,disparities,6.695369720458984,18.620637893676758
Sibilant Plural,sexes,disparities,12.406223773956299,21.300935745239258
Regular Singular,gender,disparities,5.748674392700195,16.511662483215332
Regular Plural,genders,disparities,11.949795246124268,21.232563018798828
Sibilant Singular,vase,maker,10.270992279052734,8.683629035949707
Sibilant Plural,vases,maker,13.03794813156128,9.373102188110352
Regular Singular,pot,maker,8.707758903503418,4.813473701477051
Regular Plural,pots,maker,14.103373527526855,6.888422012329102
Sibilant Singular,hoax,victims,12.760641098022461,10.58735466003418
Sibilant Plural,hoaxes,victims,16.364776611328125,9.254573822021484
Regular Singular,joke,victims,12.773646354675293,7.686743259429932
Regular Plural,jokes,victims,14.782766342163086,11.472372055053711
Sibilant Singular,phase,classifier,7.5563764572143555,19.46894359588623
Sibilant Plural,phases,classifier,9.3674955368042,25.69841194152832
Regular Singular,step,classifier,6.820285797119141,22.777856826782227
Regular Plural,steps,classifier,7.616002082824707,27.076619148254395
Sibilant Singular,hose,installer,8.607985496520996,8.362036228179932
Sibilant Plural,hoses,installer,10.01762580871582,13.406837463378906
Regular Singular,pipe,installer,5.838720321655273,9.930768966674805
Regular Plural,pipes,installer,7.982517719268799,13.826910018920898
Sibilant Singular,fox,chaser,5.509204864501953,4.895633697509766
Sibilant Plural,foxes,chaser,10.340170860290527,12.32687759399414
Regular Singular,wolf,chaser,4.062222480773926,8.826815605163574
Regular Plural,wolves,chaser,9.517509460449219,11.127667427062988
Sibilant Singular,mix,winner,8.064918518066406,14.216585159301758
Sibilant Plural,mixes,winner,9.941763877868652,14.690454483032227
Regular Singular,blend,winner,10.308141708374023,12.238938331604004
Regular Plural,blends,winner,14.537023544311523,12.40443229675293
