Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,14.864616394042969,17.24685287475586
Sibilant Plural,blazes,protector,13.986554861068726,17.28017234802246
Regular Singular,spark,protector,12.10690689086914,15.275684356689453
Regular Plural,sparks,protector,15.94196891784668,10.485342979431152
Sibilant Singular,breeze,protector,11.336504936218262,14.206798553466797
Sibilant Plural,breezes,protector,14.59793996810913,10.028886795043945
Regular Singular,storm,protector,8.455083847045898,11.247246742248535
Regular Plural,storms,protector,13.683087348937988,12.798636436462402
Sibilant Singular,tax,receivers,10.464239120483398,13.487695693969727
Sibilant Plural,taxes,receivers,9.567187309265137,18.196670532226562
Regular Singular,toll,receivers,14.601895332336426,9.18929386138916
Regular Plural,tolls,receivers,18.704054355621338,12.66858196258545
Sibilant Singular,sex,disparities,11.016226768493652,16.428972244262695
Sibilant Plural,sexes,disparities,18.442358016967773,22.32554054260254
Regular Singular,gender,disparities,10.85692024230957,14.740419387817383
Regular Plural,genders,disparities,15.663050651550293,19.115629196166992
Sibilant Singular,vase,maker,14.572790145874023,7.835704803466797
Sibilant Plural,vases,maker,20.50050449371338,8.58816146850586
Regular Singular,pot,maker,13.179638862609863,6.274886608123779
Regular Plural,pots,maker,16.49090576171875,6.124077320098877
Sibilant Singular,hoax,victims,14.318567276000977,6.842979907989502
Sibilant Plural,hoaxes,victims,28.561004638671875,9.49387264251709
Regular Singular,joke,victims,9.654868125915527,7.82120943069458
Regular Plural,jokes,victims,14.649145126342773,9.405759811401367
Sibilant Singular,phase,classifier,12.842496871948242,19.15834140777588
Sibilant Plural,phases,classifier,13.365476608276367,29.50388813018799
Regular Singular,step,classifier,11.156332015991211,20.535383224487305
Regular Plural,steps,classifier,10.823266983032227,25.424707412719727
Sibilant Singular,hose,installer,11.536296844482422,10.157453536987305
Sibilant Plural,hoses,installer,12.494696378707886,14.919846534729004
Regular Singular,pipe,installer,11.092501640319824,12.004392623901367
Regular Plural,pipes,installer,12.716642379760742,14.429591178894043
Sibilant Singular,fox,chaser,12.779684066772461,16.7788143157959
Sibilant Plural,foxes,chaser,17.211092472076416,16.13611888885498
Regular Singular,wolf,chaser,9.194512367248535,20.562851905822754
Regular Plural,wolves,chaser,14.885229110717773,18.981689453125
Sibilant Singular,mix,winner,7.665490627288818,19.228235244750977
Sibilant Plural,mixes,winner,12.489364624023438,17.08953094482422
Regular Singular,blend,winner,10.648372650146484,20.161991119384766
Regular Plural,blends,winner,15.418598175048828,13.9288969039917
Sibilant Singular,nose,rashes,13.432146072387695,9.973859786987305
Sibilant Plural,noses,rashes,18.6207218170166,19.001336097717285
Regular Singular,thigh,rashes,17.769853591918945,14.248662948608398
Regular Plural,thighs,rashes,15.543992042541504,16.80283832550049
Sibilant Singular,cause,evaluators,11.921579360961914,23.12873077392578
Sibilant Plural,causes,evaluators,12.668386459350586,22.979653358459473
Regular Singular,loss,evaluators,12.871835708618164,25.786268711090088
Regular Plural,losses,evaluators,14.66202163696289,22.970853805541992
Sibilant Singular,gaze,detector,10.310680389404297,14.570144653320312
Sibilant Plural,gazes,detector,18.697888374328613,10.384276390075684
Regular Singular,stare,detector,11.962287902832031,9.586243629455566
Regular Plural,stares,detector,12.865060806274414,14.613631248474121
Sibilant Singular,clause,finder,9.77708625793457,24.91440486907959
Sibilant Plural,clauses,finder,12.081748962402344,24.00715923309326
Regular Singular,article,finder,10.429971694946289,24.743998527526855
Regular Plural,articles,finder,7.957859039306641,26.983444213867188
Sibilant Singular,maze,decoder,13.12011432647705,19.679429054260254
Sibilant Plural,mazes,decoder,11.45404863357544,24.475327491760254
Regular Singular,web,decoder,12.894734382629395,21.719178199768066
Regular Plural,webs,decoder,16.36294174194336,23.11528491973877
Sibilant Singular,quiz,expert,12.250290870666504,10.021482467651367
Sibilant Plural,quizzes,expert,13.12657368183136,12.530081748962402
Regular Singular,puzzle,expert,11.274298667907715,7.6308746337890625
Regular Plural,puzzles,expert,11.134251594543457,11.468430519104004
Sibilant Singular,fax,man,9.801990509033203,10.000593185424805
Sibilant Plural,faxes,man,17.78450298309326,9.060454368591309
Regular Singular,copy,man,9.592690467834473,9.839010238647461
Regular Plural,copies,man,12.55103588104248,11.425237655639648
Sibilant Singular,size,device,11.350443840026855,11.320778846740723
Sibilant Plural,sizes,device,18.1925048828125,13.523233413696289
Regular Singular,shape,device,12.977888107299805,13.335976600646973
Regular Plural,shapes,device,11.556333541870117,13.581064224243164
Sibilant Singular,praise,getter,12.561944961547852,23.529470443725586
Sibilant Plural,praises,getter,11.867756843566895,22.517921447753906
Regular Singular,compliment,getter,11.672916412353516,24.010339736938477
Regular Plural,compliments,getter,13.94534969329834,19.82155704498291
Sibilant Singular,prize,recipient,9.086523056030273,15.135616302490234
Sibilant Plural,prizes,recipient,16.310449600219727,15.490251541137695
Regular Singular,award,recipient,9.201885223388672,14.696313858032227
Regular Plural,awards,recipient,11.993492126464844,15.733389854431152
Sibilant Singular,box,lifters,11.284618377685547,19.837413787841797
Sibilant Plural,boxes,lifters,12.79538631439209,23.55813217163086
Regular Singular,pack,lifters,13.920980453491211,19.36855411529541
Regular Plural,packs,lifters,12.08096694946289,23.408973693847656
Sibilant Singular,rose,gardeners,14.704030990600586,12.28095555305481
Sibilant Plural,roses,gardeners,10.57748794555664,15.912853240966797
Regular Singular,flower,gardeners,11.170513153076172,8.735690355300903
Regular Plural,flowers,gardeners,8.700706481933594,15.60754680633545
Sibilant Singular,bruise,healer,12.865112543106079,12.564029693603516
Sibilant Plural,bruises,healer,16.648157119750977,20.64697265625
Regular Singular,sore,healer,13.403074264526367,12.63530158996582
Regular Plural,sores,healer,5.09929895401001,17.377790451049805
Sibilant Singular,rise,addict,15.012385368347168,12.283182144165039
Sibilant Plural,rises,addict,17.402414321899414,15.044788360595703
Regular Singular,drop,addict,7.898475646972656,12.05093002319336
Regular Plural,drops,addict,16.470365524291992,6.312008857727051
