Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.605764389038086,14.743839263916016
Sibilant Plural,blazes,protector,19.377033233642578,12.92396354675293
Regular Singular,spark,protector,13.193281173706055,11.6766357421875
Regular Plural,sparks,protector,15.117453575134277,13.738506317138672
Sibilant Singular,breeze,protector,10.879043579101562,13.174453735351562
Sibilant Plural,breezes,protector,18.12285804748535,13.875077247619629
Regular Singular,storm,protector,8.417486190795898,13.59912395477295
Regular Plural,storms,protector,12.5787353515625,11.685304641723633
Sibilant Singular,tax,receivers,10.715824127197266,16.843417644500732
Sibilant Plural,taxes,receivers,10.163901329040527,21.104797840118408
Regular Singular,toll,receivers,13.925859451293945,17.312763690948486
Regular Plural,tolls,receivers,17.957988262176514,20.28757953643799
Sibilant Singular,sex,disparities,9.484503746032715,21.053317070007324
Sibilant Plural,sexes,disparities,16.33936309814453,20.547478675842285
Regular Singular,gender,disparities,9.368816375732422,19.83366298675537
Regular Plural,genders,disparities,19.792583465576172,20.725379943847656
Sibilant Singular,vase,maker,11.128646850585938,9.897536277770996
Sibilant Plural,vases,maker,17.42560386657715,10.997332572937012
Regular Singular,pot,maker,10.617935180664062,8.835893630981445
Regular Plural,pots,maker,13.043161392211914,10.215160369873047
Sibilant Singular,hoax,victims,17.836352348327637,10.391244888305664
Sibilant Plural,hoaxes,victims,22.777379989624023,11.059109687805176
Regular Singular,joke,victims,11.07514476776123,11.001100540161133
Regular Plural,jokes,victims,11.600278854370117,12.644822120666504
Sibilant Singular,phase,classifier,12.634953498840332,22.705042839050293
Sibilant Plural,phases,classifier,13.122836112976074,23.52149772644043
Regular Singular,step,classifier,9.674675941467285,22.085612297058105
Regular Plural,steps,classifier,11.547307014465332,22.96712303161621
Sibilant Singular,hose,installer,10.889819145202637,15.728166580200195
Sibilant Plural,hoses,installer,16.161117553710938,16.723974227905273
Regular Singular,pipe,installer,10.720525741577148,16.06284809112549
Regular Plural,pipes,installer,10.859827995300293,16.228588104248047
Sibilant Singular,fox,chaser,9.390865325927734,14.151935577392578
Sibilant Plural,foxes,chaser,13.547273635864258,14.209124565124512
Regular Singular,wolf,chaser,8.940702438354492,14.902185440063477
Regular Plural,wolves,chaser,10.244817733764648,14.97256088256836
Sibilant Singular,mix,winner,9.268146514892578,11.109524726867676
Sibilant Plural,mixes,winner,15.190638542175293,12.348129272460938
Regular Singular,blend,winner,12.072559356689453,10.991739273071289
Regular Plural,blends,winner,16.12220001220703,12.883771896362305
Sibilant Singular,nose,rashes,11.967536926269531,13.793586730957031
Sibilant Plural,noses,rashes,13.685566902160645,16.792940139770508
Regular Singular,thigh,rashes,13.97541618347168,13.659143924713135
Regular Plural,thighs,rashes,18.526612281799316,15.425330638885498
Sibilant Singular,cause,evaluators,10.731975555419922,29.346359252929688
Sibilant Plural,causes,evaluators,12.097384452819824,29.082165718078613
Regular Singular,loss,evaluators,10.756234169006348,29.831421852111816
Regular Plural,losses,evaluators,11.824177742004395,28.45191764831543
Sibilant Singular,gaze,detector,12.977340698242188,9.548046112060547
Sibilant Plural,gazes,detector,16.14996910095215,10.274408340454102
Regular Singular,stare,detector,13.758731842041016,9.676962852478027
Regular Plural,stares,detector,15.31095266342163,10.099318504333496
Sibilant Singular,clause,finder,10.754673957824707,21.0941219329834
Sibilant Plural,clauses,finder,13.853398323059082,19.857147216796875
Regular Singular,article,finder,8.80387020111084,18.960144996643066
Regular Plural,articles,finder,11.688864707946777,19.688955307006836
Sibilant Singular,maze,decoder,11.948955535888672,23.578417778015137
Sibilant Plural,mazes,decoder,17.504364013671875,22.93679428100586
Regular Singular,web,decoder,9.450355529785156,22.983495712280273
Regular Plural,webs,decoder,15.702311515808105,23.767179012298584
Sibilant Singular,quiz,expert,9.53064250946045,10.2613525390625
Sibilant Plural,quizzes,expert,20.073643684387207,11.734673500061035
Regular Singular,puzzle,expert,10.867456436157227,12.543736457824707
Regular Plural,puzzles,expert,11.54951000213623,12.266654968261719
Sibilant Singular,fax,man,11.56054401397705,7.303531646728516
Sibilant Plural,faxes,man,17.292497634887695,8.149070739746094
Regular Singular,copy,man,9.146675109863281,9.743988990783691
Regular Plural,copies,man,10.8654203414917,10.592989921569824
Sibilant Singular,size,device,8.362717628479004,8.528420448303223
Sibilant Plural,sizes,device,13.357429504394531,11.280660629272461
Regular Singular,shape,device,8.822060585021973,8.494203567504883
Regular Plural,shapes,device,11.265244483947754,9.490279197692871
Sibilant Singular,praise,getter,10.04946517944336,20.690397262573242
Sibilant Plural,praises,getter,13.84406852722168,19.187580108642578
Regular Singular,compliment,getter,10.844002723693848,20.32748794555664
Regular Plural,compliments,getter,16.085498809814453,20.653085708618164
Sibilant Singular,prize,recipient,9.890237808227539,12.874967575073242
Sibilant Plural,prizes,recipient,11.105274200439453,15.374247550964355
Regular Singular,award,recipient,10.883115768432617,13.227721214294434
Regular Plural,awards,recipient,10.386171340942383,14.308514595031738
Sibilant Singular,box,lifters,10.715156555175781,18.011526107788086
Sibilant Plural,boxes,lifters,8.717618942260742,19.50188398361206
Regular Singular,pack,lifters,10.148279190063477,17.937194347381592
Regular Plural,packs,lifters,11.597115993499756,19.3065505027771
Sibilant Singular,rose,gardeners,10.407693862915039,13.374678134918213
Sibilant Plural,roses,gardeners,8.82293701171875,16.670211791992188
Regular Singular,flower,gardeners,8.297021865844727,13.905789852142334
Regular Plural,flowers,gardeners,7.0846076011657715,17.595829486846924
Sibilant Singular,bruise,healer,14.621334552764893,14.395245552062988
Sibilant Plural,bruises,healer,12.991662979125977,15.142054557800293
Regular Singular,sore,healer,12.311408996582031,12.881580352783203
Regular Plural,sores,healer,15.27816915512085,13.725223541259766
Sibilant Singular,rise,addict,12.327770233154297,10.387113571166992
Sibilant Plural,rises,addict,14.696557998657227,9.275014877319336
Regular Singular,drop,addict,8.80209732055664,11.567770004272461
Regular Plural,drops,addict,12.091434478759766,10.723729133605957
