Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,14.323874473571777,12.372641563415527
Sibilant Plural,blazes,protector,7.511860698461533,14.677038192749023
Regular Singular,spark,protector,11.17595386505127,10.192327499389648
Regular Plural,sparks,protector,13.257880926132202,15.2567777633667
Sibilant Singular,breeze,protector,9.849691390991211,16.150890350341797
Sibilant Plural,breezes,protector,12.858646392822266,15.027698516845703
Regular Singular,storm,protector,9.11663818359375,16.010372161865234
Regular Plural,storms,protector,14.445147037506104,19.280481338500977
Sibilant Singular,tax,receivers,8.9475736618042,11.270748138427734
Sibilant Plural,taxes,receivers,10.01999282836914,16.149459838867188
Regular Singular,toll,receivers,17.803390502929688,15.144989013671875
Regular Plural,tolls,receivers,22.075416564941406,15.4271821975708
Sibilant Singular,sex,disparities,5.921769142150879,16.74271249771118
Sibilant Plural,sexes,disparities,7.592859268188477,21.39825677871704
Regular Singular,gender,disparities,7.986339569091797,16.787607669830322
Regular Plural,genders,disparities,16.168399810791016,21.471651554107666
Sibilant Singular,vase,maker,11.207295417785645,8.717643737792969
Sibilant Plural,vases,maker,13.764318466186523,8.129106998443604
Regular Singular,pot,maker,9.885129928588867,9.071781635284424
Regular Plural,pots,maker,14.366415023803711,8.268654823303223
Sibilant Singular,hoax,victims,19.378515243530273,9.708780288696289
Sibilant Plural,hoaxes,victims,20.651467084884644,11.556818962097168
Regular Singular,joke,victims,11.126927375793457,11.667757987976074
Regular Plural,jokes,victims,12.075540542602539,13.014098167419434
Sibilant Singular,phase,classifier,11.634394645690918,21.238774299621582
Sibilant Plural,phases,classifier,6.382948875427246,23.17684030532837
Regular Singular,step,classifier,10.21208667755127,21.634416580200195
Regular Plural,steps,classifier,10.3579683303833,23.876439094543457
Sibilant Singular,hose,installer,12.105334281921387,15.303964138031006
Sibilant Plural,hoses,installer,14.603947639465332,17.110591411590576
Regular Singular,pipe,installer,9.998291969299316,13.6536226272583
Regular Plural,pipes,installer,13.72423505783081,17.699324131011963
Sibilant Singular,fox,chaser,7.010109901428223,12.250152587890625
Sibilant Plural,foxes,chaser,12.292605876922607,14.648721694946289
Regular Singular,wolf,chaser,6.496227264404297,13.586377143859863
Regular Plural,wolves,chaser,5.746196985244751,14.73918104171753
Sibilant Singular,mix,winner,6.740720272064209,12.96340560913086
Sibilant Plural,mixes,winner,13.139835357666016,13.710511207580566
Regular Singular,blend,winner,12.348715543746948,11.377522468566895
Regular Plural,blends,winner,15.529577732086182,13.12351131439209
Sibilant Singular,nose,rashes,10.493380546569824,9.88170337677002
Sibilant Plural,noses,rashes,14.330081939697266,16.974478244781494
Regular Singular,thigh,rashes,12.98017692565918,10.36820936203003
Regular Plural,thighs,rashes,13.62776517868042,15.301947116851807
Sibilant Singular,cause,evaluators,10.08125114440918,20.05210018157959
Sibilant Plural,causes,evaluators,13.222372055053711,19.15779399871826
Regular Singular,loss,evaluators,12.04581356048584,16.443572998046875
Regular Plural,losses,evaluators,11.068314135074615,18.599888801574707
Sibilant Singular,gaze,detector,12.810775756835938,10.697772979736328
Sibilant Plural,gazes,detector,16.198715686798096,11.00745964050293
Regular Singular,stare,detector,13.264370918273926,8.842771530151367
Regular Plural,stares,detector,11.854486465454102,10.662388801574707
Sibilant Singular,clause,finder,12.565165996551514,17.570398330688477
Sibilant Plural,clauses,finder,16.502355098724365,19.296992301940918
