Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.147398471832275,10.84241771697998
Sibilant Plural,blazes,protector,9.690930366516113,13.660630226135254
Regular Singular,spark,protector,11.868050575256348,10.143399238586426
Regular Plural,sparks,protector,13.258339881896973,13.990873336791992
Sibilant Singular,breeze,protector,9.824234008789062,16.73822832107544
Sibilant Plural,breezes,protector,14.404404878616333,11.537660598754883
Regular Singular,storm,protector,9.350914001464844,15.4668869972229
Regular Plural,storms,protector,14.146676540374756,14.365194320678711
Sibilant Singular,tax,receivers,9.807941436767578,11.504308700561523
Sibilant Plural,taxes,receivers,9.633962631225586,15.830977439880371
Regular Singular,toll,receivers,18.853156089782715,12.489166259765625
Regular Plural,tolls,receivers,19.94251823425293,16.770919799804688
Sibilant Singular,sex,disparities,5.143275260925293,19.683429718017578
Sibilant Plural,sexes,disparities,9.552741050720215,23.935049533843994
Regular Singular,gender,disparities,9.183219075202942,19.95211410522461
Regular Plural,genders,disparities,16.327216625213623,23.90305805206299
Sibilant Singular,vase,maker,11.732073783874512,8.113508701324463
Sibilant Plural,vases,maker,13.566940307617188,8.031479835510254
Regular Singular,pot,maker,10.002111434936523,7.578762054443359
Regular Plural,pots,maker,12.276529312133789,7.986106872558594
Sibilant Singular,hoax,victims,21.21670913696289,9.963447570800781
Sibilant Plural,hoaxes,victims,24.490622520446777,11.591019630432129
Regular Singular,joke,victims,12.497587203979492,9.921112060546875
Regular Plural,jokes,victims,11.740777969360352,12.362977981567383
Sibilant Singular,phase,classifier,11.818136215209961,18.675846099853516
Sibilant Plural,phases,classifier,7.165848612785339,18.66995334625244
Regular Singular,step,classifier,11.005093574523926,18.52122974395752
Regular Plural,steps,classifier,11.553884506225586,19.21146869659424
Sibilant Singular,hose,installer,10.189213514328003,15.515957355499268
Sibilant Plural,hoses,installer,8.3382728099823,16.273074626922607
Regular Singular,pipe,installer,9.506998062133789,13.203696250915527
Regular Plural,pipes,installer,13.558714628219604,14.517116069793701
Sibilant Singular,fox,chaser,6.282758712768555,11.842728614807129
Sibilant Plural,foxes,chaser,10.798901557922363,14.618173122406006
Regular Singular,wolf,chaser,7.868220329284668,12.846898078918457
Regular Plural,wolves,chaser,5.833346009254456,14.082458019256592
Sibilant Singular,mix,winner,7.260096549987793,9.68753433227539
Sibilant Plural,mixes,winner,9.927997589111328,11.78233528137207
Regular Singular,blend,winner,12.95955777168274,11.428094863891602
Regular Plural,blends,winner,17.02391529083252,10.837158203125
Sibilant Singular,nose,rashes,10.676177978515625,12.337060928344727
Sibilant Plural,noses,rashes,16.266709327697754,16.633261680603027
Regular Singular,thigh,rashes,13.306056022644043,13.241387367248535
Regular Plural,thighs,rashes,13.29601764678955,16.862958908081055
Sibilant Singular,cause,evaluators,9.428966522216797,20.700974941253662
Sibilant Plural,causes,evaluators,12.527240753173828,21.920937538146973
Regular Singular,loss,evaluators,13.30434513092041,17.31071662902832
Regular Plural,losses,evaluators,11.460963934659958,19.07420587539673
Sibilant Singular,gaze,detector,11.423126220703125,8.854342460632324
Sibilant Plural,gazes,detector,17.416890144348145,9.185317039489746
Regular Singular,stare,detector,11.33346176147461,8.711297035217285
Regular Plural,stares,detector,11.202800750732422,8.689760684967041
Sibilant Singular,clause,finder,14.12400197982788,14.41431999206543
Sibilant Plural,clauses,finder,16.645369052886963,16.584792613983154
Regular Singular,article,finder,9.323980331420898,13.889937400817871
Regular Plural,articles,finder,10.27721881866455,17.988017082214355
