Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,14.95478630065918,12.034520149230957
Sibilant Plural,blazes,protector,6.9040237963199615,14.991665840148926
Regular Singular,spark,protector,11.383294105529785,9.62767505645752
Regular Plural,sparks,protector,12.91030764579773,13.915135383605957
Sibilant Singular,breeze,protector,10.362150192260742,14.330670356750488
Sibilant Plural,breezes,protector,14.35044527053833,12.935907363891602
Regular Singular,storm,protector,8.735652923583984,14.740192413330078
Regular Plural,storms,protector,15.33043098449707,15.232707977294922
Sibilant Singular,tax,receivers,10.14923095703125,12.964390754699707
Sibilant Plural,taxes,receivers,9.950214385986328,17.85275363922119
Regular Singular,toll,receivers,16.981468200683594,13.103280067443848
Regular Plural,tolls,receivers,17.692289113998413,16.836304664611816
Sibilant Singular,sex,disparities,6.794732570648193,20.87589168548584
Sibilant Plural,sexes,disparities,8.167319059371948,24.494077682495117
Regular Singular,gender,disparities,9.2776198387146,20.13241958618164
Regular Plural,genders,disparities,16.972287893295288,24.727072715759277
Sibilant Singular,vase,maker,9.829285621643066,8.196013927459717
Sibilant Plural,vases,maker,13.230309963226318,8.856312274932861
Regular Singular,pot,maker,11.09000015258789,8.095139503479004
Regular Plural,pots,maker,12.699810981750488,8.666213989257812
Sibilant Singular,hoax,victims,21.69137477874756,9.60019588470459
Sibilant Plural,hoaxes,victims,22.939486265182495,11.293726921081543
Regular Singular,joke,victims,11.339677810668945,10.207681655883789
Regular Plural,jokes,victims,12.744791984558105,12.298986434936523
Sibilant Singular,phase,classifier,10.967828750610352,21.52083396911621
Sibilant Plural,phases,classifier,6.02030074596405,22.224395751953125
Regular Singular,step,classifier,9.11268138885498,22.003868103027344
Regular Plural,steps,classifier,9.419539451599121,22.765278816223145
Sibilant Singular,hose,installer,12.753228187561035,17.220443725585938
Sibilant Plural,hoses,installer,6.4057475328445435,17.788981437683105
Regular Singular,pipe,installer,10.384082794189453,14.42023754119873
Regular Plural,pipes,installer,12.726118326187134,17.333524227142334
Sibilant Singular,fox,chaser,6.878122329711914,12.210956573486328
Sibilant Plural,foxes,chaser,12.577802658081055,14.922349452972412
Regular Singular,wolf,chaser,7.166695594787598,13.189826965332031
Regular Plural,wolves,chaser,6.828225374221802,15.275956153869629
Sibilant Singular,mix,winner,7.041922569274902,11.946845054626465
Sibilant Plural,mixes,winner,11.429222583770752,13.711581230163574
Regular Singular,blend,winner,11.177943468093872,11.515360832214355
Regular Plural,blends,winner,15.00721025466919,12.057896614074707
Sibilant Singular,nose,rashes,11.210832595825195,10.561232566833496
Sibilant Plural,noses,rashes,15.464154243469238,16.775702476501465
Regular Singular,thigh,rashes,13.58792781829834,11.474887371063232
Regular Plural,thighs,rashes,12.837148666381836,14.220012187957764
Sibilant Singular,cause,evaluators,8.979412078857422,17.479494094848633
Sibilant Plural,causes,evaluators,12.92345905303955,17.981059074401855
Regular Singular,loss,evaluators,10.905414581298828,16.93677806854248
Regular Plural,losses,evaluators,10.821122884750366,18.39820957183838
Sibilant Singular,gaze,detector,11.698295593261719,10.820282936096191
Sibilant Plural,gazes,detector,15.92816162109375,11.241436958312988
Regular Singular,stare,detector,12.22068977355957,8.74610185623169
Regular Plural,stares,detector,12.116622924804688,11.093297004699707
Sibilant Singular,clause,finder,13.4988431930542,16.365846633911133
Sibilant Plural,clauses,finder,17.32954692840576,19.342856407165527
Regular Singular,article,finder,9.325088500976562,17.181878089904785
Regular Plural,articles,finder,10.061042785644531,18.92309045791626
Sibilant Singular,maze,decoder,15.222023010253906,15.805441856384277
Sibilant Plural,mazes,decoder,7.308471858501434,17.192177772521973
Regular Singular,web,decoder,10.426738739013672,12.922693252563477
Regular Plural,webs,decoder,15.899279594421387,12.897750854492188
Sibilant Singular,quiz,expert,12.126940727233887,10.897764205932617
Sibilant Plural,quizzes,expert,18.846554279327393,11.781670570373535
Regular Singular,puzzle,expert,9.620723724365234,10.932311058044434
Regular Plural,puzzles,expert,11.945429801940918,12.329421997070312
Sibilant Singular,fax,man,5.558570146560669,5.8120269775390625
Sibilant Plural,faxes,man,7.405125617980957,6.813753128051758
Regular Singular,copy,man,9.826143264770508,4.331181526184082
Regular Plural,copies,man,13.606623649597168,7.873940467834473
Sibilant Singular,size,device,8.964977264404297,9.327897071838379
Sibilant Plural,sizes,device,13.032000541687012,8.795870780944824
Regular Singular,shape,device,9.249613761901855,9.115044593811035
Regular Plural,shapes,device,12.590285301208496,9.828936576843262
Sibilant Singular,praise,getter,10.441801071166992,22.388835906982422
Sibilant Plural,praises,getter,10.162106394767761,22.365771293640137
Regular Singular,compliment,getter,10.711458206176758,21.243610382080078
Regular Plural,compliments,getter,12.9038405418396,23.113329887390137
Sibilant Singular,prize,recipient,8.923074722290039,11.831161499023438
Sibilant Plural,prizes,recipient,12.60063648223877,13.828989505767822
Regular Singular,award,recipient,11.166459083557129,12.302511215209961
Regular Plural,awards,recipient,11.381451606750488,12.404796600341797
Sibilant Singular,box,lifters,11.71629810333252,20.265978813171387
Sibilant Plural,boxes,lifters,9.696426391601562,23.679462432861328
Regular Singular,pack,lifters,12.72745132446289,20.09099578857422
