Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.115292072296143,11.308829307556152
Sibilant Plural,blazes,protector,13.195158004760742,12.265918731689453
Regular Singular,spark,protector,12.333844184875488,11.870294570922852
Regular Plural,sparks,protector,14.584948778152466,11.760332107543945
Sibilant Singular,breeze,protector,9.14721965789795,15.555992126464844
Sibilant Plural,breezes,protector,12.605953216552734,13.550416946411133
Regular Singular,storm,protector,7.205368518829346,14.401729583740234
Regular Plural,storms,protector,13.213121891021729,14.746845245361328
Sibilant Singular,tax,receivers,8.67276382446289,14.596610069274902
Sibilant Plural,taxes,receivers,10.600969314575195,18.942649841308594
Regular Singular,toll,receivers,14.088750839233398,16.36046314239502
Regular Plural,tolls,receivers,16.24030041694641,16.626700401306152
Sibilant Singular,sex,disparities,5.932037353515625,20.38805341720581
Sibilant Plural,sexes,disparities,8.488991022109985,24.39794158935547
Regular Singular,gender,disparities,9.523153305053711,20.023823261260986
Regular Plural,genders,disparities,17.245588779449463,23.234309673309326
Sibilant Singular,vase,maker,12.240909576416016,10.910201072692871
Sibilant Plural,vases,maker,14.281957149505615,11.336386680603027
Regular Singular,pot,maker,11.068341255187988,10.68196964263916
Regular Plural,pots,maker,14.850662231445312,10.826507568359375
Sibilant Singular,hoax,victims,18.504122257232666,11.224807739257812
Sibilant Plural,hoaxes,victims,22.243774890899658,11.041993141174316
Regular Singular,joke,victims,10.562423706054688,11.76880168914795
Regular Plural,jokes,victims,10.961142539978027,12.917720794677734
Sibilant Singular,phase,classifier,10.670686721801758,21.777792930603027
Sibilant Plural,phases,classifier,6.7137147188186646,21.037314414978027
Regular Singular,step,classifier,11.109554290771484,21.256378173828125
Regular Plural,steps,classifier,10.22862434387207,23.208723068237305
Sibilant Singular,hose,installer,9.469367980957031,19.342354774475098
Sibilant Plural,hoses,installer,10.509968757629395,19.023805618286133
Regular Singular,pipe,installer,10.665966987609863,18.094810962677002
Regular Plural,pipes,installer,11.967037200927734,18.359330654144287
Sibilant Singular,fox,chaser,7.1163434982299805,15.130464553833008
Sibilant Plural,foxes,chaser,12.266272068023682,15.499322891235352
Regular Singular,wolf,chaser,6.545858383178711,14.77080249786377
Regular Plural,wolves,chaser,5.835173487663269,15.601841926574707
Sibilant Singular,mix,winner,6.488558769226074,13.53071117401123
Sibilant Plural,mixes,winner,13.365185260772705,12.169434547424316
Regular Singular,blend,winner,13.047910451889038,10.132988929748535
Regular Plural,blends,winner,14.408389806747437,11.897146224975586
Sibilant Singular,nose,rashes,10.979772567749023,12.661680698394775
Sibilant Plural,noses,rashes,16.635945796966553,18.432344436645508
Regular Singular,thigh,rashes,14.520783424377441,13.277730941772461
Regular Plural,thighs,rashes,11.912275314331055,15.037452220916748
Sibilant Singular,cause,evaluators,10.700265884399414,23.85745620727539
Sibilant Plural,causes,evaluators,14.094758033752441,22.055023193359375
Regular Singular,loss,evaluators,15.309224128723145,19.93107843399048
Regular Plural,losses,evaluators,10.585783123970032,23.122814178466797
