Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.090749740600586,12.817052841186523
Sibilant Plural,blazes,protector,8.142517685890198,15.348943710327148
Regular Singular,spark,protector,12.69419002532959,9.14055347442627
Regular Plural,sparks,protector,14.93778371810913,14.783849716186523
Sibilant Singular,breeze,protector,8.115425109863281,17.19224262237549
Sibilant Plural,breezes,protector,11.102202415466309,12.53559923171997
Regular Singular,storm,protector,7.31657600402832,13.382950782775879
Regular Plural,storms,protector,16.640135765075684,14.602873802185059
Sibilant Singular,tax,receivers,11.15817642211914,12.33735179901123
Sibilant Plural,taxes,receivers,10.77667236328125,16.506427764892578
Regular Singular,toll,receivers,15.584863662719727,13.209938049316406
Regular Plural,tolls,receivers,16.293792247772217,15.262271881103516
Sibilant Singular,sex,disparities,7.516363620758057,18.638375759124756
Sibilant Plural,sexes,disparities,9.087022066116333,24.520709991455078
Regular Singular,gender,disparities,10.327569842338562,15.288248062133789
Regular Plural,genders,disparities,14.03730845451355,23.985299110412598
Sibilant Singular,vase,maker,10.579824924468994,10.2000150680542
Sibilant Plural,vases,maker,11.914804458618164,9.005640506744385
Regular Singular,pot,maker,12.130097389221191,7.068285942077637
Regular Plural,pots,maker,11.422245025634766,7.5543084144592285
Sibilant Singular,hoax,victims,18.959256649017334,8.141551971435547
Sibilant Plural,hoaxes,victims,21.70586609840393,12.591299057006836
Regular Singular,joke,victims,12.389410018920898,9.506460189819336
Regular Plural,jokes,victims,12.50936508178711,11.756707191467285
Sibilant Singular,phase,classifier,13.890804290771484,22.660320281982422
Sibilant Plural,phases,classifier,7.646409094333649,20.39343786239624
Regular Singular,step,classifier,10.423791885375977,21.01752805709839
Regular Plural,steps,classifier,11.879141807556152,20.595577716827393
Sibilant Singular,hose,installer,14.049196720123291,17.68673324584961
Sibilant Plural,hoses,installer,7.47906231880188,18.47016477584839
Regular Singular,pipe,installer,10.48211669921875,15.938103199005127
Regular Plural,pipes,installer,13.6040198802948,15.36636734008789
Sibilant Singular,fox,chaser,9.089625358581543,12.600435256958008
Sibilant Plural,foxes,chaser,14.18009328842163,13.647836685180664
Regular Singular,wolf,chaser,6.119752407073975,13.640119552612305
Regular Plural,wolves,chaser,6.858549356460571,15.919988632202148
Sibilant Singular,mix,winner,7.889198303222656,12.141054153442383
Sibilant Plural,mixes,winner,14.306527137756348,11.149043083190918
Regular Singular,blend,winner,11.689006328582764,8.080300331115723
Regular Plural,blends,winner,16.762656211853027,12.283514976501465
Sibilant Singular,nose,rashes,12.94687271118164,13.183813095092773
Sibilant Plural,noses,rashes,14.304080963134766,19.040257453918457
Regular Singular,thigh,rashes,13.938817977905273,13.27904224395752
Regular Plural,thighs,rashes,11.00994598865509,17.663838386535645
Sibilant Singular,cause,evaluators,7.855838775634766,26.768903255462646
Sibilant Plural,causes,evaluators,10.781055450439453,23.70435905456543
Regular Singular,loss,evaluators,16.61917495727539,17.578453063964844
Regular Plural,losses,evaluators,11.407950639724731,23.659544944763184
Sibilant Singular,gaze,detector,9.672491073608398,9.159424781799316
Sibilant Plural,gazes,detector,17.420032024383545,10.82108211517334
Regular Singular,stare,detector,11.694486618041992,7.684901237487793
Regular Plural,stares,detector,10.539669036865234,10.909647941589355
Sibilant Singular,clause,finder,16.703608512878418,9.726876258850098
Sibilant Plural,clauses,finder,15.71582293510437,14.805896759033203
Regular Singular,article,finder,8.68293571472168,13.503824234008789
Regular Plural,articles,finder,9.99016284942627,19.066853523254395
Sibilant Singular,maze,decoder,16.496418476104736,16.449172019958496
Sibilant Plural,mazes,decoder,8.134496927261353,16.849740505218506
Regular Singular,web,decoder,13.034337043762207,11.250819206237793
Regular Plural,webs,decoder,17.634662628173828,17.276477336883545
Sibilant Singular,quiz,expert,14.97263765335083,11.587072372436523
Sibilant Plural,quizzes,expert,19.161030769348145,14.560928344726562
Regular Singular,puzzle,expert,9.815460205078125,9.351170539855957
Regular Plural,puzzles,expert,11.734016418457031,12.7354736328125
Sibilant Singular,fax,man,4.935057759284973,4.7701735496521
Sibilant Plural,faxes,man,7.6290507316589355,7.311622142791748
Regular Singular,copy,man,11.196961402893066,5.178995132446289
Regular Plural,copies,man,13.343634605407715,8.418874740600586
Sibilant Singular,size,device,11.853261947631836,11.29957103729248
Sibilant Plural,sizes,device,14.81878137588501,8.31544303894043
Regular Singular,shape,device,10.725533485412598,8.022566795349121
Regular Plural,shapes,device,13.307271003723145,11.091635704040527
Sibilant Singular,praise,getter,10.4199857711792,24.347244262695312
Sibilant Plural,praises,getter,7.418131947517395,24.423019409179688
Regular Singular,compliment,getter,10.422868728637695,23.04101276397705
Regular Plural,compliments,getter,12.619680881500244,24.167244911193848
Sibilant Singular,prize,recipient,6.168478012084961,12.353187561035156
Sibilant Plural,prizes,recipient,9.40623664855957,15.629436492919922
Regular Singular,award,recipient,10.325140953063965,12.214288711547852
Regular Plural,awards,recipient,12.142870903015137,12.359414100646973
Sibilant Singular,box,lifters,11.471014022827148,21.972065925598145
Sibilant Plural,boxes,lifters,9.310813903808594,26.040616989135742
Regular Singular,pack,lifters,14.284916877746582,21.953977584838867
Regular Plural,packs,lifters,12.294590473175049,25.629958152770996
Sibilant Singular,rose,gardeners,8.98685073852539,7.287849426269531
Sibilant Plural,roses,gardeners,4.195240020751953,14.319953918457031
Regular Singular,flower,gardeners,5.9587483406066895,6.4483137130737305
Regular Plural,flowers,gardeners,2.845951795578003,15.870190143585205
Sibilant Singular,bruise,healer,13.69848895072937,19.40448236465454
Sibilant Plural,bruises,healer,14.943958044052124,20.011305809020996
Regular Singular,sore,healer,11.039233207702637,17.569061756134033
Regular Plural,sores,healer,7.893226146697998,19.87343168258667
Sibilant Singular,rise,addict,11.047713279724121,10.957210540771484
Sibilant Plural,rises,addict,18.03274631500244,12.078238487243652
Regular Singular,drop,addict,9.285210609436035,12.658473014831543
Regular Plural,drops,addict,12.663464546203613,9.386763572692871
