Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.534412860870361,13.054665565490723
Sibilant Plural,blazes,protector,9.243565320968628,16.316646575927734
Regular Singular,spark,protector,11.598018646240234,12.380426406860352
Regular Plural,sparks,protector,12.436543941497803,15.714710712432861
Sibilant Singular,breeze,protector,8.423826217651367,17.52460765838623
Sibilant Plural,breezes,protector,7.497645854949951,14.499324321746826
Regular Singular,storm,protector,8.94792366027832,17.39561367034912
Regular Plural,storms,protector,13.580513000488281,19.16923713684082
Sibilant Singular,tax,receivers,8.960295677185059,14.601499557495117
Sibilant Plural,taxes,receivers,8.507229804992676,17.684733867645264
Regular Singular,toll,receivers,15.089858055114746,15.749584674835205
Regular Plural,tolls,receivers,17.002729654312134,19.103275775909424
Sibilant Singular,sex,disparities,8.154306411743164,21.48720693588257
Sibilant Plural,sexes,disparities,13.342065811157227,22.730650901794434
Regular Singular,gender,disparities,13.131316900253296,21.44873332977295
Regular Plural,genders,disparities,18.60622215270996,22.38888645172119
Sibilant Singular,vase,maker,13.54896354675293,11.858630180358887
Sibilant Plural,vases,maker,15.438434600830078,11.036879539489746
Regular Singular,pot,maker,9.677495002746582,12.250478744506836
Regular Plural,pots,maker,10.438309669494629,11.416119575500488
Sibilant Singular,hoax,victims,22.28389835357666,7.62716007232666
Sibilant Plural,hoaxes,victims,24.103481769561768,10.43067455291748
Regular Singular,joke,victims,13.19473648071289,11.88250732421875
Regular Plural,jokes,victims,13.284392356872559,12.122386932373047
Sibilant Singular,phase,classifier,10.727788925170898,22.61187171936035
Sibilant Plural,phases,classifier,6.63317596912384,21.40595531463623
Regular Singular,step,classifier,9.43137264251709,22.451326370239258
Regular Plural,steps,classifier,9.36513900756836,22.234618186950684
Sibilant Singular,hose,installer,11.92595100402832,16.575939178466797
Sibilant Plural,hoses,installer,7.546210289001465,16.326953887939453
Regular Singular,pipe,installer,11.679862022399902,16.080628871917725
Regular Plural,pipes,installer,11.233849167823792,17.15259552001953
Sibilant Singular,fox,chaser,7.573286533355713,17.818339824676514
Sibilant Plural,foxes,chaser,14.547401905059814,19.634309768676758
Regular Singular,wolf,chaser,8.520980834960938,18.324917793273926
Regular Plural,wolves,chaser,5.905676364898682,20.004737377166748
Sibilant Singular,mix,winner,8.086894035339355,11.795702934265137
Sibilant Plural,mixes,winner,14.27149772644043,12.21119213104248
Regular Singular,blend,winner,13.358225107192993,10.072808265686035
Regular Plural,blends,winner,14.231462240219116,12.02586841583252
Sibilant Singular,nose,rashes,11.003263473510742,13.088722229003906
Sibilant Plural,noses,rashes,15.805956840515137,19.531539916992188
Regular Singular,thigh,rashes,13.678038120269775,15.434568881988525
Regular Plural,thighs,rashes,13.057704448699951,18.69598960876465
Sibilant Singular,cause,evaluators,7.662302017211914,22.455377101898193
