Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.171724319458008,10.8096284866333
Sibilant Plural,blazes,protector,7.264465376734734,14.632482051849365
Regular Singular,spark,protector,9.872137069702148,10.589171409606934
Regular Plural,sparks,protector,12.350819110870361,12.430004119873047
Sibilant Singular,breeze,protector,8.685002326965332,19.91395378112793
Sibilant Plural,breezes,protector,7.871694564819336,16.653966903686523
Regular Singular,storm,protector,8.945550918579102,17.51392364501953
Regular Plural,storms,protector,15.093092441558838,18.637024879455566
Sibilant Singular,tax,receivers,11.345590591430664,12.880585670471191
Sibilant Plural,taxes,receivers,10.597677230834961,18.28241539001465
Regular Singular,toll,receivers,13.603586196899414,15.301981925964355
Regular Plural,tolls,receivers,16.42157745361328,17.738877296447754
Sibilant Singular,sex,disparities,9.532951354980469,19.130162239074707
Sibilant Plural,sexes,disparities,12.514850616455078,22.878480434417725
Regular Singular,gender,disparities,11.825158834457397,19.51036787033081
Regular Plural,genders,disparities,18.94085967540741,23.323790073394775
Sibilant Singular,vase,maker,11.273302555084229,9.729986190795898
Sibilant Plural,vases,maker,14.18231201171875,9.316981792449951
Regular Singular,pot,maker,12.84170913696289,11.635135650634766
Regular Plural,pots,maker,12.308956146240234,8.662555694580078
Sibilant Singular,hoax,victims,23.89820384979248,10.170550346374512
Sibilant Plural,hoaxes,victims,28.84383726119995,10.446673393249512
Regular Singular,joke,victims,11.958544731140137,10.341079711914062
Regular Plural,jokes,victims,13.344512939453125,10.486318588256836
Sibilant Singular,phase,classifier,11.535697937011719,17.561910152435303
Sibilant Plural,phases,classifier,6.715883135795593,17.362062454223633
Regular Singular,step,classifier,8.938514709472656,17.165912628173828
Regular Plural,steps,classifier,9.972482681274414,17.399725914001465
Sibilant Singular,hose,installer,9.709529399871826,15.89460563659668
Sibilant Plural,hoses,installer,9.088635921478271,16.407025814056396
Regular Singular,pipe,installer,12.195097923278809,14.849225044250488
Regular Plural,pipes,installer,12.878477811813354,16.8554630279541
Sibilant Singular,fox,chaser,8.592117309570312,14.015213012695312
Sibilant Plural,foxes,chaser,14.456162452697754,16.823232173919678
Regular Singular,wolf,chaser,8.618124008178711,15.422098636627197
Regular Plural,wolves,chaser,4.958188533782959,17.868143558502197
Sibilant Singular,mix,winner,8.035530090332031,11.566084861755371
Sibilant Plural,mixes,winner,8.153263568878174,12.279436111450195
Regular Singular,blend,winner,12.841479301452637,10.756064414978027
Regular Plural,blends,winner,15.594330310821533,13.381147384643555
Sibilant Singular,nose,rashes,11.95167064666748,14.321919441223145
Sibilant Plural,noses,rashes,16.34412384033203,19.047770500183105
Regular Singular,thigh,rashes,13.657188415527344,14.437758445739746
Regular Plural,thighs,rashes,10.717838406562805,18.512619972229004
Sibilant Singular,cause,evaluators,8.500656127929688,22.540814876556396
Sibilant Plural,causes,evaluators,12.222430229187012,22.29748821258545
Regular Singular,loss,evaluators,14.852582931518555,17.94529438018799
