Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.487998008728027,9.439812660217285
Sibilant Plural,blazes,protector,13.487002849578857,12.741639137268066
Regular Singular,spark,protector,11.64486026763916,10.413485527038574
Regular Plural,sparks,protector,12.991800785064697,14.640864849090576
Sibilant Singular,breeze,protector,12.179226875305176,14.833736419677734
Sibilant Plural,breezes,protector,15.332041263580322,15.099496364593506
Regular Singular,storm,protector,8.673107147216797,14.172887802124023
Regular Plural,storms,protector,14.814286231994629,15.76134967803955
Sibilant Singular,tax,receivers,11.482776641845703,12.472049713134766
Sibilant Plural,taxes,receivers,8.585678100585938,15.963889122009277
Regular Singular,toll,receivers,10.693042755126953,13.954629898071289
Regular Plural,tolls,receivers,21.1777024269104,17.05635356903076
Sibilant Singular,sex,disparities,6.947216510772705,16.75350570678711
Sibilant Plural,sexes,disparities,10.765761852264404,19.30763578414917
Regular Singular,gender,disparities,7.040312767028809,15.352757930755615
Regular Plural,genders,disparities,16.81169605255127,21.04352569580078
Sibilant Singular,vase,maker,11.719512939453125,5.522878646850586
Sibilant Plural,vases,maker,16.248233795166016,8.687397003173828
Regular Singular,pot,maker,10.190921783447266,8.388480186462402
Regular Plural,pots,maker,14.829621315002441,6.28430700302124
Sibilant Singular,hoax,victims,15.011928081512451,11.810957908630371
Sibilant Plural,hoaxes,victims,19.124814987182617,13.162752151489258
Regular Singular,joke,victims,10.88422966003418,11.630308151245117
Regular Plural,jokes,victims,13.397222518920898,14.27967643737793
Sibilant Singular,phase,classifier,12.182143211364746,19.854934692382812
Sibilant Plural,phases,classifier,9.533553719520569,18.113952159881592
Regular Singular,step,classifier,9.299237251281738,17.040353775024414
Regular Plural,steps,classifier,10.120126724243164,22.133994102478027
Sibilant Singular,hose,installer,10.66962718963623,11.542130470275879
Sibilant Plural,hoses,installer,12.404972076416016,16.3175048828125
Regular Singular,pipe,installer,8.942428588867188,14.699792861938477
Regular Plural,pipes,installer,11.005475044250488,15.462024688720703
Sibilant Singular,fox,chaser,10.678346633911133,12.093673706054688
Sibilant Plural,foxes,chaser,13.904332160949707,12.45394229888916
Regular Singular,wolf,chaser,7.431934833526611,13.334794998168945
Regular Plural,wolves,chaser,11.505517959594727,14.264307022094727
Sibilant Singular,mix,winner,8.046396255493164,13.93968677520752
Sibilant Plural,mixes,winner,14.525348663330078,12.85389518737793
Regular Singular,blend,winner,11.671316146850586,11.444812774658203
Regular Plural,blends,winner,14.159534931182861,14.495914459228516
Sibilant Singular,nose,rashes,10.853102684020996,12.945625305175781
Sibilant Plural,noses,rashes,13.420278549194336,17.00406837463379
Regular Singular,thigh,rashes,14.995847702026367,14.339666366577148
Regular Plural,thighs,rashes,13.385862827301025,16.379082202911377
Sibilant Singular,cause,evaluators,8.461040496826172,21.435973167419434
Sibilant Plural,causes,evaluators,10.619118690490723,20.50632667541504
Regular Singular,loss,evaluators,8.76499080657959,21.478437423706055
Regular Plural,losses,evaluators,11.956764221191406,17.578100204467773
Sibilant Singular,gaze,detector,14.004332542419434,7.148974418640137
Sibilant Plural,gazes,detector,17.731131076812744,10.152984619140625
Regular Singular,stare,detector,14.802560806274414,7.701022624969482
Regular Plural,stares,detector,12.909714698791504,9.311443328857422
Sibilant Singular,clause,finder,12.091151237487793,19.71101474761963
Sibilant Plural,clauses,finder,13.882725477218628,19.978647232055664
Regular Singular,article,finder,9.879715919494629,16.54930019378662
Regular Plural,articles,finder,10.349365234375,17.990305423736572
Sibilant Singular,maze,decoder,10.382360458374023,23.853829383850098
Sibilant Plural,mazes,decoder,16.199612617492676,21.960549354553223
Regular Singular,web,decoder,11.909026145935059,21.87306833267212
