Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,12.653059244155884,11.789960861206055
Sibilant Plural,blazes,protector,16.023438453674316,11.70502758026123
Regular Singular,spark,protector,10.664558410644531,10.710380554199219
Regular Plural,sparks,protector,11.812865018844604,11.5659818649292
Sibilant Singular,breeze,protector,11.749030590057373,12.226836204528809
Sibilant Plural,breezes,protector,16.439644813537598,14.076780319213867
Regular Singular,storm,protector,7.654321670532227,10.82125473022461
Regular Plural,storms,protector,12.68724012374878,12.921649932861328
Sibilant Singular,tax,receivers,9.320592880249023,11.773616790771484
Sibilant Plural,taxes,receivers,9.075260400772095,14.615443229675293
Regular Singular,toll,receivers,18.332965850830078,13.497916221618652
Regular Plural,tolls,receivers,22.062490463256836,15.4011812210083
Sibilant Singular,sex,disparities,7.578607559204102,17.671959400177002
Sibilant Plural,sexes,disparities,12.746363639831543,17.066473484039307
Regular Singular,gender,disparities,11.054119348526001,17.194995880126953
Regular Plural,genders,disparities,16.846805810928345,17.335477352142334
Sibilant Singular,vase,maker,13.432064533233643,11.923166275024414
Sibilant Plural,vases,maker,15.349132061004639,12.634681224822998
Regular Singular,pot,maker,11.091182708740234,12.834470272064209
Regular Plural,pots,maker,12.926011562347412,13.037385940551758
Sibilant Singular,hoax,victims,14.676013469696045,9.681207656860352
Sibilant Plural,hoaxes,victims,17.08197522163391,10.964643478393555
Regular Singular,joke,victims,9.333918571472168,10.892841339111328
Regular Plural,jokes,victims,9.324834823608398,10.343533515930176
Sibilant Singular,phase,classifier,12.242462158203125,21.419055461883545
Sibilant Plural,phases,classifier,12.507908344268799,21.054505348205566
Regular Singular,step,classifier,9.487775802612305,22.58957815170288
Regular Plural,steps,classifier,10.950484275817871,25.25380277633667
Sibilant Singular,hose,installer,11.561011791229248,13.730351448059082
Sibilant Plural,hoses,installer,12.917172908782959,15.550053596496582
Regular Singular,pipe,installer,9.250283241271973,15.008285522460938
Regular Plural,pipes,installer,10.83260464668274,16.514703273773193
Sibilant Singular,fox,chaser,10.329217910766602,12.791243553161621
Sibilant Plural,foxes,chaser,12.143525838851929,12.821915626525879
Regular Singular,wolf,chaser,8.451700210571289,13.12583065032959
Regular Plural,wolves,chaser,11.601354360580444,12.856715202331543
Sibilant Singular,mix,winner,8.12843132019043,14.432660102844238
Sibilant Plural,mixes,winner,12.441557884216309,14.110824584960938
Regular Singular,blend,winner,11.60896110534668,11.995901107788086
Regular Plural,blends,winner,14.101364135742188,13.02110481262207
Sibilant Singular,nose,rashes,11.252157211303711,13.986789226531982
Sibilant Plural,noses,rashes,13.870543956756592,15.345091342926025
Regular Singular,thigh,rashes,16.752773761749268,13.961277484893799
Regular Plural,thighs,rashes,14.12014102935791,13.896331310272217
Sibilant Singular,cause,evaluators,8.827905654907227,21.304657459259033
Sibilant Plural,causes,evaluators,12.222915649414062,19.71785259246826
Regular Singular,loss,evaluators,9.55027961730957,21.806203365325928
Regular Plural,losses,evaluators,12.46543550491333,18.239756107330322
Sibilant Singular,gaze,detector,12.242929697036743,8.851203918457031
Sibilant Plural,gazes,detector,13.864136457443237,10.143975257873535
Regular Singular,stare,detector,12.362447738647461,9.09174919128418
Regular Plural,stares,detector,13.715123176574707,10.898530006408691
Sibilant Singular,clause,finder,9.618836879730225,17.27796983718872
Sibilant Plural,clauses,finder,12.121449947357178,17.253174781799316
Regular Singular,article,finder,8.938995361328125,14.915140628814697
Regular Plural,articles,finder,8.847969055175781,15.591728687286377
Sibilant Singular,maze,decoder,13.002179145812988,23.919238567352295
Sibilant Plural,mazes,decoder,16.412307739257812,25.131887912750244
Regular Singular,web,decoder,8.377944946289062,22.90263319015503
Regular Plural,webs,decoder,17.22849464416504,24.43796157836914
Sibilant Singular,quiz,expert,12.048295021057129,9.961151123046875
Sibilant Plural,quizzes,expert,15.433845520019531,11.360156059265137
Regular Singular,puzzle,expert,8.534903407096863,11.052327156066895
Regular Plural,puzzles,expert,9.816436767578125,11.17555046081543
Sibilant Singular,fax,man,10.898208141326904,7.618998050689697
Sibilant Plural,faxes,man,15.732926845550537,7.648828506469727
Regular Singular,copy,man,8.841765403747559,7.112705707550049
Regular Plural,copies,man,13.406386375427246,10.447406768798828
Sibilant Singular,size,device,7.230283737182617,9.356024742126465
Sibilant Plural,sizes,device,11.242748260498047,9.108314514160156
Regular Singular,shape,device,9.269288063049316,8.670117378234863
Regular Plural,shapes,device,10.82958984375,8.143221855163574
Sibilant Singular,praise,getter,9.91957139968872,18.20840883255005
Sibilant Plural,praises,getter,11.34626054763794,18.92905330657959
Regular Singular,compliment,getter,11.507153749465942,19.513596534729004
Regular Plural,compliments,getter,18.977343797683716,17.118762016296387
Sibilant Singular,prize,recipient,8.053731918334961,14.94343090057373
Sibilant Plural,prizes,recipient,9.839870810508728,14.265941619873047
Regular Singular,award,recipient,5.860194683074951,15.163097381591797
Regular Plural,awards,recipient,7.302433013916016,15.177474021911621
Sibilant Singular,box,lifters,10.471391677856445,20.009231567382812
Sibilant Plural,boxes,lifters,11.006932735443115,20.591320037841797
Regular Singular,pack,lifters,11.569709777832031,18.50452995300293
Regular Plural,packs,lifters,11.930662631988525,20.471877098083496
Sibilant Singular,rose,gardeners,10.327174186706543,12.478635311126709
Sibilant Plural,roses,gardeners,9.56184434890747,14.817985534667969
Regular Singular,flower,gardeners,8.322649955749512,9.990399837493896
Regular Plural,flowers,gardeners,6.947390556335449,15.495635986328125
Sibilant Singular,bruise,healer,13.562367677688599,16.096363067626953
Sibilant Plural,bruises,healer,11.166449785232544,15.477627277374268
Regular Singular,sore,healer,12.204243183135986,17.458157062530518
Regular Plural,sores,healer,14.55255937576294,19.220463752746582
Sibilant Singular,rise,addict,12.334129333496094,15.265838623046875
Sibilant Plural,rises,addict,12.732932090759277,13.093883514404297
Regular Singular,drop,addict,8.712808609008789,13.872593879699707
Regular Plural,drops,addict,11.99735403060913,12.3211669921875
