Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,16.016191959381104,12.911151885986328
Sibilant Plural,blazes,protector,15.849783897399902,12.655347347259521
Regular Singular,spark,protector,11.286457538604736,12.419482707977295
Regular Plural,sparks,protector,14.965395450592041,13.43702745437622
Sibilant Singular,breeze,protector,14.214556217193604,14.63977861404419
Sibilant Plural,breezes,protector,19.804309844970703,14.081427574157715
Regular Singular,storm,protector,8.276931762695312,14.626936435699463
Regular Plural,storms,protector,13.865118026733398,14.176415920257568
Sibilant Singular,tax,receivers,9.667377471923828,15.522502422332764
Sibilant Plural,taxes,receivers,9.631999731063843,15.096955299377441
Regular Singular,toll,receivers,17.174921989440918,15.783204555511475
Regular Plural,tolls,receivers,17.651307106018066,15.619155406951904
Sibilant Singular,sex,disparities,10.280405044555664,17.874706268310547
Sibilant Plural,sexes,disparities,12.631219863891602,18.089240074157715
Regular Singular,gender,disparities,11.011675596237183,16.968215465545654
Regular Plural,genders,disparities,15.783359289169312,18.728796005249023
Sibilant Singular,vase,maker,13.067211151123047,11.80180549621582
Sibilant Plural,vases,maker,14.421470642089844,13.002184867858887
Regular Singular,pot,maker,11.453924179077148,12.154274940490723
Regular Plural,pots,maker,12.663166046142578,12.6823148727417
Sibilant Singular,hoax,victims,17.648767471313477,12.94101095199585
Sibilant Plural,hoaxes,victims,20.487882614135742,15.04348373413086
Regular Singular,joke,victims,9.443818092346191,11.4611177444458
Regular Plural,jokes,victims,12.548412561416626,15.023365497589111
Sibilant Singular,phase,classifier,13.840543270111084,17.811272144317627
Sibilant Plural,phases,classifier,18.32345676422119,19.065916061401367
Regular Singular,step,classifier,8.903402328491211,20.374162673950195
Regular Plural,steps,classifier,9.256649494171143,20.1091365814209
Sibilant Singular,hose,installer,10.934488296508789,18.022515773773193
Sibilant Plural,hoses,installer,14.27479863166809,19.129525184631348
Regular Singular,pipe,installer,10.357142448425293,18.651731491088867
Regular Plural,pipes,installer,14.328836441040039,19.052690029144287
Sibilant Singular,fox,chaser,10.896676540374756,12.946891784667969
Sibilant Plural,foxes,chaser,13.670363426208496,13.788347721099854
Regular Singular,wolf,chaser,12.271178483963013,12.6086106300354
Regular Plural,wolves,chaser,12.301660537719727,13.555873394012451
