Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,16.66005039215088,14.214730262756348
Sibilant Plural,blazes,protector,8.66783943772316,15.587182998657227
Regular Singular,spark,protector,14.570321083068848,10.623459815979004
Regular Plural,sparks,protector,15.561608672142029,13.673683166503906
Sibilant Singular,breeze,protector,8.716493606567383,12.612438201904297
Sibilant Plural,breezes,protector,8.501288414001465,13.161883354187012
Regular Singular,storm,protector,10.601609230041504,11.672927856445312
Regular Plural,storms,protector,15.841555118560791,16.643539428710938
Sibilant Singular,tax,receivers,10.12766170501709,8.759478569030762
Sibilant Plural,taxes,receivers,10.646618843078613,14.041332244873047
Regular Singular,toll,receivers,24.772884368896484,14.9651460647583
Regular Plural,tolls,receivers,26.6526837348938,19.58434009552002
Sibilant Singular,sex,disparities,8.026529312133789,20.53455352783203
Sibilant Plural,sexes,disparities,9.107022047042847,24.08446741104126
Regular Singular,gender,disparities,9.795898199081421,17.752522945404053
Regular Plural,genders,disparities,18.242467045783997,22.945775985717773
Sibilant Singular,vase,maker,12.917750835418701,11.437070369720459
Sibilant Plural,vases,maker,16.077893257141113,10.395388126373291
Regular Singular,pot,maker,14.358328819274902,9.881929397583008
Regular Plural,pots,maker,11.362081050872803,9.345510482788086
Sibilant Singular,hoax,victims,17.558618545532227,9.027985572814941
Sibilant Plural,hoaxes,victims,20.507086753845215,11.284638404846191
Regular Singular,joke,victims,9.659107208251953,9.40983772277832
Regular Plural,jokes,victims,9.356031894683838,10.92429256439209
Sibilant Singular,phase,classifier,12.933451563119888,25.143484115600586
Sibilant Plural,phases,classifier,9.492986679077148,18.06305503845215
Regular Singular,step,classifier,12.664444923400879,22.8345308303833
Regular Plural,steps,classifier,10.380599021911621,24.108850479125977
Sibilant Singular,hose,installer,9.662176847457886,18.544944763183594
Sibilant Plural,hoses,installer,10.948373317718506,17.981998920440674
Regular Singular,pipe,installer,11.390189170837402,19.81348419189453
Regular Plural,pipes,installer,13.411454916000366,16.8691463470459
Sibilant Singular,fox,chaser,9.597225189208984,14.515859603881836
Sibilant Plural,foxes,chaser,13.679907321929932,17.628849983215332
Regular Singular,wolf,chaser,7.177311420440674,15.172813415527344
Regular Plural,wolves,chaser,6.362854897975922,20.807944297790527
Sibilant Singular,mix,winner,10.00209903717041,13.995031356811523
Sibilant Plural,mixes,winner,13.088407516479492,15.243675231933594
Regular Singular,blend,winner,14.455909729003906,12.277970314025879
Regular Plural,blends,winner,17.30192518234253,13.938409805297852
Sibilant Singular,nose,rashes,14.701902389526367,13.199047088623047
Sibilant Plural,noses,rashes,16.61679172515869,17.9437313079834
Regular Singular,thigh,rashes,15.338162422180176,12.345434188842773
Regular Plural,thighs,rashes,11.052275538444519,15.94948959350586
Sibilant Singular,cause,evaluators,9.18731689453125,18.46344757080078
Sibilant Plural,causes,evaluators,17.12348175048828,14.934587478637695
Regular Singular,loss,evaluators,12.212563514709473,15.154007911682129
Regular Plural,losses,evaluators,13.613542437553406,15.444562911987305
Sibilant Singular,gaze,detector,13.434961795806885,10.717341423034668
Sibilant Plural,gazes,detector,17.11866855621338,13.297179222106934
Regular Singular,stare,detector,10.324994087219238,12.432727813720703
Regular Plural,stares,detector,15.711874008178711,9.24853801727295
Sibilant Singular,clause,finder,13.515817642211914,23.862370491027832
Sibilant Plural,clauses,finder,16.303181648254395,22.758712768554688
Regular Singular,article,finder,8.090045928955078,21.210500717163086
Regular Plural,articles,finder,10.02435302734375,22.233952522277832
Sibilant Singular,maze,decoder,9.332988500595093,13.896953582763672
Sibilant Plural,mazes,decoder,4.5731112360954285,15.11689567565918
Regular Singular,web,decoder,11.556428909301758,13.526613235473633
Regular Plural,webs,decoder,16.310855865478516,12.168580055236816
Sibilant Singular,quiz,expert,11.78014850616455,10.622694969177246
Sibilant Plural,quizzes,expert,18.19981575012207,12.102829933166504
Regular Singular,puzzle,expert,11.308037757873535,9.959013938903809
Regular Plural,puzzles,expert,13.7971830368042,10.672722816467285
Sibilant Singular,fax,man,4.450010538101196,2.659362316131592
Sibilant Plural,faxes,man,7.741932153701782,8.13464069366455
Regular Singular,copy,man,10.498332023620605,6.225362777709961
Regular Plural,copies,man,16.293001174926758,10.036635398864746
Sibilant Singular,size,device,8.652694702148438,13.516501426696777
Sibilant Plural,sizes,device,14.077050685882568,13.633160591125488
Regular Singular,shape,device,9.352725982666016,11.385750770568848
Regular Plural,shapes,device,10.847574234008789,14.755373001098633
Sibilant Singular,praise,getter,10.94094181060791,24.11564064025879
Sibilant Plural,praises,getter,9.503084778785706,24.023075103759766
Regular Singular,compliment,getter,10.746355652809143,23.25743579864502
Regular Plural,compliments,getter,11.227159976959229,25.04573345184326
Sibilant Singular,prize,recipient,7.9231858253479,12.425508975982666
Sibilant Plural,prizes,recipient,11.719156265258789,13.450286865234375
Regular Singular,award,recipient,7.862344264984131,12.623933792114258
Regular Plural,awards,recipient,8.78563117980957,13.783361434936523
Sibilant Singular,box,lifters,17.66593360900879,27.01734733581543
Sibilant Plural,boxes,lifters,11.828105926513672,29.452665328979492
Regular Singular,pack,lifters,13.983186721801758,25.734416961669922
Regular Plural,packs,lifters,15.00277328491211,27.10219955444336
Sibilant Singular,rose,gardeners,11.164087295532227,7.2932305335998535
Sibilant Plural,roses,gardeners,6.884081423282623,13.45447587966919
Regular Singular,flower,gardeners,7.6306023597717285,7.519162893295288
Regular Plural,flowers,gardeners,7.07494592666626,14.412061214447021
Sibilant Singular,bruise,healer,14.245146989822388,18.148256301879883
Sibilant Plural,bruises,healer,12.580701351165771,19.894954681396484
Regular Singular,sore,healer,12.63659954071045,17.07677459716797
Regular Plural,sores,healer,7.27300500869751,21.481505393981934
Sibilant Singular,rise,addict,12.223151206970215,11.20973014831543
Sibilant Plural,rises,addict,14.001795768737793,10.480157852172852
Regular Singular,drop,addict,10.265335083007812,13.128154754638672
Regular Plural,drops,addict,15.085319519042969,13.099963188171387
