Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,25.700125694274902,12.24482250213623
Irregular Plural,geese,protector,26.83138656616211,11.141633987426758
Regular Singular,swan,protector,28.860164642333984,11.879739761352539
Regular Plural,swans,protector,28.337743759155273,15.90178394317627
Irregular Singular,goose,trader,25.700125694274902,14.122281074523926
Irregular Plural,geese,trader,26.83138656616211,11.586392402648926
Regular Singular,swan,trader,28.860164642333984,13.867944717407227
Regular Plural,swans,trader,28.337743759155273,17.511150360107422
Irregular Singular,goose,tracker,25.700125694274902,13.233993530273438
Irregular Plural,geese,tracker,26.83138656616211,11.76339340209961
Regular Singular,swan,tracker,28.860164642333984,9.046516418457031
Regular Plural,swans,tracker,28.337743759155273,13.897364616394043
Irregular Singular,goose,expert,25.700125694274902,9.281469345092773
Irregular Plural,geese,expert,26.83138656616211,8.897194862365723
Regular Singular,swan,expert,28.860164642333984,8.638944625854492
Regular Plural,swans,expert,28.337743759155273,10.725190162658691
Irregular Singular,ox,register,19.553546905517578,12.999812126159668
Irregular Plural,oxen,register,28.188199043273926,14.061043739318848
Regular Singular,cow,register,17.964982986450195,10.260252952575684
Regular Plural,cows,register,22.831856727600098,13.507596015930176
Irregular Singular,ox,trader,19.553546905517578,15.066723823547363
Irregular Plural,oxen,trader,28.188199043273926,14.032605171203613
Regular Singular,cow,trader,17.964982986450195,12.946792602539062
Regular Plural,cows,trader,22.831856727600098,16.604827880859375
Irregular Singular,ox,tracker,19.553546905517578,14.619152069091797
Irregular Plural,oxen,tracker,28.188199043273926,14.151987075805664
Regular Singular,cow,tracker,17.964982986450195,14.943232536315918
Regular Plural,cows,tracker,22.831856727600098,15.008479118347168
Irregular Singular,ox,finder,19.55354881286621,15.935461044311523
Irregular Plural,oxen,finder,28.18819808959961,13.910301685333252
Regular Singular,cow,finder,17.964982986450195,14.09851360321045
Regular Plural,cows,finder,22.83185577392578,18.024965286254883
Irregular Singular,louse,issue,28.41586399078369,10.552041053771973
Irregular Plural,lice,issue,23.898624420166016,12.124801635742188
Regular Singular,flea,issue,19.907538414001465,10.675533294677734
Regular Plural,fleas,issue,22.754942893981934,11.86655044555664
Irregular Singular,louse,trader,28.41586399078369,12.022575378417969
Irregular Plural,lice,trader,23.898624420166016,15.858317375183105
Regular Singular,flea,trader,19.907538414001465,13.52403736114502
Regular Plural,fleas,trader,22.754942893981934,14.37562370300293
Irregular Singular,louse,tracker,28.41586399078369,13.04047966003418
Irregular Plural,lice,tracker,23.898624420166016,14.205498695373535
Regular Singular,flea,tracker,19.907538414001465,14.405805587768555
Regular Plural,fleas,tracker,22.754942893981934,13.166108131408691
Irregular Singular,louse,expert,28.41586399078369,10.165969848632812
Irregular Plural,lice,expert,23.898624420166016,10.987908363342285
Regular Singular,flea,expert,19.907538414001465,9.248334884643555
Regular Plural,fleas,expert,22.754942893981934,9.470314979553223
Irregular Singular,mouse,issue,20.657390594482422,10.682361602783203
Irregular Plural,mice,issue,22.35390567779541,11.40347957611084
Regular Singular,rat,issue,21.334453582763672,7.048018455505371
Regular Plural,rats,issue,19.97871208190918,12.474750518798828
Irregular Singular,mouse,trader,20.657390594482422,14.16397476196289
Irregular Plural,mice,trader,22.35390567779541,16.39925765991211
Regular Singular,rat,trader,21.334453582763672,12.445527076721191
Regular Plural,rats,trader,19.97871208190918,17.7268123626709
Irregular Singular,mouse,tracker,20.657390594482422,13.658832550048828
Irregular Plural,mice,tracker,22.35390567779541,14.908292770385742
Regular Singular,rat,tracker,21.334453582763672,15.760421752929688
Regular Plural,rats,tracker,19.97871208190918,17.212438583374023
Irregular Singular,mouse,inspector,20.657390594482422,15.39948844909668
Irregular Plural,mice,inspector,22.35390567779541,15.88520622253418
Regular Singular,rat,inspector,21.334453582763672,13.681710243225098
Regular Plural,rats,inspector,19.97871208190918,15.338808059692383
Irregular Singular,foot,issue,14.368730545043945,8.556547164916992
Irregular Plural,feet,issue,17.391176223754883,12.596309661865234
Regular Singular,leg,issue,19.39046287536621,12.457796096801758
Regular Plural,legs,issue,17.442603588104248,9.835735321044922
Irregular Singular,foot,examination,14.368730545043945,5.895462512969971
Irregular Plural,feet,examination,17.391176223754883,13.171113967895508
Regular Singular,leg,examination,19.39046287536621,11.017471313476562
Regular Plural,legs,examination,17.442603588104248,13.508049011230469
Irregular Singular,foot,expert,14.368730545043945,9.66023063659668
Irregular Plural,feet,expert,17.391176223754883,12.912086486816406
