Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,13.397374153137207,13.888648509979248
Irregular Plural,geese,protector,15.820397853851318,15.704885005950928
Regular Singular,swan,protector,13.369014739990234,14.511728286743164
Regular Plural,swans,protector,14.859968185424805,15.200623035430908
Irregular Singular,goose,trader,13.397374153137207,16.595534324645996
Irregular Plural,geese,trader,15.820397853851318,15.602575540542603
Regular Singular,swan,trader,13.369014739990234,14.336976289749146
Regular Plural,swans,trader,14.859968185424805,14.152912378311157
Irregular Singular,goose,tracker,13.397374153137207,17.15812873840332
Irregular Plural,geese,tracker,15.820397853851318,16.187694549560547
Regular Singular,swan,tracker,13.369014739990234,15.912513732910156
Regular Plural,swans,tracker,14.859968185424805,13.094402551651001
Irregular Singular,goose,expert,13.397374153137207,13.821662902832031
Irregular Plural,geese,expert,15.820395469665527,15.351116180419922
Regular Singular,swan,expert,13.369013786315918,15.039430618286133
Regular Plural,swans,expert,14.85997200012207,15.778485298156738
Irregular Singular,ox,register,13.285329818725586,12.569907188415527
Irregular Plural,oxen,register,13.67782974243164,14.844168663024902
Regular Singular,cow,register,11.223919868469238,15.556319236755371
Regular Plural,cows,register,12.564929962158203,15.459765434265137
Irregular Singular,ox,trader,13.285327911376953,9.788267135620117
Irregular Plural,oxen,trader,13.677826881408691,13.47059154510498
Regular Singular,cow,trader,11.223919868469238,13.790867805480957
Regular Plural,cows,trader,12.564931869506836,16.33965539932251
Irregular Singular,ox,tracker,13.285327911376953,13.988528728485107
Irregular Plural,oxen,tracker,13.677826881408691,16.547011852264404
Regular Singular,cow,tracker,11.223919868469238,17.572413444519043
Regular Plural,cows,tracker,12.564931869506836,16.148829460144043
Irregular Singular,ox,finder,13.285327911376953,11.67048978805542
Irregular Plural,oxen,finder,13.677826881408691,14.165266990661621
Regular Singular,cow,finder,11.223919868469238,16.147171020507812
Regular Plural,cows,finder,12.564931869506836,15.92987060546875
Irregular Singular,louse,issue,16.13015079498291,15.202898025512695
Irregular Plural,lice,issue,16.001009464263916,15.090322494506836
Regular Singular,flea,issue,13.087125778198242,11.687230110168457
Regular Plural,fleas,issue,15.277470588684082,11.725093841552734
