Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,12.615142822265625,13.532156467437744
Irregular Plural,geese,protector,13.366387844085693,11.96484899520874
Regular Singular,swan,protector,12.582725524902344,10.88826060295105
Regular Plural,swans,protector,14.41672420501709,12.272624731063843
Irregular Singular,goose,trader,12.615141868591309,9.532604217529297
Irregular Plural,geese,trader,13.366386413574219,10.66002893447876
Regular Singular,swan,trader,12.582725524902344,13.424631118774414
Regular Plural,swans,trader,14.41672396659851,12.08459997177124
Irregular Singular,goose,tracker,12.615141868591309,9.359644412994385
Irregular Plural,geese,tracker,13.366386413574219,12.683954954147339
Regular Singular,swan,tracker,12.582725524902344,12.728622674942017
Regular Plural,swans,tracker,14.41672396659851,13.22609257698059
Irregular Singular,goose,expert,12.615141868591309,12.77858281135559
Irregular Plural,geese,expert,13.366386413574219,11.197186708450317
Regular Singular,swan,expert,12.582725524902344,13.061110019683838
Regular Plural,swans,expert,14.41672396659851,11.460306167602539
Irregular Singular,ox,register,10.851580619812012,13.464489936828613
Irregular Plural,oxen,register,14.697741746902466,11.718631267547607
Regular Singular,cow,register,7.772685766220093,17.50950574874878
Regular Plural,cows,register,12.073364019393921,13.438867092132568
Irregular Singular,ox,trader,10.851579189300537,15.305111646652222
Irregular Plural,oxen,trader,14.697741746902466,11.48637056350708
Regular Singular,cow,trader,7.772685527801514,16.212929725646973
Regular Plural,cows,trader,12.073363780975342,12.0746169090271
Irregular Singular,ox,tracker,10.851579189300537,14.907994985580444
Irregular Plural,oxen,tracker,14.697741746902466,13.943469524383545
Regular Singular,cow,tracker,7.772685527801514,16.106971502304077
Regular Plural,cows,tracker,12.073363780975342,13.085490226745605
Irregular Singular,ox,finder,10.851579189300537,15.90744400024414
Irregular Plural,oxen,finder,14.697741746902466,12.99861764907837
Regular Singular,cow,finder,7.772685527801514,14.987163305282593
Regular Plural,cows,finder,12.073363780975342,13.89151382446289
Irregular Singular,louse,issue,13.120636463165283,15.327823400497437
Irregular Plural,lice,issue,12.143373012542725,16.908969402313232
Regular Singular,flea,issue,12.221564769744873,15.157902002334595
Regular Plural,fleas,issue,14.66296648979187,11.683918237686157
Irregular Singular,louse,trader,13.120636463165283,15.262714147567749
Irregular Plural,lice,trader,12.143373012542725,17.24268341064453
Regular Singular,flea,trader,12.221564769744873,7.1414642333984375
Regular Plural,fleas,trader,14.66296672821045,13.056837797164917
Irregular Singular,louse,tracker,13.120636463165283,17.051649570465088
Irregular Plural,lice,tracker,12.143373012542725,17.254600524902344
Regular Singular,flea,tracker,12.221564769744873,13.690609455108643
Regular Plural,fleas,tracker,14.66296672821045,13.655099391937256
Irregular Singular,louse,expert,13.120636463165283,15.446097612380981
Irregular Plural,lice,expert,12.143373012542725,15.552205324172974
Regular Singular,flea,expert,12.221564769744873,13.340444087982178
Regular Plural,fleas,expert,14.66296672821045,11.803811311721802
Irregular Singular,mouse,issue,11.23373556137085,11.826140403747559
Irregular Plural,mice,issue,8.808412790298462,14.005815029144287
Regular Singular,rat,issue,10.771818399429321,12.928290843963623
Regular Plural,rats,issue,11.979764938354492,11.490736722946167
Irregular Singular,mouse,trader,11.23373556137085,10.511072397232056
Irregular Plural,mice,trader,8.808412790298462,14.911373138427734
Regular Singular,rat,trader,10.771818399429321,14.270443201065063
Regular Plural,rats,trader,11.979764938354492,12.29983377456665
Irregular Singular,mouse,tracker,11.23373556137085,10.257017850875854
Irregular Plural,mice,tracker,8.808412790298462,16.723793745040894
Regular Singular,rat,tracker,10.771818399429321,13.205690145492554
Regular Plural,rats,tracker,11.979764938354492,13.267692804336548
Irregular Singular,mouse,inspector,11.233736515045166,10.727999925613403
Irregular Plural,mice,inspector,8.8084135055542,15.0960693359375
Regular Singular,rat,inspector,10.771818161010742,12.47523021697998
Regular Plural,rats,inspector,11.979764938354492,11.42478084564209
Irregular Singular,foot,issue,8.150164604187012,19.705453157424927
Irregular Plural,feet,issue,11.820927143096924,9.964524269104004
Regular Singular,leg,issue,10.977059364318848,15.438487529754639
Regular Plural,legs,issue,12.329644203186035,11.360846281051636
Irregular Singular,foot,examination,8.15016484260559,20.27749538421631
Irregular Plural,feet,examination,11.820926904678345,13.794784784317017
Regular Singular,leg,examination,10.977060794830322,15.593493700027466
Regular Plural,legs,examination,12.329645872116089,12.939191102981567
Irregular Singular,foot,expert,8.150164604187012,18.703513145446777
Irregular Plural,feet,expert,11.820927143096924,13.720397472381592
Regular Singular,leg,expert,10.977059364318848,12.363633871078491
Regular Plural,legs,expert,12.32964563369751,12.280613422393799
Irregular Singular,foot,inspector,8.15016508102417,17.165392875671387
Irregular Plural,feet,inspector,11.82092809677124,12.137990474700928
Regular Singular,leg,inspector,10.977060794830322,12.967548847198486
Regular Plural,legs,inspector,12.32964563369751,13.486810207366943
Irregular Singular,tooth,issue,8.73027491569519,14.685483455657959
Irregular Plural,teeth,issue,12.114183902740479,11.71001148223877
Regular Singular,bone,issue,10.848534345626831,12.335261583328247
Regular Plural,bones,issue,11.604956865310669,10.050658702850342
Irregular Singular,tooth,examination,8.730274438858032,16.576149702072144
Irregular Plural,teeth,examination,12.114183902740479,13.535871744155884
Regular Singular,bone,examination,10.848533630371094,17.15586233139038
Regular Plural,bones,examination,11.604956150054932,12.659847974777222
Irregular Singular,tooth,expert,8.73027491569519,15.49152135848999
Irregular Plural,teeth,expert,12.114183902740479,13.849119663238525
Regular Singular,bone,expert,10.848534345626831,15.025450229644775
Regular Plural,bones,expert,11.604956865310669,10.946154594421387
Irregular Singular,tooth,protector,8.730274677276611,21.30280590057373
Irregular Plural,teeth,protector,12.11418342590332,13.249164581298828
Regular Singular,bone,protector,10.848534345626831,13.334302186965942
Regular Plural,bones,protector,11.604956865310669,12.136677980422974
Irregular Singular,child,patrol,7.689647674560547,13.754781723022461
Irregular Plural,children,patrol,9.458396434783936,11.972898244857788
Regular Singular,adult,patrol,10.254288911819458,12.644238710403442
Regular Plural,adults,patrol,11.58468508720398,13.513063669204712
Irregular Singular,child,register,7.689647674560547,15.014434814453125
Irregular Plural,children,register,9.458395957946777,13.189484596252441
Regular Singular,adult,register,10.254288911819458,17.47125768661499
Regular Plural,adults,register,11.584685564041138,12.268298625946045
Irregular Singular,child,institute,7.689647674560547,18.035340547561646
Irregular Plural,children,institute,9.458395957946777,14.738276243209839
Regular Singular,adult,institute,10.254288911819458,16.209383010864258
Regular Plural,adults,institute,11.584685564041138,14.710095882415771
Irregular Singular,child,crew,7.689647674560547,13.640763521194458
Irregular Plural,children,crew,9.458396434783936,11.434542179107666
Regular Singular,adult,crew,10.254289865493774,14.174248218536377
Regular Plural,adults,crew,11.584686517715454,10.222841739654541
Irregular Singular,woman,protector,8.950483560562134,13.790709972381592
Irregular Plural,women,protector,9.796321868896484,12.062065124511719
Regular Singular,girl,protector,9.167058944702148,14.749110460281372
Regular Plural,girls,protector,9.669363021850586,15.29356861114502
Irregular Singular,woman,register,8.950483560562134,13.286121368408203
Irregular Plural,women,register,9.7963228225708,11.325757503509521
Regular Singular,girl,register,9.167058944702148,13.336132287979126
Regular Plural,girls,register,9.669363021850586,11.614173889160156
Irregular Singular,woman,hangout,8.950483560562134,14.661234378814697
Irregular Plural,women,hangout,9.7963228225708,14.193987846374512
Regular Singular,girl,hangout,9.167057991027832,16.099008083343506
Regular Plural,girls,hangout,9.669363021850586,14.701722145080566
Irregular Singular,woman,crew,8.950483322143555,10.495898008346558
Irregular Plural,women,crew,9.796322345733643,10.313007354736328
Regular Singular,girl,crew,9.167057991027832,9.838725566864014
Regular Plural,girls,crew,9.669362545013428,9.800347566604614
Irregular Singular,man,institute,7.574499130249023,15.427079200744629
Irregular Plural,men,institute,7.994412422180176,14.907982110977173
Regular Singular,boy,institute,9.046290636062622,14.831504106521606
Regular Plural,boys,institute,10.173863410949707,14.195794343948364
Irregular Singular,man,register,7.574499130249023,12.333722591400146
Irregular Plural,men,register,7.994412422180176,13.960708618164062
Regular Singular,boy,register,9.046290636062622,13.660199165344238
Regular Plural,boys,register,10.173863410949707,11.964975595474243
Irregular Singular,man,finder,7.574498653411865,12.59583306312561
Irregular Plural,men,finder,7.994411468505859,16.027324199676514
Regular Singular,boy,finder,9.046290397644043,15.867647647857666
Regular Plural,boys,finder,10.173863649368286,14.875205516815186
Irregular Singular,man,hangout,7.574498653411865,13.700751543045044
Irregular Plural,men,hangout,7.994411468505859,14.938911437988281
Regular Singular,boy,hangout,9.046290397644043,15.868328094482422
Regular Plural,boys,hangout,10.173863649368286,15.039294004440308
Irregular Singular,salesman,institute,14.901795625686646,12.717352628707886
Irregular Plural,salesmen,institute,15.707897901535034,12.319703340530396
Regular Singular,retailer,institute,15.141613245010376,15.530110836029053
Regular Plural,retailers,institute,16.165565490722656,10.358857154846191
Irregular Singular,salesman,inspector,14.901796579360962,8.655287981033325
Irregular Plural,salesmen,inspector,15.707899332046509,9.81478500366211
Regular Singular,retailer,inspector,15.14161491394043,13.780426025390625
Regular Plural,retailers,inspector,16.165565490722656,9.344436645507812
Irregular Singular,salesman,protector,14.901796579360962,11.757172346115112
Irregular Plural,salesmen,protector,15.707899332046509,11.792236328125
Regular Singular,retailer,protector,15.14161491394043,12.721658706665039
Regular Plural,retailers,protector,16.165565490722656,12.46787405014038
Irregular Singular,salesman,employer,14.901795625686646,13.066089630126953
Irregular Plural,salesmen,employer,15.707897901535034,13.712130069732666
Regular Singular,retailer,employer,15.141613245010376,16.4953396320343
Regular Plural,retailers,employer,16.16556429862976,10.994836807250977
Irregular Singular,nobleman,patrol,16.352333068847656,11.62495756149292
Irregular Plural,noblemen,patrol,16.09255075454712,11.420680522918701
Regular Singular,aristocrat,patrol,13.56564712524414,10.619236946105957
Regular Plural,aristocrats,patrol,14.65363073348999,10.349880933761597
Irregular Singular,nobleman,hangout,16.352333068847656,15.00705337524414
Irregular Plural,noblemen,hangout,16.09255075454712,16.184131622314453
Regular Singular,aristocrat,hangout,13.56564712524414,14.436513185501099
Regular Plural,aristocrats,hangout,14.65363073348999,16.36808204650879
Irregular Singular,nobleman,institute,16.352333545684814,12.976718187332153
Irregular Plural,noblemen,institute,16.09255027770996,13.145563125610352
Regular Singular,aristocrat,institute,13.56564712524414,10.50663423538208
Regular Plural,aristocrats,institute,14.65363073348999,12.183625221252441
Irregular Singular,nobleman,crew,16.352333784103394,9.459453105926514
Irregular Plural,noblemen,crew,16.092550039291382,9.379714965820312
Regular Singular,aristocrat,crew,13.565645694732666,9.264003038406372
Regular Plural,aristocrats,crew,14.653629779815674,8.515182256698608
Irregular Singular,boatman,patrol,14.959290027618408,8.97975492477417
Irregular Plural,boatmen,patrol,16.1399507522583,9.056928634643555
Regular Singular,shipmate,patrol,17.402307510375977,11.924141883850098
Regular Plural,shipmates,patrol,17.686599254608154,9.655939102172852
Irregular Singular,boatman,finder,14.959290027618408,14.581289291381836
Irregular Plural,boatmen,finder,16.1399507522583,14.09611964225769
Regular Singular,shipmate,finder,17.402307510375977,13.815691947937012
Regular Plural,shipmates,finder,17.686599254608154,14.246224403381348
Irregular Singular,boatman,inspector,14.959289073944092,9.599666118621826
Irregular Plural,boatmen,inspector,16.1399507522583,11.821532011032104
Regular Singular,shipmate,inspector,17.40230703353882,11.895513772964478
Regular Plural,shipmates,inspector,17.686600923538208,10.289405107498169
Irregular Singular,boatman,employer,14.959290027618408,14.471665620803833
