Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,12.723314762115479,11.979670763015747
Irregular Plural,geese,protector,15.566878318786621,11.683614492416382
Regular Singular,swan,protector,12.69594955444336,10.718366861343384
Regular Plural,swans,protector,14.554407596588135,13.534152746200562
Irregular Singular,goose,trader,12.723312616348267,11.975748062133789
Irregular Plural,geese,trader,15.566876888275146,12.11363935470581
Regular Singular,swan,trader,12.695949077606201,9.768377780914307
Regular Plural,swans,trader,14.554407596588135,12.69175672531128
Irregular Singular,goose,tracker,12.723312616348267,13.622299671173096
Irregular Plural,geese,tracker,15.566876888275146,13.995838165283203
Regular Singular,swan,tracker,12.695949077606201,12.057640790939331
Regular Plural,swans,tracker,14.554407596588135,13.328195333480835
Irregular Singular,goose,expert,12.723312616348267,12.35394287109375
Irregular Plural,geese,expert,15.566876888275146,13.201082706451416
Regular Singular,swan,expert,12.695949077606201,11.72389841079712
Regular Plural,swans,expert,14.554407596588135,12.104007244110107
Irregular Singular,ox,register,13.827975749969482,12.51508617401123
Irregular Plural,oxen,register,13.805434942245483,12.55220913887024
Regular Singular,cow,register,11.655499935150146,12.359402894973755
Regular Plural,cows,register,12.412634134292603,13.718231678009033
Irregular Singular,ox,trader,13.827975749969482,11.755406618118286
Irregular Plural,oxen,trader,13.80543327331543,12.087091445922852
Regular Singular,cow,trader,11.655499935150146,12.276994705200195
Regular Plural,cows,trader,12.412634134292603,13.885412693023682
Irregular Singular,ox,tracker,13.827975749969482,13.453872680664062
Irregular Plural,oxen,tracker,13.80543327331543,14.504163980484009
Regular Singular,cow,tracker,11.655499935150146,13.484285116195679
Regular Plural,cows,tracker,12.412634134292603,15.54028606414795
Irregular Singular,ox,finder,13.827975749969482,13.946489334106445
Irregular Plural,oxen,finder,13.80543327331543,15.631293058395386
Regular Singular,cow,finder,11.655499935150146,14.740623712539673
Regular Plural,cows,finder,12.412634134292603,16.474932193756104
Irregular Singular,louse,issue,14.75198745727539,13.997803688049316
Irregular Plural,lice,issue,15.576798439025879,13.113456010818481
Regular Singular,flea,issue,13.3227858543396,11.267780542373657
Regular Plural,fleas,issue,13.689207792282104,10.96747374534607
Irregular Singular,louse,trader,14.751987934112549,12.200951099395752
Irregular Plural,lice,trader,15.576796531677246,12.163110256195068
Regular Singular,flea,trader,13.322786569595337,11.690196752548218
Regular Plural,fleas,trader,13.689208030700684,13.730539083480835
Irregular Singular,louse,tracker,14.751987934112549,13.066892862319946
Irregular Plural,lice,tracker,15.576796531677246,13.542670726776123
Regular Singular,flea,tracker,13.322786569595337,13.277847051620483
Regular Plural,fleas,tracker,13.689208030700684,13.749373197555542
Irregular Singular,louse,expert,14.751987934112549,11.88211965560913
Irregular Plural,lice,expert,15.576796531677246,11.948251962661743
Regular Singular,flea,expert,13.322786569595337,12.512129545211792
Regular Plural,fleas,expert,13.689208030700684,12.806085586547852
Irregular Singular,mouse,issue,11.717363357543945,12.58489990234375
Irregular Plural,mice,issue,13.156527996063232,12.15397024154663
Regular Singular,rat,issue,12.622353792190552,12.159809112548828
Regular Plural,rats,issue,12.51909875869751,11.899760723114014
Irregular Singular,mouse,trader,11.717363357543945,12.088781118392944
Irregular Plural,mice,trader,13.156528949737549,14.049805879592896
