Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,13.28683853149414,14.446340322494507
Irregular Plural,geese,protector,14.514993667602539,18.110620498657227
Regular Singular,swan,protector,14.153059005737305,11.648794889450073
Regular Plural,swans,protector,14.560719966888428,18.1380672454834
Irregular Singular,goose,trader,13.28683853149414,12.759049952030182
Irregular Plural,geese,trader,14.514993667602539,10.998420238494873
Regular Singular,swan,trader,14.153059005737305,11.71882700920105
Regular Plural,swans,trader,14.560719966888428,12.839063167572021
Irregular Singular,goose,tracker,13.28683853149414,16.89898681640625
Irregular Plural,geese,tracker,14.514993667602539,15.537069320678711
Regular Singular,swan,tracker,14.153059005737305,16.1247501373291
Regular Plural,swans,tracker,14.560719966888428,14.684822082519531
Irregular Singular,goose,expert,13.286837577819824,13.467503547668457
Irregular Plural,geese,expert,14.51499080657959,10.92158031463623
Regular Singular,swan,expert,14.153058052062988,15.408622741699219
Regular Plural,swans,expert,14.560719728469849,14.610879898071289
Irregular Singular,ox,register,13.614608764648438,14.876642227172852
Irregular Plural,oxen,register,15.340082168579102,11.794134140014648
Regular Singular,cow,register,13.509464263916016,19.517215728759766
Regular Plural,cows,register,13.551652908325195,14.442301750183105
Irregular Singular,ox,trader,13.614608764648438,10.119482278823853
Irregular Plural,oxen,trader,15.340082168579102,15.134648323059082
Regular Singular,cow,trader,13.509464263916016,12.645604014396667
Regular Plural,cows,trader,13.551652908325195,13.513903617858887
Irregular Singular,ox,tracker,13.614608764648438,15.257845878601074
Irregular Plural,oxen,tracker,15.340082168579102,17.28876304626465
Regular Singular,cow,tracker,13.509464263916016,14.99687385559082
Regular Plural,cows,tracker,13.551652908325195,16.76107692718506
Irregular Singular,ox,finder,13.614608764648438,13.081315755844116
Irregular Plural,oxen,finder,15.340082168579102,16.260286331176758
Regular Singular,cow,finder,13.509464263916016,12.866379737854004
Regular Plural,cows,finder,13.551652908325195,17.88963794708252
Irregular Singular,louse,issue,15.411348819732666,10.185288429260254
Irregular Plural,lice,issue,14.764162063598633,11.194916725158691
Regular Singular,flea,issue,16.603244304656982,15.133833885192871
Regular Plural,fleas,issue,15.216886520385742,13.720258712768555
Irregular Singular,louse,trader,15.41135025024414,13.175955414772034
Irregular Plural,lice,trader,14.764160633087158,9.785093307495117
Regular Singular,flea,trader,16.603238582611084,11.996079683303833
Regular Plural,fleas,trader,15.216888666152954,14.782639503479004
Irregular Singular,louse,tracker,15.41135025024414,16.06562900543213
Irregular Plural,lice,tracker,14.764160633087158,15.766079187393188
Regular Singular,flea,tracker,16.603238582611084,15.010403394699097
Regular Plural,fleas,tracker,15.216888666152954,16.10652208328247
Irregular Singular,louse,expert,15.411348819732666,13.839869499206543
Irregular Plural,lice,expert,14.764162063598633,15.085182189941406
Regular Singular,flea,expert,16.603244304656982,15.391633033752441
Regular Plural,fleas,expert,15.216886520385742,16.51449966430664
Irregular Singular,mouse,issue,12.9003324508667,10.121726989746094
Irregular Plural,mice,issue,14.003103256225586,11.661968231201172
Regular Singular,rat,issue,13.240997314453125,11.491596221923828
Regular Plural,rats,issue,13.678829193115234,12.406610488891602
Irregular Singular,mouse,trader,12.9003324508667,8.767960786819458
Irregular Plural,mice,trader,14.003103256225586,13.215635299682617
Regular Singular,rat,trader,13.240997314453125,8.251652121543884
Regular Plural,rats,trader,13.678828239440918,15.425094604492188
Irregular Singular,mouse,tracker,12.9003324508667,11.72179889678955
Irregular Plural,mice,tracker,14.003103256225586,15.779451370239258
Regular Singular,rat,tracker,13.240997314453125,15.140392303466797
Regular Plural,rats,tracker,13.678828239440918,16.780457496643066
Irregular Singular,mouse,inspector,12.9003324508667,13.758528709411621
Irregular Plural,mice,inspector,14.003103256225586,13.091362953186035
Regular Singular,rat,inspector,13.240997314453125,14.073421478271484
Regular Plural,rats,inspector,13.678829193115234,14.685461044311523
Irregular Singular,foot,issue,15.38369369506836,12.643621444702148
Irregular Plural,feet,issue,12.453095436096191,15.788715362548828
Regular Singular,leg,issue,13.214408874511719,12.297324180603027
Regular Plural,legs,issue,12.988582611083984,16.665874481201172
Irregular Singular,foot,examination,15.38369369506836,10.860898971557617
Irregular Plural,feet,examination,12.453095436096191,14.820828437805176
Regular Singular,leg,examination,13.214408874511719,11.66966724395752
Regular Plural,legs,examination,12.988582611083984,16.08568000793457
Irregular Singular,foot,expert,15.38369369506836,10.744560241699219
Irregular Plural,feet,expert,12.453095436096191,13.241722106933594
Regular Singular,leg,expert,13.214408874511719,10.88428020477295
Regular Plural,legs,expert,12.988582611083984,13.964699745178223
Irregular Singular,foot,inspector,15.38369369506836,14.223112106323242
Irregular Plural,feet,inspector,12.453095436096191,16.124269485473633
Regular Singular,leg,inspector,13.214408874511719,15.333767890930176
Regular Plural,legs,inspector,12.988582611083984,15.842503547668457
Irregular Singular,tooth,issue,14.454632759094238,11.587462425231934
Irregular Plural,teeth,issue,13.338491439819336,13.876914024353027
Regular Singular,bone,issue,12.610273361206055,15.19975471496582
Regular Plural,bones,issue,12.777647972106934,16.036623001098633
Irregular Singular,tooth,examination,14.454632759094238,11.002765655517578
Irregular Plural,teeth,examination,13.338491439819336,13.623403549194336
Regular Singular,bone,examination,12.610273361206055,10.980952262878418
Regular Plural,bones,examination,12.777647972106934,12.301324844360352
Irregular Singular,tooth,expert,14.454632759094238,10.86038875579834
Irregular Plural,teeth,expert,13.338491439819336,12.527554512023926
Regular Singular,bone,expert,12.610273361206055,12.10470199584961
Regular Plural,bones,expert,12.777647972106934,13.303386688232422
Irregular Singular,tooth,protector,14.454630851745605,11.316139459609985
Irregular Plural,teeth,protector,13.338489532470703,15.587910175323486
Regular Singular,bone,protector,12.610273361206055,14.174343585968018
Regular Plural,bones,protector,12.77764892578125,16.9493989944458
Irregular Singular,child,patrol,12.184029579162598,15.018113136291504
Irregular Plural,children,patrol,11.079385757446289,13.865378379821777
Regular Singular,adult,patrol,11.526215553283691,13.460846900939941
Regular Plural,adults,patrol,12.809591293334961,12.719245910644531
Irregular Singular,child,register,12.184029579162598,13.27351188659668
Irregular Plural,children,register,11.079385757446289,11.589313507080078
Regular Singular,adult,register,11.526215553283691,12.554550170898438
Regular Plural,adults,register,12.809591293334961,10.68371295928955
Irregular Singular,child,institute,12.184029579162598,14.262146949768066
Irregular Plural,children,institute,11.079385757446289,14.058457374572754
Regular Singular,adult,institute,11.526215553283691,11.217007637023926
Regular Plural,adults,institute,12.809591293334961,15.689067840576172
Irregular Singular,child,crew,12.184029579162598,12.988797187805176
Irregular Plural,children,crew,11.079385757446289,13.145191192626953
Regular Singular,adult,crew,11.526215553283691,9.929352760314941
Regular Plural,adults,crew,12.809591293334961,12.609827041625977
Irregular Singular,woman,protector,11.721673011779785,13.366874933242798
Irregular Plural,women,protector,10.282388687133789,15.47331714630127
Regular Singular,girl,protector,11.695989608764648,12.511270999908447
Regular Plural,girls,protector,11.33949089050293,17.32944107055664
Irregular Singular,woman,register,11.721673965454102,15.213191986083984
Irregular Plural,women,register,10.282388687133789,12.511250495910645
Regular Singular,girl,register,11.695989608764648,16.512977600097656
Regular Plural,girls,register,11.33949089050293,12.819697380065918
Irregular Singular,woman,hangout,11.721673011779785,21.713504791259766
Irregular Plural,women,hangout,10.282388687133789,19.484909057617188
Regular Singular,girl,hangout,11.695989608764648,17.65895986557007
Regular Plural,girls,hangout,11.33949089050293,16.99345874786377
Irregular Singular,woman,crew,11.721673965454102,12.304197311401367
Irregular Plural,women,crew,10.282388687133789,12.107657432556152
Regular Singular,girl,crew,11.695989608764648,10.54686164855957
Regular Plural,girls,crew,11.33949089050293,13.268606185913086
Irregular Singular,man,institute,9.711007118225098,15.332663536071777
Irregular Plural,men,institute,10.261932373046875,14.149213790893555
Regular Singular,boy,institute,11.343856811523438,14.241415023803711
Regular Plural,boys,institute,10.937345504760742,15.299253463745117
Irregular Singular,man,register,9.711007118225098,15.8100004196167
Irregular Plural,men,register,10.261932373046875,14.568921089172363
Regular Singular,boy,register,11.343856811523438,16.837236404418945
Regular Plural,boys,register,10.937345504760742,14.093483924865723
Irregular Singular,man,finder,9.711008071899414,14.789106845855713
Irregular Plural,men,finder,10.261931419372559,15.826258659362793
Regular Singular,boy,finder,11.343856811523438,12.761985540390015
Regular Plural,boys,finder,10.937345504760742,17.212016105651855
Irregular Singular,man,hangout,9.711008071899414,20.154285430908203
Irregular Plural,men,hangout,10.261931419372559,16.80418109893799
Regular Singular,boy,hangout,11.343856811523438,17.61413288116455
Regular Plural,boys,hangout,10.937345504760742,17.541698932647705
Irregular Singular,salesman,institute,14.844957828521729,14.174945831298828
Irregular Plural,salesmen,institute,16.225126266479492,13.651893615722656
Regular Singular,retailer,institute,16.95396614074707,11.497100830078125
Regular Plural,retailers,institute,15.84922730922699,12.064534187316895
Irregular Singular,salesman,inspector,14.844957828521729,14.433433532714844
Irregular Plural,salesmen,inspector,16.225126266479492,13.829463005065918
Regular Singular,retailer,inspector,16.95396614074707,12.588212966918945
Regular Plural,retailers,inspector,15.84922730922699,12.91127872467041
Irregular Singular,salesman,protector,14.844956874847412,18.750129222869873
Irregular Plural,salesmen,protector,16.225125789642334,18.743760108947754
Regular Singular,retailer,protector,16.953964233398438,16.25225329399109
Regular Plural,retailers,protector,15.84923005104065,20.110219955444336
Irregular Singular,salesman,employer,14.844957828521729,18.6110897064209
Irregular Plural,salesmen,employer,16.225126266479492,16.454524993896484
Regular Singular,retailer,employer,16.95396614074707,16.076120376586914
Regular Plural,retailers,employer,15.84922730922699,13.426502227783203
Irregular Singular,nobleman,patrol,17.803293228149414,13.082113265991211
Irregular Plural,noblemen,patrol,18.146070957183838,12.440520286560059
Regular Singular,aristocrat,patrol,17.44166135787964,13.759786605834961
Regular Plural,aristocrats,patrol,15.836245894432068,12.057085990905762
Irregular Singular,nobleman,hangout,17.803293704986572,17.090677738189697
Irregular Plural,noblemen,hangout,18.14607334136963,17.818230152130127
Regular Singular,aristocrat,hangout,17.44166588783264,19.146677017211914
Regular Plural,aristocrats,hangout,15.836245894432068,16.85587978363037
Irregular Singular,nobleman,institute,17.803293228149414,11.662598609924316
Irregular Plural,noblemen,institute,18.146070957183838,13.58454704284668
Regular Singular,aristocrat,institute,17.44166135787964,11.764713287353516
Regular Plural,aristocrats,institute,15.836245894432068,13.687460899353027
Irregular Singular,nobleman,crew,17.803293228149414,11.171388626098633
Irregular Plural,noblemen,crew,18.146070957183838,12.76325511932373
Regular Singular,aristocrat,crew,17.44166135787964,15.660886764526367
Regular Plural,aristocrats,crew,15.836245894432068,13.942140579223633
Irregular Singular,boatman,patrol,15.4300696849823,13.971525192260742
Irregular Plural,boatmen,patrol,16.947575569152832,11.684588432312012
Regular Singular,shipmate,patrol,19.744784355163574,12.018194198608398
Regular Plural,shipmates,patrol,18.088966369628906,11.379656791687012
Irregular Singular,boatman,finder,15.430074214935303,13.105458498001099
Irregular Plural,boatmen,finder,16.947580337524414,16.135531425476074
Regular Singular,shipmate,finder,19.744787216186523,12.552852630615234
Regular Plural,shipmates,finder,18.088968753814697,18.960254192352295
Irregular Singular,boatman,inspector,15.4300696849823,9.510078430175781
Irregular Plural,boatmen,inspector,16.947575569152832,10.054818153381348
Regular Singular,shipmate,inspector,19.744784355163574,9.067744255065918
Regular Plural,shipmates,inspector,18.088966369628906,11.43763542175293
Irregular Singular,boatman,employer,15.4300696849823,16.561172485351562
Irregular Plural,boatmen,employer,16.947575569152832,16.61626434326172
Regular Singular,shipmate,employer,19.744784355163574,15.395291328430176
Regular Plural,shipmates,employer,18.088966369628906,14.9464111328125
Irregular Singular,craftsman,employer,17.767521858215332,20.02206802368164
Irregular Plural,craftsmen,employer,15.370839595794678,17.059431076049805
Regular Singular,labourer,employer,19.4699490070343,18.794139862060547
Regular Plural,labourers,employer,17.488124132156372,16.360218048095703
Irregular Singular,craftsman,examination,17.767521858215332,16.066286087036133
Irregular Plural,craftsmen,examination,15.370839595794678,13.227603912353516
Regular Singular,labourer,examination,19.4699490070343,14.612197875976562
Regular Plural,labourers,examination,17.488124132156372,12.625694274902344
Irregular Singular,craftsman,hangout,17.767518043518066,16.578853607177734
Irregular Plural,craftsmen,hangout,15.370842218399048,16.12278652191162
Regular Singular,labourer,hangout,19.469944715499878,17.863447189331055
Regular Plural,labourers,hangout,17.488125562667847,17.760098934173584
Irregular Singular,craftsman,finder,17.767518043518066,12.560689926147461
Irregular Plural,craftsmen,finder,15.370842218399048,14.916648864746094
Regular Singular,labourer,finder,19.469944715499878,13.94908332824707
Regular Plural,labourers,finder,17.488125562667847,17.838417053222656
Irregular Singular,fireman,examination,14.051199913024902,17.39472198486328
Irregular Plural,firemen,examination,15.827608108520508,12.319967269897461
Regular Singular,lifeguard,examination,19.014002799987793,15.643095970153809
Regular Plural,lifeguards,examination,17.772780418395996,16.448259353637695
Irregular Singular,fireman,employer,14.051199913024902,20.17023468017578
Irregular Plural,firemen,employer,15.827608108520508,16.225038528442383
Regular Singular,lifeguard,employer,19.014002799987793,16.032001495361328
Regular Plural,lifeguards,employer,17.772780418395996,16.423870086669922
Irregular Singular,fireman,crew,14.051199913024902,11.810708999633789
Irregular Plural,firemen,crew,15.827608108520508,9.855011940002441
Regular Singular,lifeguard,crew,19.014002799987793,9.769932746887207
Regular Plural,lifeguards,crew,17.772780418395996,11.043251037597656
Irregular Singular,fireman,patrol,14.051199913024902,12.17686939239502
Irregular Plural,firemen,patrol,15.827608108520508,8.718587875366211
Regular Singular,lifeguard,patrol,19.014002799987793,10.43053150177002
Regular Plural,lifeguards,patrol,17.772780418395996,11.033702850341797
