Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,13.22781229019165,12.916164875030518
Irregular Plural,geese,protector,14.91047716140747,12.260687112808228
Regular Singular,swan,protector,12.29116678237915,13.174300193786621
Regular Plural,swans,protector,13.539034605026245,14.270060062408447
Irregular Singular,goose,trader,13.227813720703125,10.791497945785522
Irregular Plural,geese,trader,14.910475730895996,10.639291048049927
Regular Singular,swan,trader,12.29116678237915,12.564070701599121
Regular Plural,swans,trader,13.539035081863403,12.803372859954834
Irregular Singular,goose,tracker,13.227813720703125,11.707094192504883
Irregular Plural,geese,tracker,14.910475730895996,13.360261917114258
Regular Singular,swan,tracker,12.29116678237915,16.18071937561035
Regular Plural,swans,tracker,13.539035081863403,13.947641611099243
Irregular Singular,goose,expert,13.227813720703125,12.352474689483643
Irregular Plural,geese,expert,14.910475730895996,12.572991132736206
Regular Singular,swan,expert,12.29116678237915,12.561264514923096
Regular Plural,swans,expert,13.539035081863403,14.567153692245483
Irregular Singular,ox,register,10.69954252243042,15.076854705810547
Irregular Plural,oxen,register,14.652529001235962,11.783692836761475
Regular Singular,cow,register,10.888513565063477,13.358757734298706
Regular Plural,cows,register,14.092337131500244,12.898700475692749
Irregular Singular,ox,trader,10.69954252243042,15.839082479476929
Irregular Plural,oxen,trader,14.652529001235962,13.459249019622803
Regular Singular,cow,trader,10.888513565063477,13.02186131477356
Regular Plural,cows,trader,14.092337131500244,14.822834968566895
Irregular Singular,ox,tracker,10.69954252243042,16.846259832382202
Irregular Plural,oxen,tracker,14.652529001235962,14.653982400894165
Regular Singular,cow,tracker,10.888513565063477,13.053569555282593
Regular Plural,cows,tracker,14.092337131500244,14.445849895477295
Irregular Singular,ox,finder,10.69954252243042,11.494513511657715
Irregular Plural,oxen,finder,14.652529001235962,13.061116456985474
Regular Singular,cow,finder,10.888513565063477,15.061748266220093
Regular Plural,cows,finder,14.092337131500244,15.476309061050415
Irregular Singular,louse,issue,14.873830556869507,11.950502872467041
Irregular Plural,lice,issue,12.142971515655518,13.237023115158081
Regular Singular,flea,issue,13.525306701660156,10.90928840637207
Regular Plural,fleas,issue,14.413418054580688,10.264244794845581
Irregular Singular,louse,trader,14.873830556869507,14.312306880950928
Irregular Plural,lice,trader,12.14297103881836,14.672696590423584
Regular Singular,flea,trader,13.525307416915894,15.26020097732544
Regular Plural,fleas,trader,14.413418054580688,14.088903427124023
Irregular Singular,louse,tracker,14.873830556869507,14.527626276016235
Irregular Plural,lice,tracker,12.14297103881836,15.723742723464966
Regular Singular,flea,tracker,13.525307416915894,17.6638126373291
Regular Plural,fleas,tracker,14.413418054580688,15.890572547912598
Irregular Singular,louse,expert,14.873830556869507,11.17539381980896
Irregular Plural,lice,expert,12.14297103881836,15.33791995048523
Regular Singular,flea,expert,13.525307416915894,11.923704624176025
Regular Plural,fleas,expert,14.413418054580688,10.805840492248535
Irregular Singular,mouse,issue,12.291735887527466,13.418379306793213
Irregular Plural,mice,issue,13.268617868423462,14.202277898788452
Regular Singular,rat,issue,9.727582454681396,12.352283954620361
Regular Plural,rats,issue,12.288912773132324,13.241939306259155
Irregular Singular,mouse,trader,12.291735887527466,10.565741062164307
Irregular Plural,mice,trader,13.268618106842041,13.822233438491821
Regular Singular,rat,trader,9.727582454681396,14.308316469192505
Regular Plural,rats,trader,12.28891396522522,14.796632289886475
Irregular Singular,mouse,tracker,12.291735887527466,10.691904544830322
Irregular Plural,mice,tracker,13.268618106842041,14.486937999725342
Regular Singular,rat,tracker,9.727583169937134,15.78716516494751
Regular Plural,rats,tracker,12.28891396522522,14.44195032119751
Irregular Singular,mouse,inspector,12.291737079620361,10.676032304763794
Irregular Plural,mice,inspector,13.268618106842041,12.26564335823059
Regular Singular,rat,inspector,9.727583169937134,18.16885805130005
Regular Plural,rats,inspector,12.28891396522522,12.872758388519287
Irregular Singular,foot,issue,8.489526271820068,16.265167951583862
Irregular Plural,feet,issue,12.371524810791016,12.855716943740845
Regular Singular,leg,issue,10.06739854812622,14.593668937683105
Regular Plural,legs,issue,13.336068868637085,11.596060037612915
Irregular Singular,foot,examination,8.489527225494385,15.189333438873291
Irregular Plural,feet,examination,12.371524333953857,13.832177877426147
Regular Singular,leg,examination,10.067398071289062,16.934385299682617
Regular Plural,legs,examination,13.336068153381348,16.192941188812256
Irregular Singular,foot,expert,8.489526748657227,16.33469009399414
Irregular Plural,feet,expert,12.371524810791016,12.638333082199097
Regular Singular,leg,expert,10.06739854812622,13.058289289474487
Regular Plural,legs,expert,13.336068391799927,14.520122289657593
Irregular Singular,foot,inspector,8.489526748657227,16.757226705551147
Irregular Plural,feet,inspector,12.371524810791016,9.845102071762085
Regular Singular,leg,inspector,10.067398071289062,16.044591188430786
Regular Plural,legs,inspector,13.336068391799927,11.269889831542969
Irregular Singular,tooth,issue,12.01108717918396,15.16354775428772
Irregular Plural,teeth,issue,13.016360759735107,16.05025815963745
Regular Singular,bone,issue,11.319963932037354,12.74553632736206
Regular Plural,bones,issue,11.869586706161499,11.919956922531128
Irregular Singular,tooth,examination,12.011087656021118,17.617695569992065
Irregular Plural,teeth,examination,13.01636004447937,15.66206693649292
Regular Singular,bone,examination,11.31996488571167,14.34232211112976
Regular Plural,bones,examination,11.86958622932434,12.201762676239014
Irregular Singular,tooth,expert,12.01108717918396,14.570054054260254
Irregular Plural,teeth,expert,13.016360759735107,13.020854234695435
Regular Singular,bone,expert,11.319964170455933,12.279441118240356
Regular Plural,bones,expert,11.869586706161499,10.86824345588684
Irregular Singular,tooth,protector,12.011088371276855,15.238930225372314
Irregular Plural,teeth,protector,13.016361474990845,12.16652512550354
Regular Singular,bone,protector,11.319964170455933,13.6905038356781
Regular Plural,bones,protector,11.869587421417236,11.991780281066895
Irregular Singular,child,patrol,9.79672908782959,13.20073413848877
Irregular Plural,children,patrol,10.296591758728027,13.615319728851318
Regular Singular,adult,patrol,11.338049173355103,13.746768951416016
Regular Plural,adults,patrol,12.041169881820679,14.215907573699951
Irregular Singular,child,register,9.79672908782959,12.856266975402832
Irregular Plural,children,register,10.29659128189087,10.787985563278198
Regular Singular,adult,register,11.338049173355103,14.274463653564453
Regular Plural,adults,register,12.041170597076416,10.298595428466797
Irregular Singular,child,institute,9.796728134155273,12.30383014678955
Irregular Plural,children,institute,10.29659128189087,11.272836923599243
