Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,14.60340404510498,13.371793270111084
Irregular Plural,geese,protector,17.538429737091064,16.234435558319092
Regular Singular,swan,protector,13.490973949432373,12.426311731338501
Regular Plural,swans,protector,16.098756313323975,15.519409656524658
Irregular Singular,goose,trader,14.60340166091919,12.571978092193604
Irregular Plural,geese,trader,17.538429260253906,12.965659618377686
Regular Singular,swan,trader,13.49097490310669,12.014471530914307
Regular Plural,swans,trader,16.09875726699829,14.64025068283081
Irregular Singular,goose,tracker,14.60340166091919,13.33016300201416
Irregular Plural,geese,tracker,17.538429260253906,13.623559951782227
Regular Singular,swan,tracker,13.49097490310669,13.209978580474854
Regular Plural,swans,tracker,16.09875726699829,16.55815029144287
Irregular Singular,goose,expert,14.60340166091919,13.583626508712769
Irregular Plural,geese,expert,17.538429260253906,13.45971941947937
Regular Singular,swan,expert,13.49097490310669,12.834317207336426
Regular Plural,swans,expert,16.09875726699829,13.336204767227173
Irregular Singular,ox,register,13.966911315917969,12.518474102020264
Irregular Plural,oxen,register,13.98596477508545,10.879568576812744
Regular Singular,cow,register,13.562097072601318,13.069018363952637
Regular Plural,cows,register,14.102290153503418,12.994084358215332
Irregular Singular,ox,trader,13.966908931732178,10.932132482528687
Irregular Plural,oxen,trader,13.98596477508545,14.363407611846924
Regular Singular,cow,trader,13.562097072601318,12.964667320251465
Regular Plural,cows,trader,14.102290153503418,17.6370632648468
Irregular Singular,ox,tracker,13.966911315917969,12.118959426879883
Irregular Plural,oxen,tracker,13.98596477508545,15.740047931671143
Regular Singular,cow,tracker,13.562097072601318,13.422421932220459
Regular Plural,cows,tracker,14.102290153503418,17.627331495285034
Irregular Singular,ox,finder,13.966908931732178,12.990297794342041
Irregular Plural,oxen,finder,13.98596477508545,16.149250984191895
Regular Singular,cow,finder,13.562097072601318,12.059417247772217
Regular Plural,cows,finder,14.102290153503418,16.747230529785156
Irregular Singular,louse,issue,16.573387145996094,13.881822109222412
Irregular Plural,lice,issue,16.311038494110107,10.860330581665039
Regular Singular,flea,issue,14.44808316230774,11.402924537658691
Regular Plural,fleas,issue,14.207429647445679,12.105359315872192
Irregular Singular,louse,trader,16.573387145996094,13.694587707519531
Irregular Plural,lice,trader,16.311038494110107,14.578068017959595
Regular Singular,flea,trader,14.44808316230774,11.819502830505371
Regular Plural,fleas,trader,14.207429647445679,14.30755090713501
Irregular Singular,louse,tracker,16.573387145996094,14.676588296890259
Irregular Plural,lice,tracker,16.311038494110107,14.087791681289673
Regular Singular,flea,tracker,14.44808316230774,11.65010118484497
Regular Plural,fleas,tracker,14.207429647445679,14.682811737060547
Irregular Singular,louse,expert,16.573387145996094,12.546044111251831
Irregular Plural,lice,expert,16.311038494110107,13.183876276016235
Regular Singular,flea,expert,14.44808316230774,11.105587720870972
Regular Plural,fleas,expert,14.207429647445679,12.807105541229248
Irregular Singular,mouse,issue,13.186152458190918,11.772465705871582
Irregular Plural,mice,issue,13.551652431488037,11.07682490348816
Regular Singular,rat,issue,13.314289093017578,10.471274375915527
Regular Plural,rats,issue,13.243266105651855,11.70848298072815
Irregular Singular,mouse,trader,13.186152458190918,12.086205244064331
Irregular Plural,mice,trader,13.551652431488037,14.088098049163818
Regular Singular,rat,trader,13.314289569854736,12.080199241638184
Regular Plural,rats,trader,13.243266105651855,16.897513151168823
Irregular Singular,mouse,tracker,13.186152458190918,12.100237369537354
Irregular Plural,mice,tracker,13.551652431488037,15.37112808227539
Regular Singular,rat,tracker,13.314289569854736,11.37840461730957
Regular Plural,rats,tracker,13.243266105651855,16.29541039466858
Irregular Singular,mouse,inspector,13.186153173446655,12.780990839004517
Irregular Plural,mice,inspector,13.551652669906616,13.9356369972229
