Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,20.239456176757812,15.245347499847412
Irregular Plural,geese,protector,20.2101411819458,14.120256423950195
Regular Singular,swan,protector,20.18676519393921,16.887924194335938
Regular Plural,swans,protector,18.063533782958984,17.481496810913086
Irregular Singular,goose,trader,20.239456176757812,13.672526836395264
Irregular Plural,geese,trader,20.2101411819458,12.471010684967041
Regular Singular,swan,trader,20.18676519393921,15.089598178863525
Regular Plural,swans,trader,18.063533782958984,14.010817050933838
Irregular Singular,goose,tracker,20.239456176757812,14.029572486877441
Irregular Plural,geese,tracker,20.2101411819458,15.081240177154541
Regular Singular,swan,tracker,20.18676519393921,14.912835121154785
Regular Plural,swans,tracker,18.063533782958984,14.243306159973145
Irregular Singular,goose,expert,20.23945713043213,12.01906681060791
Irregular Plural,geese,expert,20.2101411819458,12.46110725402832
Regular Singular,swan,expert,20.186763763427734,13.849016189575195
Regular Plural,swans,expert,18.063532829284668,12.230021476745605
Irregular Singular,ox,register,16.175628662109375,13.27445125579834
Irregular Plural,oxen,register,21.772541999816895,12.4830961227417
Regular Singular,cow,register,12.99690055847168,12.396272659301758
Regular Plural,cows,register,16.27590799331665,12.839231491088867
Irregular Singular,ox,trader,16.175626754760742,14.220865249633789
Irregular Plural,oxen,trader,21.772541522979736,12.760787963867188
Regular Singular,cow,trader,12.996895790100098,13.87442135810852
Regular Plural,cows,trader,16.275907516479492,14.234126091003418
Irregular Singular,ox,tracker,16.175626754760742,13.970396041870117
Irregular Plural,oxen,tracker,21.772541522979736,13.00052547454834
Regular Singular,cow,tracker,12.996895790100098,15.221397399902344
Regular Plural,cows,tracker,16.275907516479492,15.68033218383789
Irregular Singular,ox,finder,16.175626754760742,15.3237943649292
Irregular Plural,oxen,finder,21.772541522979736,14.119322776794434
Regular Singular,cow,finder,12.996895790100098,15.4939284324646
Regular Plural,cows,finder,16.275907516479492,17.66426658630371
Irregular Singular,louse,issue,15.186263084411621,11.093650817871094
Irregular Plural,lice,issue,15.326459884643555,10.925190925598145
Regular Singular,flea,issue,21.488486289978027,12.71035099029541
Regular Plural,fleas,issue,22.112231731414795,12.309480667114258
Irregular Singular,louse,trader,15.186263084411621,13.573392510414124
Irregular Plural,lice,trader,15.326457977294922,13.473885774612427
Regular Singular,flea,trader,21.488486289978027,14.010075569152832
Regular Plural,fleas,trader,22.112231731414795,13.936020851135254
Irregular Singular,louse,tracker,15.186263084411621,14.176278591156006
Irregular Plural,lice,tracker,15.326457977294922,14.41045618057251
Regular Singular,flea,tracker,21.488486289978027,13.428690671920776
Regular Plural,fleas,tracker,22.112231731414795,14.160937309265137
Irregular Singular,louse,expert,15.186263084411621,12.329989433288574
Irregular Plural,lice,expert,15.326459884643555,11.511427879333496
Regular Singular,flea,expert,21.488486289978027,12.205047607421875
Regular Plural,fleas,expert,22.112231731414795,12.036208152770996
Irregular Singular,mouse,issue,17.255966186523438,11.117158889770508
Irregular Plural,mice,issue,20.052963256835938,11.27166748046875
Regular Singular,rat,issue,11.664005279541016,11.454427719116211
Regular Plural,rats,issue,16.391082763671875,11.781357765197754
Irregular Singular,mouse,trader,17.255969047546387,13.714296579360962
Irregular Plural,mice,trader,20.05296230316162,13.830029249191284
Regular Singular,rat,trader,11.66400146484375,13.901117324829102
Regular Plural,rats,trader,16.39108371734619,14.62772822380066
Irregular Singular,mouse,tracker,17.255969047546387,13.569355964660645
Irregular Plural,mice,tracker,20.05296230316162,14.195300579071045
Regular Singular,rat,tracker,11.66400146484375,14.390713214874268
Regular Plural,rats,tracker,16.39108371734619,14.880678176879883
Irregular Singular,mouse,inspector,17.255969047546387,12.801822423934937
Irregular Plural,mice,inspector,20.05296230316162,13.502631425857544
Regular Singular,rat,inspector,11.66400146484375,12.385590076446533
Regular Plural,rats,inspector,16.39108371734619,13.588131427764893
Irregular Singular,foot,issue,13.412483215332031,11.613636016845703
Irregular Plural,feet,issue,14.323298215866089,11.145478248596191
Regular Singular,leg,issue,13.336737632751465,11.628836631774902
Regular Plural,legs,issue,14.191898345947266,11.90822982788086
Irregular Singular,foot,examination,13.412483215332031,12.23134994506836
Irregular Plural,feet,examination,14.323298215866089,12.208216667175293
Regular Singular,leg,examination,13.336737632751465,10.232093811035156
Regular Plural,legs,examination,14.191898345947266,13.530377388000488
Irregular Singular,foot,expert,13.412483215332031,11.76170539855957
Irregular Plural,feet,expert,14.323298215866089,10.9664945602417
Regular Singular,leg,expert,13.336737632751465,12.63315486907959
Regular Plural,legs,expert,14.191898345947266,12.984940528869629
Irregular Singular,foot,inspector,13.41247844696045,13.597405433654785
Irregular Plural,feet,inspector,14.323296546936035,12.682324409484863
Regular Singular,leg,inspector,13.336738586425781,12.050823450088501
Regular Plural,legs,inspector,14.191895484924316,14.888879776000977
Irregular Singular,tooth,issue,15.289939403533936,10.805706024169922
Irregular Plural,teeth,issue,15.999884128570557,11.486490249633789
Regular Singular,bone,issue,12.799409866333008,10.813196182250977
Regular Plural,bones,issue,15.057325839996338,12.102592468261719
Irregular Singular,tooth,examination,15.289939403533936,11.333345413208008
Irregular Plural,teeth,examination,15.999884128570557,12.671775817871094
Regular Singular,bone,examination,12.799409866333008,12.137210845947266
Regular Plural,bones,examination,15.057325839996338,13.96209716796875
Irregular Singular,tooth,expert,15.289939403533936,11.64366340637207
Irregular Plural,teeth,expert,15.999884128570557,12.466024398803711
Regular Singular,bone,expert,12.799409866333008,12.62668228149414
Regular Plural,bones,expert,15.057325839996338,12.588969230651855
Irregular Singular,tooth,protector,15.289936065673828,13.653883457183838
Irregular Plural,teeth,protector,15.999881744384766,14.987100601196289
Regular Singular,bone,protector,12.799403190612793,14.116783380508423
Regular Plural,bones,protector,15.057323932647705,17.635308742523193
Irregular Singular,child,patrol,10.330658912658691,12.77157211303711
Irregular Plural,children,patrol,9.498029708862305,12.55383014678955
Regular Singular,adult,patrol,18.087782382965088,10.651115417480469
Regular Plural,adults,patrol,19.131342887878418,11.708431243896484
Irregular Singular,child,register,10.330658912658691,12.961901664733887
Irregular Plural,children,register,9.498029708862305,11.35092544555664
Regular Singular,adult,register,18.087782382965088,11.975345611572266
Regular Plural,adults,register,19.131342887878418,11.480684280395508
Irregular Singular,child,institute,10.330657005310059,13.9128737449646
Irregular Plural,children,institute,9.498022079467773,13.474159002304077
Regular Singular,adult,institute,18.08778429031372,14.054198980331421
Regular Plural,adults,institute,19.131342887878418,13.83273196220398
Irregular Singular,child,crew,10.330658912658691,11.059087753295898
Irregular Plural,children,crew,9.498029708862305,11.28195571899414
Regular Singular,adult,crew,18.087782382965088,9.848661422729492
Regular Plural,adults,crew,19.131342887878418,11.739124298095703
Irregular Singular,woman,protector,13.021097183227539,15.088429927825928
Irregular Plural,women,protector,13.729132175445557,17.721012115478516
Regular Singular,girl,protector,12.432882308959961,14.073684453964233
Regular Plural,girls,protector,13.374176740646362,18.130180835723877
Irregular Singular,woman,register,13.021099090576172,12.033483505249023
Irregular Plural,women,register,13.729134559631348,10.66501235961914
Regular Singular,girl,register,12.432887077331543,11.404373168945312
Regular Plural,girls,register,13.374180316925049,10.852899551391602
Irregular Singular,woman,hangout,13.021097183227539,17.356507301330566
Irregular Plural,women,hangout,13.729132175445557,17.261737823486328
Regular Singular,girl,hangout,12.432882308959961,17.00709581375122
Regular Plural,girls,hangout,13.374176740646362,17.47321319580078
Irregular Singular,woman,crew,13.021099090576172,9.509666442871094
Irregular Plural,women,crew,13.729134559631348,12.787473678588867
Regular Singular,girl,crew,12.432887077331543,9.46562671661377
Regular Plural,girls,crew,13.374180316925049,11.194511413574219
Irregular Singular,man,institute,10.41549301147461,14.003073453903198
Irregular Plural,men,institute,11.420380592346191,14.046473741531372
Regular Singular,boy,institute,14.774948120117188,13.582332134246826
Regular Plural,boys,institute,13.371688842773438,13.508485555648804
Irregular Singular,man,register,10.415495872497559,12.138961791992188
Irregular Plural,men,register,11.42038345336914,12.378816604614258
Regular Singular,boy,register,14.77495002746582,12.259812355041504
Regular Plural,boys,register,13.371692657470703,12.136632919311523
Irregular Singular,man,finder,10.41549301147461,15.202078342437744
Irregular Plural,men,finder,11.420380592346191,17.15135669708252
