Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,13.140748977661133,14.147761344909668
Irregular Plural,geese,protector,13.167131423950195,16.243118286132812
Regular Singular,swan,protector,13.20963430404663,15.075496196746826
Regular Plural,swans,protector,13.929729461669922,17.896906852722168
Irregular Singular,goose,trader,13.140748977661133,11.508862018585205
Irregular Plural,geese,trader,13.167131423950195,15.281999588012695
Regular Singular,swan,trader,13.20963430404663,14.74576473236084
Regular Plural,swans,trader,13.929729461669922,15.441536903381348
Irregular Singular,goose,tracker,13.140748977661133,13.85497236251831
Irregular Plural,geese,tracker,13.167131423950195,16.97379970550537
Regular Singular,swan,tracker,13.20963430404663,14.663335800170898
Regular Plural,swans,tracker,13.929729461669922,16.404047966003418
Irregular Singular,goose,expert,13.140748977661133,14.598726272583008
Irregular Plural,geese,expert,13.167131423950195,14.270090103149414
Regular Singular,swan,expert,13.209636211395264,12.722810745239258
Regular Plural,swans,expert,13.929726600646973,13.759669303894043
Irregular Singular,ox,register,14.11973762512207,10.88836669921875
Irregular Plural,oxen,register,13.334595918655396,13.032896041870117
Regular Singular,cow,register,10.941611289978027,11.13766860961914
Regular Plural,cows,register,12.91187572479248,11.758376121520996
Irregular Singular,ox,trader,14.119739532470703,14.707264423370361
Irregular Plural,oxen,trader,13.334598779678345,13.61384105682373
Regular Singular,cow,trader,10.941610336303711,13.854682922363281
Regular Plural,cows,trader,12.911874771118164,17.46223545074463
Irregular Singular,ox,tracker,14.119739532470703,10.850462436676025
Irregular Plural,oxen,tracker,13.334598779678345,14.348423957824707
Regular Singular,cow,tracker,10.941610336303711,15.700303077697754
Regular Plural,cows,tracker,12.911874771118164,16.339229106903076
Irregular Singular,ox,finder,14.119739532470703,15.722354412078857
Irregular Plural,oxen,finder,13.334598779678345,15.595154762268066
Regular Singular,cow,finder,10.941610336303711,14.475170612335205
Regular Plural,cows,finder,12.911874771118164,16.43950366973877
Irregular Singular,louse,issue,15.509206771850586,11.500553131103516
Irregular Plural,lice,issue,14.552183151245117,11.87746810913086
Regular Singular,flea,issue,15.359410762786865,10.969917297363281
Regular Plural,fleas,issue,15.306490898132324,14.318405151367188
Irregular Singular,louse,trader,15.509206295013428,15.144915580749512
Irregular Plural,lice,trader,14.552184104919434,13.542478084564209
Regular Singular,flea,trader,15.35941195487976,9.831680536270142
Regular Plural,fleas,trader,15.306487798690796,13.265480995178223
Irregular Singular,louse,tracker,15.509206295013428,16.50083827972412
Irregular Plural,lice,tracker,14.552184104919434,15.565686225891113
Regular Singular,flea,tracker,15.35941195487976,12.795359134674072
Regular Plural,fleas,tracker,15.306487798690796,14.775872230529785
Irregular Singular,louse,expert,15.509206771850586,13.627812385559082
Irregular Plural,lice,expert,14.552183151245117,13.108357429504395
Regular Singular,flea,expert,15.359410762786865,11.12558364868164
Regular Plural,fleas,expert,15.306490898132324,13.170220375061035
Irregular Singular,mouse,issue,11.176125526428223,10.849157333374023
Irregular Plural,mice,issue,12.388049125671387,12.197171211242676
Regular Singular,rat,issue,12.67519760131836,13.284689903259277
Regular Plural,rats,issue,13.04964542388916,13.09261703491211
Irregular Singular,mouse,trader,11.176125526428223,13.765108585357666
Irregular Plural,mice,trader,12.388049125671387,19.14971923828125
Regular Singular,rat,trader,12.67519760131836,11.476116180419922
Regular Plural,rats,trader,13.04964542388916,18.891318321228027
Irregular Singular,mouse,tracker,11.176125526428223,13.762001037597656
Irregular Plural,mice,tracker,12.388049125671387,16.586318016052246
Regular Singular,rat,tracker,12.67519760131836,12.931013584136963
Regular Plural,rats,tracker,13.04964542388916,15.901435852050781
Irregular Singular,mouse,inspector,11.176125526428223,15.107917785644531
Irregular Plural,mice,inspector,12.388049125671387,16.513840198516846
Regular Singular,rat,inspector,12.67519760131836,13.447755813598633
Regular Plural,rats,inspector,13.04964542388916,15.718833923339844
Irregular Singular,foot,issue,9.753182411193848,13.855751037597656
Irregular Plural,feet,issue,9.324951171875,14.201951026916504
Regular Singular,leg,issue,11.718549728393555,11.626348495483398
Regular Plural,legs,issue,10.11336612701416,12.76251220703125
Irregular Singular,foot,examination,9.753182411193848,11.165567398071289
Irregular Plural,feet,examination,9.324951171875,14.352925300598145
Regular Singular,leg,examination,11.718549728393555,11.935436248779297
Regular Plural,legs,examination,10.11336612701416,14.333744049072266
Irregular Singular,foot,expert,9.753182411193848,13.289297103881836
Irregular Plural,feet,expert,9.324951171875,14.390023231506348
Regular Singular,leg,expert,11.718549728393555,13.904007911682129
Regular Plural,legs,expert,10.11336612701416,14.991459846496582
Irregular Singular,foot,inspector,9.753182411193848,15.370505332946777
Irregular Plural,feet,inspector,9.324951171875,17.95702838897705
Regular Singular,leg,inspector,11.718550682067871,13.372286796569824
Regular Plural,legs,inspector,10.113367080688477,17.144007682800293
Irregular Singular,tooth,issue,12.309821128845215,11.482074737548828
Irregular Plural,teeth,issue,10.274953842163086,12.16433334350586
Regular Singular,bone,issue,11.648046493530273,11.23981761932373
Regular Plural,bones,issue,11.763084411621094,12.27885913848877
Irregular Singular,tooth,examination,12.309821128845215,12.389663696289062
Irregular Plural,teeth,examination,10.274953842163086,12.767515182495117
Regular Singular,bone,examination,11.648046493530273,10.77695083618164
Regular Plural,bones,examination,11.763084411621094,13.732773780822754
Irregular Singular,tooth,expert,12.309821128845215,12.751347541809082
Irregular Plural,teeth,expert,10.274953842163086,12.394742965698242
Regular Singular,bone,expert,11.648046493530273,12.056717872619629
Regular Plural,bones,expert,11.763084411621094,13.069300651550293
Irregular Singular,tooth,protector,12.309821128845215,9.100843667984009
Irregular Plural,teeth,protector,10.274953842163086,14.604089736938477
Regular Singular,bone,protector,11.648046493530273,12.198484182357788
Regular Plural,bones,protector,11.763084411621094,16.308437824249268
Irregular Singular,child,patrol,9.414861679077148,14.295509338378906
Irregular Plural,children,patrol,9.487439155578613,13.608542442321777
Regular Singular,adult,patrol,10.397028923034668,14.603126525878906
Regular Plural,adults,patrol,11.955972671508789,13.998786926269531
Irregular Singular,child,register,9.414861679077148,12.393648147583008
Irregular Plural,children,register,9.487439155578613,12.024374961853027
Regular Singular,adult,register,10.397028923034668,13.774815559387207
Regular Plural,adults,register,11.955972671508789,10.508098602294922
Irregular Singular,child,institute,9.414861679077148,15.154574394226074
Irregular Plural,children,institute,9.487439155578613,15.63340961933136
Regular Singular,adult,institute,10.397028923034668,14.929911375045776
Regular Plural,adults,institute,11.955972671508789,13.638937592506409
Irregular Singular,child,crew,9.414861679077148,12.161140441894531
Irregular Plural,children,crew,9.487439155578613,14.591944694519043
Regular Singular,adult,crew,10.397028923034668,10.240909576416016
Regular Plural,adults,crew,11.955972671508789,13.292476654052734
Irregular Singular,woman,protector,9.345353126525879,13.505239248275757
Irregular Plural,women,protector,9.721395492553711,18.51032543182373
Regular Singular,girl,protector,8.877548217773438,15.024597644805908
Regular Plural,girls,protector,9.393091201782227,19.00086784362793
Irregular Singular,woman,register,9.345353126525879,13.070869445800781
Irregular Plural,women,register,9.721395492553711,10.43626880645752
Regular Singular,girl,register,8.877547264099121,12.406407356262207
Regular Plural,girls,register,9.393091201782227,12.666892051696777
Irregular Singular,woman,hangout,9.345353126525879,18.04574203491211
Irregular Plural,women,hangout,9.721395492553711,18.173890113830566
Regular Singular,girl,hangout,8.877548217773438,18.550745010375977
Regular Plural,girls,hangout,9.393091201782227,19.156636238098145
Irregular Singular,woman,crew,9.345353126525879,12.60232162475586
Irregular Plural,women,crew,9.721395492553711,13.400903701782227
Regular Singular,girl,crew,8.877547264099121,11.937758445739746
Regular Plural,girls,crew,9.393091201782227,13.983970642089844
Irregular Singular,man,institute,8.037985801696777,15.924055337905884
Irregular Plural,men,institute,8.582743644714355,16.745710372924805
Regular Singular,boy,institute,8.85770034790039,16.110105514526367
Regular Plural,boys,institute,9.310983657836914,16.45301842689514
Irregular Singular,man,register,8.037985801696777,14.144913673400879
Irregular Plural,men,register,8.582743644714355,12.60622501373291
Regular Singular,boy,register,8.85770034790039,14.288839340209961
Regular Plural,boys,register,9.310983657836914,13.463066101074219
Irregular Singular,man,finder,8.037985801696777,14.204753875732422
Irregular Plural,men,finder,8.582743644714355,17.07161235809326
Regular Singular,boy,finder,8.85770034790039,14.852617740631104
Regular Plural,boys,finder,9.310983657836914,17.41083574295044
Irregular Singular,man,hangout,8.037985801696777,18.538268089294434
Irregular Plural,men,hangout,8.582743644714355,18.360244750976562
Regular Singular,boy,hangout,8.85770034790039,18.778263092041016
Regular Plural,boys,hangout,9.310983657836914,19.25699234008789
Irregular Singular,salesman,institute,15.755050659179688,14.226865530014038
Irregular Plural,salesmen,institute,16.14851427078247,14.447287678718567
Regular Singular,retailer,institute,19.63396120071411,14.90697431564331
Regular Plural,retailers,institute,20.05832529067993,15.328344821929932
Irregular Singular,salesman,inspector,15.755050659179688,11.868692636489868
Irregular Plural,salesmen,inspector,16.14851427078247,12.726336002349854
Regular Singular,retailer,inspector,19.63396120071411,13.949639320373535
Regular Plural,retailers,inspector,20.05832529067993,15.005231857299805
Irregular Singular,salesman,protector,15.755050659179688,15.620761394500732
Irregular Plural,salesmen,protector,16.14851427078247,17.757341384887695
Regular Singular,retailer,protector,19.63396120071411,14.023138046264648
Regular Plural,retailers,protector,20.05832529067993,17.643282890319824
Irregular Singular,salesman,employer,15.755050659179688,13.891112804412842
Irregular Plural,salesmen,employer,16.14851427078247,13.223139762878418
Regular Singular,retailer,employer,19.63396120071411,14.403500080108643
Regular Plural,retailers,employer,20.05832529067993,15.171764850616455
Irregular Singular,nobleman,patrol,14.365159749984741,14.100025177001953
Irregular Plural,noblemen,patrol,15.747153759002686,13.84776496887207
Regular Singular,aristocrat,patrol,16.965579509735107,14.069942474365234
Regular Plural,aristocrats,patrol,16.266369700431824,14.330864906311035
Irregular Singular,nobleman,hangout,14.365159034729004,19.80345344543457
Irregular Plural,noblemen,hangout,15.747154712677002,18.215466022491455
Regular Singular,aristocrat,hangout,16.96557855606079,13.439413785934448
