Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,12.410713195800781,14.123148441314697
Irregular Plural,geese,protector,13.061328887939453,18.025019645690918
Regular Singular,swan,protector,13.490479230880737,11.1981520652771
Regular Plural,swans,protector,15.28158187866211,17.14509868621826
Irregular Singular,goose,trader,12.410713195800781,13.6769437789917
Irregular Plural,geese,trader,13.061328887939453,14.407896995544434
Regular Singular,swan,trader,13.490479230880737,12.820092916488647
Regular Plural,swans,trader,15.28158187866211,15.222779512405396
Irregular Singular,goose,tracker,12.410713195800781,15.006730079650879
Irregular Plural,geese,tracker,13.061328887939453,16.953084468841553
Regular Singular,swan,tracker,13.490479230880737,12.77894401550293
Regular Plural,swans,tracker,15.28158187866211,17.27722454071045
Irregular Singular,goose,expert,12.410713195800781,13.802413940429688
Irregular Plural,geese,expert,13.061325073242188,14.02072525024414
Regular Singular,swan,expert,13.490478515625,12.272647857666016
Regular Plural,swans,expert,15.281582832336426,12.525628089904785
Irregular Singular,ox,register,12.541861534118652,14.51329517364502
Irregular Plural,oxen,register,13.711998701095581,12.85701847076416
Regular Singular,cow,register,10.82698917388916,12.835399627685547
Regular Plural,cows,register,11.98994255065918,13.043827056884766
Irregular Singular,ox,trader,12.541860580444336,13.332137823104858
Irregular Plural,oxen,trader,13.711997509002686,12.35901689529419
Regular Singular,cow,trader,10.826990127563477,12.596725463867188
Regular Plural,cows,trader,11.989941596984863,16.26827907562256
Irregular Singular,ox,tracker,12.541860580444336,15.595793724060059
Irregular Plural,oxen,tracker,13.711997509002686,15.442917823791504
Regular Singular,cow,tracker,10.826990127563477,15.010018825531006
Regular Plural,cows,tracker,11.989941596984863,17.263257026672363
Irregular Singular,ox,finder,12.541860580444336,15.64566421508789
Irregular Plural,oxen,finder,13.711997509002686,15.704558372497559
Regular Singular,cow,finder,10.826990127563477,18.5162935256958
Regular Plural,cows,finder,11.989941596984863,19.509535789489746
Irregular Singular,louse,issue,16.80948257446289,12.095224380493164
Irregular Plural,lice,issue,15.547745704650879,11.601203918457031
Regular Singular,flea,issue,14.733793020248413,12.372235298156738
Regular Plural,fleas,issue,14.504491567611694,12.096936225891113
Irregular Singular,louse,trader,16.80948257446289,13.419333934783936
Irregular Plural,lice,trader,15.547743797302246,10.671220541000366
Regular Singular,flea,trader,14.733795166015625,10.187465190887451
Regular Plural,fleas,trader,14.504493236541748,12.48354434967041
Irregular Singular,louse,tracker,16.80948257446289,15.41813611984253
