Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,12.734105110168457,16.289270639419556
Irregular Plural,geese,protector,13.599756240844727,18.005606651306152
Regular Singular,swan,protector,14.52323055267334,13.208888292312622
Regular Plural,swans,protector,14.644047737121582,16.527841091156006
Irregular Singular,goose,trader,12.734105110168457,14.316850185394287
Irregular Plural,geese,trader,13.599756240844727,16.03148865699768
Regular Singular,swan,trader,14.52323055267334,12.269920110702515
Regular Plural,swans,trader,14.644047737121582,14.959037780761719
Irregular Singular,goose,tracker,12.734105110168457,16.397429943084717
Irregular Plural,geese,tracker,13.599756240844727,17.561809539794922
Regular Singular,swan,tracker,14.52323055267334,12.127077579498291
Regular Plural,swans,tracker,14.644047737121582,15.28189468383789
Irregular Singular,goose,expert,12.734098434448242,13.878618240356445
Irregular Plural,geese,expert,13.599756240844727,14.44469928741455
Regular Singular,swan,expert,14.52323055267334,12.27735424041748
Regular Plural,swans,expert,14.64404821395874,13.329498291015625
Irregular Singular,ox,register,12.619781494140625,12.509852409362793
Irregular Plural,oxen,register,13.451542615890503,13.102487564086914
Regular Singular,cow,register,10.588833808898926,11.892582893371582
Regular Plural,cows,register,11.599809646606445,13.236796379089355
Irregular Singular,ox,trader,12.619783401489258,12.910525560379028
Irregular Plural,oxen,trader,13.451542854309082,16.321654319763184
Regular Singular,cow,trader,10.588833808898926,14.127280473709106
Regular Plural,cows,trader,11.599811553955078,17.171677589416504
Irregular Singular,ox,tracker,12.619783401489258,14.355413436889648
Irregular Plural,oxen,tracker,13.451542854309082,16.77866792678833
Regular Singular,cow,tracker,10.588833808898926,17.563385009765625
Regular Plural,cows,tracker,11.599811553955078,16.751832008361816
Irregular Singular,ox,finder,12.619783401489258,15.659370422363281
Irregular Plural,oxen,finder,13.451542854309082,16.778228759765625
Regular Singular,cow,finder,10.588833808898926,16.62955331802368
Regular Plural,cows,finder,11.599811553955078,17.567591667175293
Irregular Singular,louse,issue,16.29163885116577,13.387269020080566
Irregular Plural,lice,issue,16.06760883331299,12.50528335571289
Regular Singular,flea,issue,14.311684608459473,11.806450843811035
Regular Plural,fleas,issue,14.813781976699829,12.298781394958496
Irregular Singular,louse,trader,16.29163932800293,13.813676118850708
Irregular Plural,lice,trader,16.067607879638672,12.510273456573486
Regular Singular,flea,trader,14.311684846878052,9.687750577926636
Regular Plural,fleas,trader,14.813783645629883,13.067590475082397
Irregular Singular,louse,tracker,16.29163932800293,14.483773708343506
Irregular Plural,lice,tracker,16.067607879638672,13.351609945297241
Regular Singular,flea,tracker,14.311684846878052,12.479407548904419
Regular Plural,fleas,tracker,14.813783645629883,15.154231071472168
Irregular Singular,louse,expert,16.29163885116577,13.917619705200195
Irregular Plural,lice,expert,16.06760883331299,13.174582481384277
Regular Singular,flea,expert,14.311684608459473,10.9801607131958
Regular Plural,fleas,expert,14.813781976699829,13.434134483337402
Irregular Singular,mouse,issue,11.553698539733887,14.0213623046875
Irregular Plural,mice,issue,12.53149127960205,14.211647033691406
Regular Singular,rat,issue,12.57990837097168,13.535333633422852
Regular Plural,rats,issue,12.960296630859375,13.501367568969727
Irregular Singular,mouse,trader,11.553695678710938,15.404311895370483
Irregular Plural,mice,trader,12.531490325927734,18.567770957946777
Regular Singular,rat,trader,12.57990837097168,12.116765975952148
