Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,10.576603412628174,14.69664454460144
Irregular Plural,geese,protector,15.951801061630249,13.833620309829712
Regular Singular,swan,protector,11.210974931716919,15.347601175308228
Regular Plural,swans,protector,14.345189571380615,14.939684629440308
Irregular Singular,goose,trader,10.576603412628174,12.400233030319214
Irregular Plural,geese,trader,15.951801061630249,13.358291149139404
Regular Singular,swan,trader,11.210975170135498,17.045586824417114
Regular Plural,swans,trader,14.345189571380615,15.418300151824951
Irregular Singular,goose,tracker,10.576603412628174,14.99347710609436
Irregular Plural,geese,tracker,15.951801061630249,14.58679461479187
Regular Singular,swan,tracker,11.210974931716919,15.292572975158691
Regular Plural,swans,tracker,14.345189571380615,16.352102756500244
Irregular Singular,goose,expert,10.576603412628174,15.8926682472229
Irregular Plural,geese,expert,15.951801061630249,11.851147174835205
Regular Singular,swan,expert,11.210975170135498,13.380082130432129
Regular Plural,swans,expert,14.345189571380615,12.831481695175171
Irregular Singular,ox,register,10.2529296875,12.560883522033691
Irregular Plural,oxen,register,13.437320947647095,12.195801496505737
Regular Singular,cow,register,10.492018699645996,13.843207359313965
Regular Plural,cows,register,12.267415523529053,11.100472450256348
Irregular Singular,ox,trader,10.2529296875,12.708200931549072
Irregular Plural,oxen,trader,13.437320232391357,14.928462266921997
Regular Singular,cow,trader,10.492019653320312,15.286130428314209
Regular Plural,cows,trader,12.26741623878479,14.935230016708374
Irregular Singular,ox,tracker,10.2529296875,16.346051454544067
Irregular Plural,oxen,tracker,13.437320947647095,18.44810438156128
Regular Singular,cow,tracker,10.492019653320312,16.919519186019897
Regular Plural,cows,tracker,12.267415523529053,16.166208744049072
Irregular Singular,ox,finder,10.2529296875,15.607465505599976
Irregular Plural,oxen,finder,13.437320232391357,14.278513193130493
Regular Singular,cow,finder,10.492019653320312,12.58280634880066
Regular Plural,cows,finder,12.26741623878479,13.905409336090088
Irregular Singular,louse,issue,14.992797136306763,8.547548532485962
Irregular Plural,lice,issue,11.776846408843994,9.481205940246582
Regular Singular,flea,issue,11.890182256698608,11.377526998519897
Regular Plural,fleas,issue,13.212953090667725,10.83687448501587
Irregular Singular,louse,trader,14.992796182632446,11.029112815856934
Irregular Plural,lice,trader,11.776846408843994,11.87075686454773
Regular Singular,flea,trader,11.890182256698608,12.91479206085205
Regular Plural,fleas,trader,13.212952852249146,13.738020658493042
Irregular Singular,louse,tracker,14.992796182632446,12.143525123596191
Irregular Plural,lice,tracker,11.77684736251831,15.630428075790405
Regular Singular,flea,tracker,11.89018201828003,11.916211605072021
Regular Plural,fleas,tracker,13.212952852249146,14.180585145950317
Irregular Singular,louse,expert,14.992796182632446,11.338753461837769
Irregular Plural,lice,expert,11.776846408843994,11.409982204437256
Regular Singular,flea,expert,11.890182256698608,11.59128713607788
Regular Plural,fleas,expert,13.212952852249146,12.443642616271973
Irregular Singular,mouse,issue,11.555301666259766,10.62082815170288
Irregular Plural,mice,issue,12.082606554031372,9.762064933776855
Regular Singular,rat,issue,7.074285268783569,10.734561443328857
Regular Plural,rats,issue,10.1065194606781,11.306480407714844
Irregular Singular,mouse,trader,11.55530309677124,14.118907928466797
Irregular Plural,mice,trader,12.082606554031372,12.911180973052979
Regular Singular,rat,trader,7.074285268783569,15.227169752120972
Regular Plural,rats,trader,10.1065194606781,14.38010859489441
Irregular Singular,mouse,tracker,11.55530309677124,15.56046724319458
Irregular Plural,mice,tracker,12.082606315612793,14.649251461029053
Regular Singular,rat,tracker,7.074285268783569,18.7476007938385
Regular Plural,rats,tracker,10.10651969909668,14.069273710250854
Irregular Singular,mouse,inspector,11.55530309677124,13.406167984008789
Irregular Plural,mice,inspector,12.082606315612793,13.391531705856323
Regular Singular,rat,inspector,7.0742857456207275,16.870281457901
Regular Plural,rats,inspector,10.10651969909668,12.744154691696167
Irregular Singular,foot,issue,9.02067518234253,12.53640604019165
Irregular Plural,feet,issue,10.271153450012207,11.750932216644287
Regular Singular,leg,issue,9.178820371627808,9.984575271606445
Regular Plural,legs,issue,11.039486646652222,9.481775283813477
Irregular Singular,foot,examination,9.020676136016846,13.301108837127686
Irregular Plural,feet,examination,10.271153926849365,16.74200677871704
Regular Singular,leg,examination,9.178820371627808,14.857276439666748
Regular Plural,legs,examination,11.039487600326538,16.434271812438965
Irregular Singular,foot,expert,9.02067518234253,14.279466152191162
Irregular Plural,feet,expert,10.271153450012207,15.301533699035645
Regular Singular,leg,expert,9.178820371627808,12.111393928527832
Regular Plural,legs,expert,11.039486646652222,13.101601600646973
Irregular Singular,foot,inspector,9.02067518234253,16.829962253570557
Irregular Plural,feet,inspector,10.271153450012207,14.86640191078186
Regular Singular,leg,inspector,9.178820371627808,14.788120746612549
Regular Plural,legs,inspector,11.039486646652222,15.35527491569519
Irregular Singular,tooth,issue,11.224872827529907,10.348919868469238
Irregular Plural,teeth,issue,11.529931545257568,12.332650661468506
Regular Singular,bone,issue,11.439797163009644,9.83297085762024
Regular Plural,bones,issue,12.27771544456482,9.106256484985352
Irregular Singular,tooth,examination,11.224873542785645,16.6456937789917
Irregular Plural,teeth,examination,11.529934406280518,17.85477638244629
Regular Singular,bone,examination,11.43979811668396,12.037355661392212
Regular Plural,bones,examination,12.277714967727661,16.114182710647583
Irregular Singular,tooth,expert,11.22487187385559,12.005610466003418
Irregular Plural,teeth,expert,11.529932498931885,15.57094955444336
Regular Singular,bone,expert,11.439797163009644,11.220982551574707
Regular Plural,bones,expert,12.27771544456482,11.448341846466064
Irregular Singular,tooth,protector,11.22487187385559,16.922255754470825
Irregular Plural,teeth,protector,11.529932498931885,12.921879291534424
Regular Singular,bone,protector,11.439797163009644,14.370076417922974
Regular Plural,bones,protector,12.27771544456482,13.172462940216064
Irregular Singular,child,patrol,8.993513107299805,13.599052429199219
Irregular Plural,children,patrol,9.816991806030273,13.775982141494751
Regular Singular,adult,patrol,9.938321828842163,11.60719633102417
Regular Plural,adults,patrol,11.156836986541748,14.941894292831421
Irregular Singular,child,register,8.993513107299805,14.375054836273193
Irregular Plural,children,register,9.816988706588745,11.778007507324219
Regular Singular,adult,register,9.938321828842163,11.547076225280762
Regular Plural,adults,register,11.156836986541748,9.398622035980225
Irregular Singular,child,institute,8.993513107299805,13.20198106765747
Irregular Plural,children,institute,9.816988706588745,12.75830364227295
Regular Singular,adult,institute,9.938321828842163,10.769567966461182
Regular Plural,adults,institute,11.15683650970459,12.45999789237976
Irregular Singular,child,crew,8.993512630462646,18.946168184280396
Irregular Plural,children,crew,9.816991806030273,14.612255811691284
Regular Singular,adult,crew,9.938322305679321,16.44924259185791
Regular Plural,adults,crew,11.156836986541748,8.946874856948853
Irregular Singular,woman,protector,10.331275224685669,12.047621250152588
Irregular Plural,women,protector,10.057142496109009,11.916842460632324
Regular Singular,girl,protector,8.7081778049469,13.706734657287598
Regular Plural,girls,protector,9.238280534744263,14.995707750320435
Irregular Singular,woman,register,10.331275224685669,11.427216053009033
Irregular Plural,women,register,10.057142496109009,12.092289686203003
Regular Singular,girl,register,8.7081778049469,12.956313610076904
Regular Plural,girls,register,9.238280534744263,11.085521221160889
