Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,14.72287654876709,13.322253704071045
Irregular Plural,geese,protector,13.850015640258789,15.250640869140625
Regular Singular,swan,protector,13.113738059997559,15.814867973327637
Regular Plural,swans,protector,13.857519626617432,15.941094398498535
Irregular Singular,goose,trader,14.722880363464355,13.75069284439087
Irregular Plural,geese,trader,13.850013256072998,13.186668872833252
Regular Singular,swan,trader,13.113738059997559,11.422947645187378
Regular Plural,swans,trader,13.857518196105957,14.483996391296387
Irregular Singular,goose,tracker,14.722880363464355,13.905224561691284
Irregular Plural,geese,tracker,13.850013256072998,13.276118755340576
Regular Singular,swan,tracker,13.113738059997559,14.309237718582153
Regular Plural,swans,tracker,13.857518196105957,15.00589370727539
Irregular Singular,goose,expert,14.722880363464355,12.989592790603638
Irregular Plural,geese,expert,13.850013256072998,13.627044677734375
Regular Singular,swan,expert,13.113738059997559,11.17016315460205
Regular Plural,swans,expert,13.857518196105957,13.348597526550293
Irregular Singular,ox,register,11.727491855621338,11.184916019439697
Irregular Plural,oxen,register,15.735374689102173,11.78020977973938
Regular Singular,cow,register,15.295823574066162,12.421502351760864
Regular Plural,cows,register,16.15105676651001,11.425522804260254
Irregular Singular,ox,trader,11.727491855621338,13.464817523956299
Irregular Plural,oxen,trader,15.735374689102173,12.958482265472412
Regular Singular,cow,trader,15.295823097229004,14.170912742614746
Regular Plural,cows,trader,16.15105676651001,16.54349446296692
Irregular Singular,ox,tracker,11.727491855621338,15.401196479797363
Irregular Plural,oxen,tracker,15.735374689102173,14.276782989501953
Regular Singular,cow,tracker,15.295823574066162,15.093661069869995
Regular Plural,cows,tracker,16.15105676651001,14.0468590259552
Irregular Singular,ox,finder,11.727491855621338,13.052588939666748
Irregular Plural,oxen,finder,15.735374689102173,14.417558193206787
Regular Singular,cow,finder,15.295823097229004,13.950630187988281
Regular Plural,cows,finder,16.15105676651001,16.768304109573364
Irregular Singular,louse,issue,17.06125831604004,13.731456995010376
Irregular Plural,lice,issue,9.708588123321533,11.314093828201294
Regular Singular,flea,issue,14.33060884475708,10.042518138885498
Regular Plural,fleas,issue,15.309124231338501,12.651054859161377
Irregular Singular,louse,trader,17.06125831604004,14.153009414672852
Irregular Plural,lice,trader,9.708587646484375,13.862217426300049
