Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,14.878243446350098,12.48035478591919
Irregular Plural,geese,protector,14.883862018585205,12.981718063354492
Regular Singular,swan,protector,13.090418815612793,9.838576793670654
Regular Plural,swans,protector,13.405948162078857,13.095005989074707
Irregular Singular,goose,trader,14.878243446350098,11.587454557418823
Irregular Plural,geese,trader,14.883862018585205,11.880489826202393
Regular Singular,swan,trader,13.090418815612793,9.520228385925293
Regular Plural,swans,trader,13.405948638916016,11.325318098068237
Irregular Singular,goose,tracker,14.878243446350098,12.885916471481323
Irregular Plural,geese,tracker,14.883862018585205,13.873110294342041
Regular Singular,swan,tracker,13.090418815612793,10.653578758239746
Regular Plural,swans,tracker,13.405948638916016,13.329904317855835
Irregular Singular,goose,expert,14.878243446350098,11.835247993469238
Irregular Plural,geese,expert,14.883862018585205,13.751948356628418
Regular Singular,swan,expert,13.090418815612793,12.991796016693115
Regular Plural,swans,expert,13.405948638916016,13.17056655883789
Irregular Singular,ox,register,9.98583722114563,13.85525393486023
Irregular Plural,oxen,register,15.509299993515015,13.014567136764526
Regular Singular,cow,register,12.269266843795776,10.801092147827148
Regular Plural,cows,register,12.514623403549194,13.045293807983398
Irregular Singular,ox,trader,9.98583722114563,12.03355860710144
Irregular Plural,oxen,trader,15.509297370910645,10.730381488800049
Regular Singular,cow,trader,12.269266843795776,13.48024868965149
Regular Plural,cows,trader,12.514623403549194,17.58132839202881
Irregular Singular,ox,tracker,9.98583722114563,14.219423055648804
Irregular Plural,oxen,tracker,15.509297370910645,14.067571640014648
Regular Singular,cow,tracker,12.269266843795776,15.752427816390991
Regular Plural,cows,tracker,12.514623403549194,19.848023891448975
Irregular Singular,ox,finder,9.98583722114563,14.656466484069824
Irregular Plural,oxen,finder,15.509297370910645,14.806959390640259
Regular Singular,cow,finder,12.269266843795776,12.101135015487671
Regular Plural,cows,finder,12.514623403549194,19.304773330688477
Irregular Singular,louse,issue,14.590341091156006,13.592097282409668
Irregular Plural,lice,issue,12.122658252716064,11.437513828277588
Regular Singular,flea,issue,13.044134855270386,11.715456008911133
Regular Plural,fleas,issue,18.165170431137085,11.644192695617676
Irregular Singular,louse,trader,14.590341091156006,12.269046306610107
Irregular Plural,lice,trader,12.122658252716064,12.632654905319214
Regular Singular,flea,trader,13.044134855270386,15.14933443069458
Regular Plural,fleas,trader,18.165170431137085,14.216329574584961
Irregular Singular,louse,tracker,14.590341091156006,13.203396797180176
Irregular Plural,lice,tracker,12.122658252716064,14.625622987747192
Regular Singular,flea,tracker,13.044134855270386,14.470187664031982
Regular Plural,fleas,tracker,18.165170431137085,13.357491970062256
Irregular Singular,louse,expert,14.590341091156006,13.332415103912354
Irregular Plural,lice,expert,12.122658252716064,14.038524150848389
Regular Singular,flea,expert,13.044134855270386,13.269832134246826
Regular Plural,fleas,expert,18.165170431137085,11.503203392028809
Irregular Singular,mouse,issue,11.60439157485962,12.889600276947021
Irregular Plural,mice,issue,13.08139419555664,11.43126893043518
Regular Singular,rat,issue,11.459966897964478,12.984196662902832
Regular Plural,rats,issue,11.331585168838501,11.500406742095947
Irregular Singular,mouse,trader,11.60439157485962,14.570400476455688
Irregular Plural,mice,trader,13.08139419555664,14.312299489974976
Regular Singular,rat,trader,11.459966897964478,11.126120805740356
Regular Plural,rats,trader,11.331585168838501,13.326598644256592
Irregular Singular,mouse,tracker,11.60439157485962,13.563878774642944
Irregular Plural,mice,tracker,13.08139419555664,14.674689054489136
Regular Singular,rat,tracker,11.459966897964478,11.377294778823853
