Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,13.23789644241333,17.27585744857788
Irregular Plural,geese,protector,16.41336154937744,11.509147882461548
Regular Singular,swan,protector,13.788572072982788,12.952101230621338
Regular Plural,swans,protector,15.877060174942017,13.162559032440186
Irregular Singular,goose,trader,13.23789644241333,21.407329559326172
Irregular Plural,geese,trader,16.41336154937744,14.631454944610596
Regular Singular,swan,trader,13.788572072982788,14.369799375534058
Regular Plural,swans,trader,15.877060174942017,12.723865270614624
Irregular Singular,goose,tracker,13.23789644241333,17.69917607307434
Irregular Plural,geese,tracker,16.41336154937744,13.947446823120117
Regular Singular,swan,tracker,13.788572072982788,15.757710695266724
Regular Plural,swans,tracker,15.877060174942017,14.426673412322998
Irregular Singular,goose,expert,13.23789644241333,16.955304861068726
Irregular Plural,geese,expert,16.41336154937744,11.344843626022339
Regular Singular,swan,expert,13.788572072982788,11.111949443817139
Regular Plural,swans,expert,15.877060174942017,12.165268659591675
Irregular Singular,ox,register,11.03864312171936,16.080260276794434
Irregular Plural,oxen,register,16.40528178215027,9.962518453598022
Regular Singular,cow,register,8.089355945587158,16.438908100128174
Regular Plural,cows,register,14.274552345275879,10.192496299743652
Irregular Singular,ox,trader,11.03864312171936,18.78378391265869
Irregular Plural,oxen,trader,16.40528178215027,12.408062219619751
Regular Singular,cow,trader,8.089355945587158,20.52654218673706
Regular Plural,cows,trader,14.274552345275879,13.903303861618042
Irregular Singular,ox,tracker,11.03864312171936,16.25649857521057
Irregular Plural,oxen,tracker,16.40528178215027,13.59734582901001
Regular Singular,cow,tracker,8.089355945587158,22.004639148712158
Regular Plural,cows,tracker,14.274552345275879,14.453492879867554
Irregular Singular,ox,finder,11.03864312171936,16.388915061950684
Irregular Plural,oxen,finder,16.40528178215027,9.945194005966187
Regular Singular,cow,finder,8.089355945587158,15.639452457427979
Regular Plural,cows,finder,14.274552345275879,12.830671310424805
Irregular Singular,louse,issue,16.210617542266846,10.007815599441528
Irregular Plural,lice,issue,13.081129550933838,14.35062050819397
Regular Singular,flea,issue,14.188624858856201,11.923481464385986
Regular Plural,fleas,issue,16.669771909713745,10.345632553100586
Irregular Singular,louse,trader,16.210617542266846,12.370658159255981
Irregular Plural,lice,trader,13.081129550933838,17.830113887786865
Regular Singular,flea,trader,14.188627004623413,8.702812671661377
Regular Plural,fleas,trader,16.669771909713745,13.351701021194458
Irregular Singular,louse,tracker,16.210617542266846,16.12564182281494
Irregular Plural,lice,tracker,13.081129550933838,17.147632598876953
Regular Singular,flea,tracker,14.188627004623413,13.261932849884033
Regular Plural,fleas,tracker,16.669771909713745,14.05069899559021
Irregular Singular,louse,expert,16.210617542266846,11.986620664596558
Irregular Plural,lice,expert,13.081129550933838,16.234368324279785
Regular Singular,flea,expert,14.188627004623413,13.95224118232727
Regular Plural,fleas,expert,16.669771909713745,11.388784408569336
Irregular Singular,mouse,issue,14.193059206008911,10.593762397766113
Irregular Plural,mice,issue,11.47723913192749,10.6316077709198
Regular Singular,rat,issue,12.66376256942749,17.087700366973877
Regular Plural,rats,issue,17.03675603866577,9.696865797042847
Irregular Singular,mouse,trader,14.193059206008911,16.06149196624756
Irregular Plural,mice,trader,11.47723913192749,17.84500026702881
Regular Singular,rat,trader,12.663766384124756,15.791285037994385
Regular Plural,rats,trader,17.03675603866577,13.552307844161987
Irregular Singular,mouse,tracker,14.193059206008911,10.35068941116333
Irregular Plural,mice,tracker,11.47723913192749,18.358792781829834
Regular Singular,rat,tracker,12.663766384124756,16.288246154785156
Regular Plural,rats,tracker,17.03675603866577,13.284566879272461
Irregular Singular,mouse,inspector,14.193059206008911,10.024688482284546
Irregular Plural,mice,inspector,11.47723913192749,13.970248460769653
Regular Singular,rat,inspector,12.663766384124756,20.875795602798462
Regular Plural,rats,inspector,17.03675603866577,10.844999551773071
Irregular Singular,foot,issue,12.41726541519165,13.308440685272217
Irregular Plural,feet,issue,10.590274333953857,14.304250717163086
Regular Singular,leg,issue,13.413660049438477,12.054200410842896
Regular Plural,legs,issue,14.086571216583252,9.147471189498901
Irregular Singular,foot,examination,12.417266368865967,14.399059772491455
Irregular Plural,feet,examination,10.590276718139648,16.590825080871582
Regular Singular,leg,examination,13.413662910461426,14.553457260131836
Regular Plural,legs,examination,14.086570262908936,12.463798761367798
Irregular Singular,foot,expert,12.417266845703125,15.298356294631958
Irregular Plural,feet,expert,10.59027624130249,12.922240495681763
Regular Singular,leg,expert,13.413664817810059,11.174703598022461
Regular Plural,legs,expert,14.086571216583252,9.99919843673706
Irregular Singular,foot,inspector,12.417266845703125,14.216651678085327
Irregular Plural,feet,inspector,10.59027624130249,15.223820686340332
Regular Singular,leg,inspector,13.413664817810059,11.631500244140625
Regular Plural,legs,inspector,14.086571216583252,11.15706205368042
Irregular Singular,tooth,issue,10.267790794372559,13.841930389404297
Irregular Plural,teeth,issue,12.614455461502075,11.948846578598022
Regular Singular,bone,issue,11.533245086669922,14.29182744026184
Regular Plural,bones,issue,12.886627197265625,10.231404781341553
Irregular Singular,tooth,examination,10.267791509628296,17.04454493522644
Irregular Plural,teeth,examination,12.614457607269287,14.904265403747559
Regular Singular,bone,examination,11.533246278762817,17.260215759277344
Regular Plural,bones,examination,12.8866286277771,12.907511234283447
Irregular Singular,tooth,expert,10.267791271209717,20.962199687957764
Irregular Plural,teeth,expert,12.614457607269287,13.729769468307495
Regular Singular,bone,expert,11.533245086669922,13.902578353881836
Regular Plural,bones,expert,12.886627197265625,11.699977397918701
Irregular Singular,tooth,protector,10.267791271209717,18.945312023162842
Irregular Plural,teeth,protector,12.614457607269287,12.287448644638062
Regular Singular,bone,protector,11.533245086669922,15.993212938308716
Regular Plural,bones,protector,12.886627197265625,12.771127939224243
Irregular Singular,child,patrol,9.622602224349976,9.835053205490112
Irregular Plural,children,patrol,10.703064441680908,11.856818199157715
Regular Singular,adult,patrol,9.74858832359314,14.36044692993164
Regular Plural,adults,patrol,11.520534753799438,14.456459045410156
Irregular Singular,child,register,9.622602462768555,11.244033098220825
