Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,12.275774002075195,15.689469337463379
Irregular Plural,geese,protector,14.856446266174316,16.20658540725708
Regular Singular,swan,protector,15.512411117553711,13.684795379638672
Regular Plural,swans,protector,15.624969959259033,15.885224342346191
Irregular Singular,goose,trader,12.275773048400879,14.95305347442627
Irregular Plural,geese,trader,14.856445789337158,14.507980823516846
Regular Singular,swan,trader,15.512411117553711,14.577050685882568
Regular Plural,swans,trader,15.624969959259033,16.852904319763184
Irregular Singular,goose,tracker,12.275773048400879,14.822246074676514
Irregular Plural,geese,tracker,14.856445789337158,14.37432336807251
Regular Singular,swan,tracker,15.512411117553711,15.823049545288086
Regular Plural,swans,tracker,15.624969959259033,16.629234790802002
Irregular Singular,goose,expert,12.275774002075195,10.484238624572754
Irregular Plural,geese,expert,14.856446266174316,11.208303451538086
Regular Singular,swan,expert,15.51241660118103,9.97149658203125
Regular Plural,swans,expert,15.624967336654663,9.961210250854492
Irregular Singular,ox,register,11.088884353637695,11.634449005126953
Irregular Plural,oxen,register,13.994415283203125,12.79123306274414
Regular Singular,cow,register,11.886482238769531,13.266660690307617
Regular Plural,cows,register,13.045495986938477,13.213748931884766
Irregular Singular,ox,trader,11.088883399963379,15.965829372406006
Irregular Plural,oxen,trader,13.994415283203125,18.990973472595215
Regular Singular,cow,trader,11.886480331420898,14.849362850189209
Regular Plural,cows,trader,13.045494079589844,17.924707889556885
Irregular Singular,ox,tracker,11.088883399963379,16.048532009124756
Irregular Plural,oxen,tracker,13.994415283203125,17.601165771484375
Regular Singular,cow,tracker,11.886480331420898,13.582723617553711
Regular Plural,cows,tracker,13.045494079589844,16.34723949432373
Irregular Singular,ox,finder,11.088883399963379,17.085191249847412
Irregular Plural,oxen,finder,13.994416236877441,18.12548542022705
Regular Singular,cow,finder,11.886480331420898,15.372021675109863
Regular Plural,cows,finder,13.045494079589844,16.50582504272461
Irregular Singular,louse,issue,15.536388874053955,12.784303665161133
Irregular Plural,lice,issue,16.557241916656494,11.689494132995605
Regular Singular,flea,issue,13.654730558395386,10.443960189819336
Regular Plural,fleas,issue,16.752768516540527,11.25434398651123
Irregular Singular,louse,trader,15.536388397216797,15.669787406921387
Irregular Plural,lice,trader,16.557244300842285,15.155943870544434
Regular Singular,flea,trader,13.654731035232544,15.490644454956055
Regular Plural,fleas,trader,16.752769470214844,16.113990306854248
Irregular Singular,louse,tracker,15.536388397216797,16.729353427886963
Irregular Plural,lice,tracker,16.557244300842285,15.046719551086426
Regular Singular,flea,tracker,13.654731035232544,16.167936325073242
Regular Plural,fleas,tracker,16.752769470214844,15.978497505187988
Irregular Singular,louse,expert,15.536388874053955,10.695574760437012
Irregular Plural,lice,expert,16.557241916656494,11.630050659179688
Regular Singular,flea,expert,13.654730558395386,11.393930435180664
Regular Plural,fleas,expert,16.752768516540527,10.295315742492676
Irregular Singular,mouse,issue,10.721658706665039,11.634187698364258
Irregular Plural,mice,issue,11.628988265991211,12.425731658935547
Regular Singular,rat,issue,11.870315551757812,10.815946578979492
Regular Plural,rats,issue,12.304014205932617,12.374052047729492
Irregular Singular,mouse,trader,10.721656799316406,15.88121223449707
Irregular Plural,mice,trader,11.628987312316895,18.193167209625244
Regular Singular,rat,trader,11.87031364440918,14.878375053405762
Regular Plural,rats,trader,12.304012298583984,17.86012029647827
Irregular Singular,mouse,tracker,10.721656799316406,15.991528034210205
Irregular Plural,mice,tracker,11.628987312316895,17.690919876098633
Regular Singular,rat,tracker,11.87031364440918,15.810775756835938
Regular Plural,rats,tracker,12.304012298583984,17.106404304504395
Irregular Singular,mouse,inspector,10.721658706665039,10.404033660888672
Irregular Plural,mice,inspector,11.628988265991211,11.968710899353027
Regular Singular,rat,inspector,11.870314598083496,10.112656593322754
Regular Plural,rats,inspector,12.304014205932617,12.239849090576172
Irregular Singular,foot,issue,10.45509147644043,11.9279146194458
Irregular Plural,feet,issue,9.464021682739258,12.870349884033203
Regular Singular,leg,issue,11.608508110046387,10.267191886901855
Regular Plural,legs,issue,11.99268913269043,12.524391174316406
Irregular Singular,foot,examination,10.45509147644043,11.735857963562012
Irregular Plural,feet,examination,9.464021682739258,12.53557014465332
Regular Singular,leg,examination,11.608508110046387,10.538899421691895
Regular Plural,legs,examination,11.99268913269043,12.784343719482422
Irregular Singular,foot,expert,10.45509147644043,11.021991729736328
Irregular Plural,feet,expert,9.464021682739258,11.630340576171875
Regular Singular,leg,expert,11.608508110046387,9.623306274414062
Regular Plural,legs,expert,11.99268913269043,11.189455032348633
Irregular Singular,foot,inspector,10.45509147644043,10.817983627319336
Irregular Plural,feet,inspector,9.464021682739258,12.824516296386719
Regular Singular,leg,inspector,11.608508110046387,10.1326322555542
Regular Plural,legs,inspector,11.99268913269043,12.565296173095703
Irregular Singular,tooth,issue,11.373075485229492,10.323507308959961
Irregular Plural,teeth,issue,10.168779373168945,12.442569732666016
Regular Singular,bone,issue,10.188265800476074,11.603023529052734
Regular Plural,bones,issue,10.671443939208984,12.212279319763184
Irregular Singular,tooth,examination,11.373075485229492,9.846985816955566
Irregular Plural,teeth,examination,10.168779373168945,12.021718978881836
Regular Singular,bone,examination,10.18826675415039,10.627357482910156
Regular Plural,bones,examination,10.671443939208984,12.081706047058105
Irregular Singular,tooth,expert,11.373078346252441,10.937304496765137
Irregular Plural,teeth,expert,10.168779373168945,10.773082733154297
Regular Singular,bone,expert,10.188265800476074,10.65373420715332
Regular Plural,bones,expert,10.6714448928833,10.823567390441895
Irregular Singular,tooth,protector,11.373077392578125,15.04326581954956
Irregular Plural,teeth,protector,10.168781280517578,17.065707683563232
Regular Singular,bone,protector,10.188265800476074,15.407143592834473
Regular Plural,bones,protector,10.6714448928833,16.799411296844482
Irregular Singular,child,patrol,12.506608963012695,11.781853675842285
Irregular Plural,children,patrol,10.807714462280273,12.975378036499023
Regular Singular,adult,patrol,12.091106414794922,13.528553009033203
Regular Plural,adults,patrol,11.685956001281738,13.048678398132324
Irregular Singular,child,register,12.506608963012695,11.06454849243164
Irregular Plural,children,register,10.807714462280273,12.097577095031738
Regular Singular,adult,register,12.091106414794922,12.278044700622559
Regular Plural,adults,register,11.685956954956055,12.284893035888672
Irregular Singular,child,institute,12.506608963012695,14.165314674377441
Irregular Plural,children,institute,10.807714462280273,14.613597393035889
Regular Singular,adult,institute,12.091106414794922,14.300055265426636
Regular Plural,adults,institute,11.685956954956055,14.297231674194336
Irregular Singular,child,crew,12.506608963012695,11.522045135498047
Irregular Plural,children,crew,10.807714462280273,12.751111030578613
Regular Singular,adult,crew,12.091106414794922,10.756609916687012
Regular Plural,adults,crew,11.685956954956055,12.215059280395508
Irregular Singular,woman,protector,11.068077087402344,16.600332260131836
Irregular Plural,women,protector,11.57707405090332,16.90577793121338
Regular Singular,girl,protector,9.408539772033691,17.05967617034912
Regular Plural,girls,protector,11.111638069152832,20.28935146331787
Irregular Singular,woman,register,11.068076133728027,11.9114408493042
Irregular Plural,women,register,11.57707405090332,11.279180526733398
Regular Singular,girl,register,9.408538818359375,11.94620132446289
Regular Plural,girls,register,11.111638069152832,11.290661811828613
Irregular Singular,woman,hangout,11.068077087402344,14.513976097106934
Irregular Plural,women,hangout,11.57707405090332,15.32209300994873
Regular Singular,girl,hangout,9.408539772033691,14.985389709472656
Regular Plural,girls,hangout,11.111638069152832,16.74441385269165
Irregular Singular,woman,crew,11.068076133728027,12.386638641357422
Irregular Plural,women,crew,11.57707405090332,10.938752174377441
Regular Singular,girl,crew,9.408538818359375,11.867931365966797
Regular Plural,girls,crew,11.111638069152832,12.743183135986328
Irregular Singular,man,institute,8.68980598449707,12.887266635894775
Irregular Plural,men,institute,9.563196182250977,12.892675161361694
Regular Singular,boy,institute,10.070487022399902,13.863420248031616
Regular Plural,boys,institute,11.663612365722656,14.692303895950317
Irregular Singular,man,register,8.68980598449707,12.054462432861328
Irregular Plural,men,register,9.563194274902344,11.550291061401367
Regular Singular,boy,register,10.070486068725586,12.629000663757324
Regular Plural,boys,register,11.66361141204834,12.501551628112793
Irregular Singular,man,finder,8.68980598449707,15.422274112701416
Irregular Plural,men,finder,9.563196182250977,16.563923835754395
Regular Singular,boy,finder,10.070487022399902,15.000598907470703
Regular Plural,boys,finder,11.663612365722656,16.2750563621521
Irregular Singular,man,hangout,8.68980598449707,13.088452816009521
Irregular Plural,men,hangout,9.563196182250977,14.17665958404541
Regular Singular,boy,hangout,10.070487022399902,15.567140579223633
Regular Plural,boys,hangout,11.663612365722656,16.187828063964844
Irregular Singular,salesman,institute,16.041441917419434,13.884013414382935
Irregular Plural,salesmen,institute,16.553051948547363,14.133770227432251
Regular Singular,retailer,institute,22.057989597320557,11.809349775314331
Regular Plural,retailers,institute,21.87001085281372,13.503324031829834
Irregular Singular,salesman,inspector,16.041441440582275,10.703445434570312
Irregular Plural,salesmen,inspector,16.553051948547363,12.129842758178711
Regular Singular,retailer,inspector,22.057989597320557,10.729564666748047
Regular Plural,retailers,inspector,21.87001085281372,12.256072998046875
Irregular Singular,salesman,protector,16.041440963745117,16.172760009765625
Irregular Plural,salesmen,protector,16.553050994873047,16.64068603515625
Regular Singular,retailer,protector,22.057989597320557,13.959598064422607
Regular Plural,retailers,protector,21.870009899139404,16.81104612350464
Irregular Singular,salesman,employer,16.04144287109375,13.263887166976929
Irregular Plural,salesmen,employer,16.553051948547363,13.413979053497314
Regular Singular,retailer,employer,22.057989597320557,13.249883651733398
Regular Plural,retailers,employer,21.87001085281372,14.118767976760864
Irregular Singular,nobleman,patrol,21.79901885986328,11.22488021850586
Irregular Plural,noblemen,patrol,22.683692932128906,12.490168571472168
Regular Singular,aristocrat,patrol,24.39616584777832,11.970462799072266
Regular Plural,aristocrats,patrol,22.85328960418701,11.6930570602417
Irregular Singular,nobleman,hangout,21.799013137817383,16.283483028411865
Irregular Plural,noblemen,hangout,22.68368911743164,18.367609977722168
Regular Singular,aristocrat,hangout,24.396166801452637,13.927547931671143
Regular Plural,aristocrats,hangout,22.853291511535645,12.781910181045532
Irregular Singular,nobleman,institute,21.799013137817383,14.265495300292969
