Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,13.74830436706543,13.167126655578613
Irregular Plural,geese,protector,13.171862602233887,14.488791942596436
Regular Singular,swan,protector,12.460545539855957,12.101980209350586
Regular Plural,swans,protector,12.15489387512207,17.367970943450928
Irregular Singular,goose,trader,13.74830436706543,14.299732208251953
Irregular Plural,geese,trader,13.171862602233887,15.264298439025879
Regular Singular,swan,trader,12.460545539855957,14.01404857635498
Regular Plural,swans,trader,12.15489387512207,16.822681427001953
Irregular Singular,goose,tracker,13.74830436706543,16.08574867248535
Irregular Plural,geese,tracker,13.171862602233887,14.721248149871826
Regular Singular,swan,tracker,12.460545539855957,16.412839889526367
Regular Plural,swans,tracker,12.15489387512207,15.99707317352295
Irregular Singular,goose,expert,13.74830436706543,11.672094345092773
Irregular Plural,geese,expert,13.171862602233887,12.9871187210083
Regular Singular,swan,expert,12.460545539855957,12.094507217407227
Regular Plural,swans,expert,12.15489387512207,17.087316513061523
Irregular Singular,ox,register,11.219468116760254,13.905915260314941
Irregular Plural,oxen,register,13.824874877929688,10.793882369995117
Regular Singular,cow,register,11.41726303100586,11.398589134216309
Regular Plural,cows,register,12.448217391967773,11.394461631774902
Irregular Singular,ox,trader,11.219468116760254,14.503877639770508
Irregular Plural,oxen,trader,13.824874877929688,14.575934410095215
Regular Singular,cow,trader,11.41726303100586,13.139362335205078
Regular Plural,cows,trader,12.448217391967773,14.963621139526367
Irregular Singular,ox,tracker,11.21946907043457,14.844881057739258
Irregular Plural,oxen,tracker,13.824874877929688,16.547749042510986
Regular Singular,cow,tracker,11.41726303100586,15.717533111572266
Regular Plural,cows,tracker,12.44821548461914,17.871426582336426
Irregular Singular,ox,finder,11.21946907043457,12.99520206451416
Irregular Plural,oxen,finder,13.824874877929688,15.08097219467163
Regular Singular,cow,finder,11.41726303100586,11.532734870910645
Regular Plural,cows,finder,12.44821548461914,14.518640041351318
Irregular Singular,louse,issue,15.315337181091309,10.651628494262695
Irregular Plural,lice,issue,12.388935089111328,13.09483528137207
Regular Singular,flea,issue,13.181349754333496,11.968482971191406
Regular Plural,fleas,issue,14.996757507324219,11.763782501220703
Irregular Singular,louse,trader,15.315337181091309,13.461817741394043
Irregular Plural,lice,trader,12.388935089111328,16.540298461914062
Regular Singular,flea,trader,13.181349754333496,12.227931022644043
Regular Plural,fleas,trader,14.996757507324219,13.362089157104492
Irregular Singular,louse,tracker,15.315337181091309,13.83625316619873
Irregular Plural,lice,tracker,12.388935089111328,14.704442024230957
Regular Singular,flea,tracker,13.181349754333496,15.158709526062012
Regular Plural,fleas,tracker,14.996757507324219,15.137786865234375
Irregular Singular,louse,expert,15.315337181091309,12.610729217529297
Irregular Plural,lice,expert,12.388935089111328,12.463052749633789
Regular Singular,flea,expert,13.181349754333496,13.451866149902344
Regular Plural,fleas,expert,14.996757507324219,11.522961616516113
Irregular Singular,mouse,issue,10.729669570922852,11.606561660766602
Irregular Plural,mice,issue,11.23691177368164,12.96768569946289
Regular Singular,rat,issue,11.41179084777832,11.214347839355469
Regular Plural,rats,issue,12.358114242553711,11.631600379943848
Irregular Singular,mouse,trader,10.729669570922852,14.487701416015625
Irregular Plural,mice,trader,11.23691177368164,17.82038688659668
Regular Singular,rat,trader,11.41179084777832,14.760833740234375
Regular Plural,rats,trader,12.358114242553711,16.97405433654785
Irregular Singular,mouse,tracker,10.729669570922852,16.751545906066895
Irregular Plural,mice,tracker,11.236912727355957,16.473902702331543
Regular Singular,rat,tracker,11.41179084777832,13.885326385498047
Regular Plural,rats,tracker,12.358114242553711,16.08910083770752
Irregular Singular,mouse,inspector,10.729669570922852,12.496894836425781
Irregular Plural,mice,inspector,11.23691177368164,15.18042278289795
Regular Singular,rat,inspector,11.41179084777832,10.428289413452148
Regular Plural,rats,inspector,12.358114242553711,14.167154312133789
Irregular Singular,foot,issue,8.723915100097656,11.626012802124023
Irregular Plural,feet,issue,9.078849792480469,14.319095611572266
Regular Singular,leg,issue,10.93410873413086,10.781641006469727
Regular Plural,legs,issue,10.12401008605957,12.922761917114258
Irregular Singular,foot,examination,8.72391414642334,9.649279594421387
Irregular Plural,feet,examination,9.078850746154785,13.430444717407227
Regular Singular,leg,examination,10.93410873413086,11.141715049743652
Regular Plural,legs,examination,10.124009132385254,12.598807334899902
Irregular Singular,foot,expert,8.723915100097656,10.744322776794434
Irregular Plural,feet,expert,9.078849792480469,14.878753662109375
Regular Singular,leg,expert,10.93410873413086,11.955458641052246
Regular Plural,legs,expert,10.12401008605957,14.809255599975586
Irregular Singular,foot,inspector,8.723915100097656,12.497176170349121
Irregular Plural,feet,inspector,9.078849792480469,16.103900909423828
Regular Singular,leg,inspector,10.93410873413086,12.193401336669922
Regular Plural,legs,inspector,10.12401008605957,15.697845458984375
Irregular Singular,tooth,issue,11.08434772491455,10.667835235595703
Irregular Plural,teeth,issue,10.121399879455566,11.206518173217773
Regular Singular,bone,issue,9.61292552947998,10.137598991394043
Regular Plural,bones,issue,9.451297760009766,11.593402862548828
Irregular Singular,tooth,examination,11.084346771240234,11.897985458374023
Irregular Plural,teeth,examination,10.121399879455566,14.448997497558594
Regular Singular,bone,examination,9.61292552947998,10.550241470336914
Regular Plural,bones,examination,9.451297760009766,14.329154968261719
Irregular Singular,tooth,expert,11.08434772491455,9.14254379272461
Irregular Plural,teeth,expert,10.121399879455566,12.248297691345215
Regular Singular,bone,expert,9.61292552947998,10.100056648254395
Regular Plural,bones,expert,9.451297760009766,14.162309646606445
Irregular Singular,tooth,protector,11.084346771240234,10.24217700958252
Irregular Plural,teeth,protector,10.121399879455566,14.97806167602539
Regular Singular,bone,protector,9.61292552947998,13.269896507263184
Regular Plural,bones,protector,9.451297760009766,17.102280616760254
Irregular Singular,child,patrol,8.634809494018555,10.751510620117188
Irregular Plural,children,patrol,8.12658405303955,11.667061805725098
Regular Singular,adult,patrol,9.608355522155762,11.801350593566895
Regular Plural,adults,patrol,11.11104965209961,10.953824996948242
Irregular Singular,child,register,8.634809494018555,10.700821876525879
Irregular Plural,children,register,8.12658405303955,10.012810707092285
Regular Singular,adult,register,9.608355522155762,10.838885307312012
Regular Plural,adults,register,11.11104965209961,10.19133186340332
Irregular Singular,child,institute,8.634809494018555,10.822410583496094
Irregular Plural,children,institute,8.12658405303955,12.728631019592285
Regular Singular,adult,institute,9.608355522155762,11.199441909790039
Regular Plural,adults,institute,11.11104965209961,13.189525604248047
Irregular Singular,child,crew,8.634809494018555,10.546402931213379
Irregular Plural,children,crew,8.12658405303955,13.629319190979004
Regular Singular,adult,crew,9.608355522155762,10.018192291259766
