Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,20.00565528869629,14.283345222473145
Irregular Plural,geese,protector,20.632285118103027,13.0975923538208
Regular Singular,swan,protector,20.395861625671387,13.260713577270508
Regular Plural,swans,protector,18.2610445022583,14.721961975097656
Irregular Singular,goose,trader,20.00565528869629,15.865447759628296
Irregular Plural,geese,trader,20.632285118103027,14.387509822845459
Regular Singular,swan,trader,20.39586353302002,15.66055941581726
Regular Plural,swans,trader,18.261042594909668,17.07944393157959
Irregular Singular,goose,tracker,20.00565528869629,18.08487319946289
Irregular Plural,geese,tracker,20.632285118103027,17.967477321624756
Regular Singular,swan,tracker,20.39586353302002,19.33444595336914
Regular Plural,swans,tracker,18.261042594909668,19.784929275512695
Irregular Singular,goose,expert,20.00565528869629,13.020296096801758
Irregular Plural,geese,expert,20.632285118103027,11.225614547729492
Regular Singular,swan,expert,20.395861625671387,12.453129768371582
Regular Plural,swans,expert,18.2610445022583,12.81460952758789
Irregular Singular,ox,register,14.33932113647461,11.113943099975586
Irregular Plural,oxen,register,20.427705764770508,11.701921463012695
Regular Singular,cow,register,20.821038246154785,12.195043563842773
Regular Plural,cows,register,19.01499080657959,12.75084400177002
Irregular Singular,ox,trader,14.339323997497559,15.170199394226074
Irregular Plural,oxen,trader,20.42771053314209,15.396591424942017
Regular Singular,cow,trader,20.82103729248047,15.21693229675293
Regular Plural,cows,trader,19.014988899230957,15.946587085723877
Irregular Singular,ox,tracker,14.339323997497559,18.14066219329834
Irregular Plural,oxen,tracker,20.42771053314209,19.06934642791748
Regular Singular,cow,tracker,20.82103729248047,17.59963607788086
Regular Plural,cows,tracker,19.014988899230957,18.055718421936035
Irregular Singular,ox,finder,14.339323997497559,21.020551681518555
Irregular Plural,oxen,finder,20.42771053314209,21.261727333068848
Regular Singular,cow,finder,20.82103729248047,20.409732818603516
Regular Plural,cows,finder,19.014988899230957,19.69459819793701
Irregular Singular,louse,issue,19.165170669555664,12.116727828979492
Irregular Plural,lice,issue,18.106374740600586,11.924246788024902
Regular Singular,flea,issue,20.85921049118042,11.637615203857422
Regular Plural,fleas,issue,20.240771293640137,12.609550476074219
Irregular Singular,louse,trader,19.16517162322998,14.688576459884644
Irregular Plural,lice,trader,18.106375694274902,15.067693710327148
Regular Singular,flea,trader,20.859210968017578,13.458374500274658
Regular Plural,fleas,trader,20.240773677825928,15.928737163543701
Irregular Singular,louse,tracker,19.16517162322998,18.029042720794678
Irregular Plural,lice,tracker,18.106375694274902,18.69293785095215
Regular Singular,flea,tracker,20.859210968017578,17.982851028442383
Regular Plural,fleas,tracker,20.240773677825928,18.60262107849121
Irregular Singular,louse,expert,19.165170669555664,12.957599639892578
Irregular Plural,lice,expert,18.106374740600586,12.88536262512207
Regular Singular,flea,expert,20.85921049118042,12.554887771606445
Regular Plural,fleas,expert,20.240771293640137,11.983821868896484
Irregular Singular,mouse,issue,20.191343307495117,11.97828197479248
Irregular Plural,mice,issue,18.679831504821777,11.81806755065918
Regular Singular,rat,issue,14.562634468078613,12.096271514892578
Regular Plural,rats,issue,17.448866844177246,12.739705085754395
Irregular Singular,mouse,trader,20.191346168518066,15.040907859802246
Irregular Plural,mice,trader,18.679834365844727,15.65408706665039
Regular Singular,rat,trader,14.56263542175293,15.35065221786499
Regular Plural,rats,trader,17.44886875152588,16.062238454818726
Irregular Singular,mouse,tracker,20.191346168518066,18.4152774810791
Irregular Plural,mice,tracker,18.679834365844727,19.078974723815918
Regular Singular,rat,tracker,14.56263542175293,18.639949798583984
Regular Plural,rats,tracker,17.44886875152588,18.98174476623535
Irregular Singular,mouse,inspector,20.191343307495117,12.602554321289062
Irregular Plural,mice,inspector,18.679831504821777,12.48663330078125
Regular Singular,rat,inspector,14.562634468078613,11.760222434997559
Regular Plural,rats,inspector,17.448866844177246,13.00857925415039
Irregular Singular,foot,issue,13.610011100769043,11.887734413146973
Irregular Plural,feet,issue,14.357162475585938,12.12906265258789
Regular Singular,leg,issue,14.813278198242188,12.056204795837402
Regular Plural,legs,issue,15.492605924606323,12.576658248901367
Irregular Singular,foot,examination,13.610011100769043,11.384451866149902
Irregular Plural,feet,examination,14.357162475585938,12.31767463684082
Regular Singular,leg,examination,14.813278198242188,10.994771957397461
Regular Plural,legs,examination,15.492605924606323,10.933375358581543
Irregular Singular,foot,expert,13.610011100769043,11.614296913146973
Irregular Plural,feet,expert,14.357162475585938,13.177392959594727
Regular Singular,leg,expert,14.813278198242188,11.628299713134766
Regular Plural,legs,expert,15.492605924606323,12.07503604888916
Irregular Singular,foot,inspector,13.610011100769043,11.45160961151123
Irregular Plural,feet,inspector,14.357162475585938,12.811119079589844
Regular Singular,leg,inspector,14.813278198242188,11.669730186462402
Regular Plural,legs,inspector,15.492605924606323,12.732911109924316
Irregular Singular,tooth,issue,22.476961135864258,11.923606872558594
Irregular Plural,teeth,issue,21.040668487548828,12.088351249694824
Regular Singular,bone,issue,12.561816215515137,11.779640197753906
Regular Plural,bones,issue,13.556772232055664,12.755620956420898
Irregular Singular,tooth,examination,22.476961135864258,11.103289604187012
Irregular Plural,teeth,examination,21.040668487548828,11.60570240020752
Regular Singular,bone,examination,12.561816215515137,11.851115226745605
Regular Plural,bones,examination,13.556772232055664,12.671560287475586
Irregular Singular,tooth,expert,22.476961135864258,12.206165313720703
Irregular Plural,teeth,expert,21.040668487548828,12.604231834411621
Regular Singular,bone,expert,12.561816215515137,12.947820663452148
Regular Plural,bones,expert,13.556772232055664,13.598573684692383
Irregular Singular,tooth,protector,22.476961135864258,13.637548446655273
Irregular Plural,teeth,protector,21.040668487548828,12.832718849182129
Regular Singular,bone,protector,12.561816215515137,14.767831802368164
Regular Plural,bones,protector,13.556772232055664,15.576202392578125
Irregular Singular,child,patrol,13.4501314163208,13.593353271484375
Irregular Plural,children,patrol,13.57795524597168,14.51358413696289
Regular Singular,adult,patrol,22.64547348022461,13.643555641174316
Regular Plural,adults,patrol,24.504016876220703,13.89566421508789
Irregular Singular,child,register,13.4501314163208,12.717753410339355
Irregular Plural,children,register,13.57795524597168,12.546499252319336
Regular Singular,adult,register,22.64547348022461,12.323273658752441
Regular Plural,adults,register,24.504016876220703,12.33225154876709
Irregular Singular,child,institute,13.4501314163208,12.199195861816406
Irregular Plural,children,institute,13.57795524597168,13.961944580078125
Regular Singular,adult,institute,22.64547348022461,12.420345306396484
Regular Plural,adults,institute,24.504016876220703,13.020216941833496
Irregular Singular,child,crew,13.4501314163208,11.1259126663208
Irregular Plural,children,crew,13.57795524597168,12.511785507202148
Regular Singular,adult,crew,22.64547348022461,11.078371047973633
Regular Plural,adults,crew,24.504016876220703,12.473895072937012
Irregular Singular,woman,protector,13.140042304992676,14.37073802947998
Irregular Plural,women,protector,14.403926849365234,15.127641677856445
Regular Singular,girl,protector,14.903409004211426,14.235159873962402
Regular Plural,girls,protector,15.383327007293701,14.451107025146484
Irregular Singular,woman,register,13.140042304992676,12.391629219055176
Irregular Plural,women,register,14.403926849365234,12.861227989196777
Regular Singular,girl,register,14.903409004211426,12.771571159362793
Regular Plural,girls,register,15.383327007293701,12.379053115844727
Irregular Singular,woman,hangout,13.140043258666992,17.96526050567627
Irregular Plural,women,hangout,14.40392780303955,17.947075843811035
Regular Singular,girl,hangout,14.903409957885742,17.296035766601562
Regular Plural,girls,hangout,15.383327960968018,15.739040851593018
Irregular Singular,woman,crew,13.140042304992676,11.15483570098877
Irregular Plural,women,crew,14.403926849365234,12.521337509155273
Regular Singular,girl,crew,14.903409004211426,10.981654167175293
Regular Plural,girls,crew,15.383327007293701,10.963003158569336
Irregular Singular,man,institute,8.850540161132812,12.40411376953125
Irregular Plural,men,institute,10.317124366760254,13.259319305419922
Regular Singular,boy,institute,13.544723510742188,12.66446304321289
Regular Plural,boys,institute,12.34131145477295,13.227685928344727
Irregular Singular,man,register,8.850540161132812,13.049562454223633
Irregular Plural,men,register,10.317124366760254,12.48825740814209
Regular Singular,boy,register,13.544723510742188,13.039756774902344
Regular Plural,boys,register,12.34131145477295,12.387782096862793
Irregular Singular,man,finder,8.850541114807129,20.557610511779785
Irregular Plural,men,finder,10.317124366760254,19.38228130340576
Regular Singular,boy,finder,13.544724464416504,19.772439002990723
Regular Plural,boys,finder,12.34131145477295,19.57697582244873
Irregular Singular,man,hangout,8.850541114807129,18.44179391860962
Irregular Plural,men,hangout,10.317124366760254,17.282586574554443
Regular Singular,boy,hangout,13.544724464416504,17.07645893096924
Regular Plural,boys,hangout,12.34131145477295,17.289031982421875
Irregular Singular,salesman,institute,29.795771598815918,12.142413139343262
Irregular Plural,salesmen,institute,30.778212547302246,13.139243125915527
Regular Singular,retailer,institute,31.989506721496582,11.855534553527832
Regular Plural,retailers,institute,30.727835178375244,13.43978214263916
Irregular Singular,salesman,inspector,29.795771598815918,12.170138359069824
Irregular Plural,salesmen,inspector,30.778212547302246,13.491390228271484
Regular Singular,retailer,inspector,31.989506721496582,11.80330753326416
Regular Plural,retailers,inspector,30.727835178375244,13.029480934143066
Irregular Singular,salesman,protector,29.795771598815918,14.54828929901123
Irregular Plural,salesmen,protector,30.778212547302246,14.90353012084961
Regular Singular,retailer,protector,31.989506721496582,14.005284309387207
Regular Plural,retailers,protector,30.727835178375244,15.151744842529297
Irregular Singular,salesman,employer,29.795771598815918,13.481470108032227
Irregular Plural,salesmen,employer,30.778212547302246,13.908730506896973
Regular Singular,retailer,employer,31.989506721496582,13.095467567443848
Regular Plural,retailers,employer,30.727835178375244,14.211112976074219
Irregular Singular,nobleman,patrol,26.84840965270996,13.722419738769531
Irregular Plural,noblemen,patrol,28.36298656463623,13.59653377532959
Regular Singular,aristocrat,patrol,32.278159618377686,12.625940322875977
Regular Plural,aristocrats,patrol,31.422908782958984,13.873062133789062
Irregular Singular,nobleman,hangout,26.84841012954712,16.838940143585205
Irregular Plural,noblemen,hangout,28.362986087799072,15.55116081237793
Regular Singular,aristocrat,hangout,32.27815771102905,17.0195951461792
Regular Plural,aristocrats,hangout,31.42290735244751,16.22093963623047
Irregular Singular,nobleman,institute,26.84840965270996,12.607230186462402
Irregular Plural,noblemen,institute,28.36298656463623,13.083941459655762
Regular Singular,aristocrat,institute,32.278159618377686,10.842483520507812
Regular Plural,aristocrats,institute,31.422908782958984,13.457711219787598
Irregular Singular,nobleman,crew,26.84840965270996,11.972087860107422
Irregular Plural,noblemen,crew,28.36298656463623,12.259626388549805
Regular Singular,aristocrat,crew,32.278159618377686,11.07528305053711
Regular Plural,aristocrats,crew,31.422908782958984,11.779261589050293
Irregular Singular,boatman,patrol,20.15927219390869,13.361722946166992
Irregular Plural,boatmen,patrol,21.221405029296875,13.533045768737793
Regular Singular,shipmate,patrol,23.091492652893066,13.32919979095459
Regular Plural,shipmates,patrol,22.733155250549316,13.985776901245117
Irregular Singular,boatman,finder,20.15927505493164,19.970566749572754
Irregular Plural,boatmen,finder,21.22140598297119,19.023978233337402
Regular Singular,shipmate,finder,23.091492652893066,20.16873073577881
Regular Plural,shipmates,finder,22.733155250549316,19.10224723815918
Irregular Singular,boatman,inspector,20.15927219390869,11.831226348876953
Irregular Plural,boatmen,inspector,21.221405029296875,13.004133224487305
Regular Singular,shipmate,inspector,23.091492652893066,12.207839965820312
Regular Plural,shipmates,inspector,22.733155250549316,13.407426834106445
Irregular Singular,boatman,employer,20.15927219390869,14.029583930969238
Irregular Plural,boatmen,employer,21.221405029296875,14.446145057678223
Regular Singular,shipmate,employer,23.091492652893066,13.800164222717285
Regular Plural,shipmates,employer,22.733155250549316,14.503536224365234
Irregular Singular,craftsman,employer,25.581185817718506,13.50029182434082
Irregular Plural,craftsmen,employer,26.77173948287964,14.052709579467773
Regular Singular,labourer,employer,32.50735807418823,12.79281234741211
Regular Plural,labourers,employer,34.47916650772095,13.705791473388672
Irregular Singular,craftsman,examination,25.581185817718506,12.113704681396484
Irregular Plural,craftsmen,examination,26.77173948287964,12.258390426635742
Regular Singular,labourer,examination,32.50735807418823,12.170705795288086
Regular Plural,labourers,examination,34.47916650772095,12.182731628417969
Irregular Singular,craftsman,hangout,25.58118438720703,17.492618560791016
Irregular Plural,craftsmen,hangout,26.77173900604248,16.71306324005127
Regular Singular,labourer,hangout,32.50735807418823,17.537322998046875
Regular Plural,labourers,hangout,34.47916650772095,15.655613899230957
Irregular Singular,craftsman,finder,25.58118438720703,19.7269926071167
Irregular Plural,craftsmen,finder,26.77173900604248,19.09194850921631
Regular Singular,labourer,finder,32.50735807418823,19.185550689697266
Regular Plural,labourers,finder,34.47916650772095,18.497496604919434
Irregular Singular,fireman,examination,18.76611566543579,12.60202407836914
Irregular Plural,firemen,examination,20.816380500793457,12.670047760009766
Regular Singular,lifeguard,examination,24.644064903259277,11.55652141571045
Regular Plural,lifeguards,examination,24.88701629638672,12.568899154663086
Irregular Singular,fireman,employer,18.76611566543579,14.145915985107422
Irregular Plural,firemen,employer,20.816380500793457,14.566347122192383
Regular Singular,lifeguard,employer,24.644064903259277,13.357817649841309
Regular Plural,lifeguards,employer,24.88701629638672,14.632307052612305
Irregular Singular,fireman,crew,18.76611566543579,11.510381698608398
Irregular Plural,firemen,crew,20.816380500793457,12.093667030334473
Regular Singular,lifeguard,crew,24.644064903259277,10.75241470336914
Regular Plural,lifeguards,crew,24.88701629638672,12.863141059875488
Irregular Singular,fireman,patrol,18.76611566543579,13.208656311035156
Irregular Plural,firemen,patrol,20.816380500793457,13.318000793457031
Regular Singular,lifeguard,patrol,24.644064903259277,13.630325317382812
Regular Plural,lifeguards,patrol,24.88701629638672,14.083861351013184
