Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,18.276022911071777,13.828862428665161
Irregular Plural,geese,protector,19.431949615478516,12.480236530303955
Regular Singular,swan,protector,17.01503562927246,12.78078317642212
Regular Plural,swans,protector,18.285088539123535,15.420073509216309
Irregular Singular,goose,trader,18.276022911071777,13.75003433227539
Irregular Plural,geese,trader,19.431949615478516,10.24146580696106
Regular Singular,swan,trader,17.01503562927246,14.325924396514893
Regular Plural,swans,trader,18.285088539123535,13.768651962280273
Irregular Singular,goose,tracker,18.276022911071777,15.200366973876953
Irregular Plural,geese,tracker,19.431949615478516,15.030519485473633
Regular Singular,swan,tracker,17.01503562927246,16.241211891174316
Regular Plural,swans,tracker,18.285088539123535,15.980585098266602
Irregular Singular,goose,expert,18.276022911071777,12.569543838500977
Irregular Plural,geese,expert,19.431949615478516,11.687291145324707
Regular Singular,swan,expert,17.015036582946777,12.773752212524414
Regular Plural,swans,expert,18.285090446472168,14.101080894470215
Irregular Singular,ox,register,13.34765338897705,10.282669067382812
Irregular Plural,oxen,register,19.176965713500977,11.267332077026367
Regular Singular,cow,register,13.964622497558594,13.108561515808105
Regular Plural,cows,register,18.706764221191406,11.195980072021484
Irregular Singular,ox,trader,13.34765338897705,13.824051856994629
Irregular Plural,oxen,trader,19.176965713500977,12.955920934677124
Regular Singular,cow,trader,13.964622497558594,14.75588321685791
Regular Plural,cows,trader,18.706764221191406,14.586716890335083
Irregular Singular,ox,tracker,13.34765338897705,16.806199073791504
Irregular Plural,oxen,tracker,19.176965713500977,15.2157564163208
Regular Singular,cow,tracker,13.964622497558594,16.086854457855225
Regular Plural,cows,tracker,18.706764221191406,16.1987247467041
Irregular Singular,ox,finder,13.34765338897705,17.168917655944824
Irregular Plural,oxen,finder,19.176965713500977,16.646989822387695
Regular Singular,cow,finder,13.964622497558594,18.38818073272705
Regular Plural,cows,finder,18.706764221191406,18.467348098754883
Irregular Singular,louse,issue,17.933977127075195,11.940959930419922
Irregular Plural,lice,issue,15.954474449157715,11.294829368591309
Regular Singular,flea,issue,21.909382820129395,11.866938591003418
Regular Plural,fleas,issue,22.476778030395508,10.31453800201416
Irregular Singular,louse,trader,17.93397617340088,13.76356816291809
