Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,17.24109172821045,14.135164976119995
Irregular Plural,geese,protector,21.14403533935547,12.792518615722656
Regular Singular,swan,protector,15.956282138824463,15.912542343139648
Regular Plural,swans,protector,17.40128803253174,17.623762607574463
Irregular Singular,goose,trader,17.24109172821045,13.665956497192383
Irregular Plural,geese,trader,21.14403533935547,12.47590446472168
Regular Singular,swan,trader,15.956282138824463,13.761416912078857
Regular Plural,swans,trader,17.40128803253174,14.649263143539429
Irregular Singular,goose,tracker,17.24109172821045,14.685678958892822
Irregular Plural,geese,tracker,21.14403533935547,13.326908111572266
Regular Singular,swan,tracker,15.956282138824463,15.115727424621582
Regular Plural,swans,tracker,17.40128803253174,15.677454471588135
Irregular Singular,goose,expert,17.24109172821045,12.756874084472656
Irregular Plural,geese,expert,21.14403533935547,10.831071853637695
Regular Singular,swan,expert,15.956282138824463,12.939495086669922
Regular Plural,swans,expert,17.40128803253174,13.34433364868164
Irregular Singular,ox,register,14.399189949035645,11.652731895446777
Irregular Plural,oxen,register,19.697345733642578,12.787818908691406
Regular Singular,cow,register,12.869207382202148,12.241762161254883
Regular Plural,cows,register,14.616190910339355,10.181930541992188
Irregular Singular,ox,trader,14.399189949035645,12.647380590438843
Irregular Plural,oxen,trader,19.697345733642578,13.865835428237915
Regular Singular,cow,trader,12.869206428527832,12.706896781921387
Regular Plural,cows,trader,14.616190910339355,14.617370128631592
Irregular Singular,ox,tracker,14.399189949035645,15.948394775390625
Irregular Plural,oxen,tracker,19.697345733642578,15.122416973114014
Regular Singular,cow,tracker,12.869206428527832,14.013581275939941
Regular Plural,cows,tracker,14.616190910339355,15.977302551269531
Irregular Singular,ox,finder,14.399189949035645,17.576664924621582
Irregular Plural,oxen,finder,19.697345733642578,16.85395574569702
Regular Singular,cow,finder,12.869206428527832,16.156803131103516
Regular Plural,cows,finder,14.616190910339355,18.39047336578369
Irregular Singular,louse,issue,17.744957447052002,11.377562522888184
Irregular Plural,lice,issue,15.128540992736816,10.724298477172852
Regular Singular,flea,issue,20.850339889526367,11.020238876342773
Regular Plural,fleas,issue,20.643611907958984,12.18198013305664
Irregular Singular,louse,trader,17.744957447052002,13.704493999481201
Irregular Plural,lice,trader,15.128540992736816,13.690705299377441
Regular Singular,flea,trader,20.850339889526367,12.636795282363892
Regular Plural,fleas,trader,20.643611907958984,13.567855596542358
Irregular Singular,louse,tracker,17.744957447052002,15.603280067443848
Irregular Plural,lice,tracker,15.128540992736816,14.869440078735352
Regular Singular,flea,tracker,20.850339889526367,13.825384616851807
Regular Plural,fleas,tracker,20.643611907958984,15.344822406768799
Irregular Singular,louse,expert,17.744957447052002,12.546159744262695
Irregular Plural,lice,expert,15.128540992736816,11.695650100708008
Regular Singular,flea,expert,20.850339889526367,12.557165145874023
Regular Plural,fleas,expert,20.643611907958984,12.92417049407959
