Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,16.969552993774414,13.948075294494629
Irregular Plural,geese,protector,21.542719841003418,12.589473247528076
Regular Singular,swan,protector,17.775373935699463,15.945905685424805
Regular Plural,swans,protector,19.348841667175293,17.514208793640137
Irregular Singular,goose,trader,16.969552993774414,14.036480188369751
Irregular Plural,geese,trader,21.542719841003418,11.603276252746582
Regular Singular,swan,trader,17.775373935699463,13.624333620071411
Regular Plural,swans,trader,19.348841667175293,14.823648691177368
Irregular Singular,goose,tracker,16.969552993774414,14.091777801513672
Irregular Plural,geese,tracker,21.542719841003418,13.263274192810059
Regular Singular,swan,tracker,17.775373935699463,14.218695163726807
Regular Plural,swans,tracker,19.348841667175293,15.137215614318848
Irregular Singular,goose,expert,16.96955108642578,12.453657150268555
Irregular Plural,geese,expert,21.542720794677734,9.815522193908691
Regular Singular,swan,expert,17.77537775039673,12.243499755859375
Regular Plural,swans,expert,19.348839282989502,12.761714935302734
Irregular Singular,ox,register,12.899559020996094,12.75721549987793
Irregular Plural,oxen,register,17.293498039245605,13.194397926330566
Regular Singular,cow,register,13.525350570678711,13.024791717529297
Regular Plural,cows,register,15.467253684997559,11.180974960327148
Irregular Singular,ox,trader,12.899559020996094,13.526799201965332
Irregular Plural,oxen,trader,17.29349994659424,14.491099834442139
Regular Singular,cow,trader,13.525348663330078,12.588039875030518
Regular Plural,cows,trader,15.467255592346191,14.6024169921875
Irregular Singular,ox,tracker,12.899559020996094,16.432718753814697
Irregular Plural,oxen,tracker,17.29349994659424,15.48508071899414
Regular Singular,cow,tracker,13.525348663330078,14.810669898986816
Regular Plural,cows,tracker,15.467255592346191,15.88148307800293
Irregular Singular,ox,finder,12.899559020996094,17.914042472839355
Irregular Plural,oxen,finder,17.29349994659424,16.94857120513916
Regular Singular,cow,finder,13.525348663330078,16.640165328979492
Regular Plural,cows,finder,15.467255592346191,18.46928310394287
Irregular Singular,louse,issue,19.20869255065918,11.293744087219238
Irregular Plural,lice,issue,15.826796054840088,10.38028335571289
Regular Singular,flea,issue,22.839905738830566,10.551405906677246
Regular Plural,fleas,issue,22.42042064666748,12.011151313781738
Irregular Singular,louse,trader,19.208691596984863,13.620660066604614
Irregular Plural,lice,trader,15.82679557800293,13.441556930541992
Regular Singular,flea,trader,22.839905738830566,12.567059516906738
Regular Plural,fleas,trader,22.42041778564453,13.716556549072266
Irregular Singular,louse,tracker,19.208691596984863,15.45433235168457
Irregular Plural,lice,tracker,15.82679557800293,14.552993297576904
Regular Singular,flea,tracker,22.839905738830566,13.22454309463501
Regular Plural,fleas,tracker,22.42041778564453,14.79508352279663
Irregular Singular,louse,expert,19.20869255065918,12.133048057556152
Irregular Plural,lice,expert,15.826796054840088,11.15182113647461
Regular Singular,flea,expert,22.839905738830566,11.870179176330566
Regular Plural,fleas,expert,22.42042064666748,12.51811408996582
Irregular Singular,mouse,issue,16.66540241241455,10.705511093139648
Irregular Plural,mice,issue,16.557120323181152,9.853697776794434
Regular Singular,rat,issue,13.20993423461914,10.736984252929688
Regular Plural,rats,issue,14.261734008789062,11.586763381958008
Irregular Singular,mouse,trader,16.665403366088867,12.872653245925903
Irregular Plural,mice,trader,16.557122230529785,13.251790523529053
Regular Singular,rat,trader,13.20993423461914,13.3571035861969
Regular Plural,rats,trader,14.261733531951904,13.602558612823486
Irregular Singular,mouse,tracker,16.665403366088867,15.93691349029541
Irregular Plural,mice,tracker,16.557122230529785,15.153539180755615
Regular Singular,rat,tracker,13.20993423461914,15.449751853942871
Regular Plural,rats,tracker,14.261733531951904,14.938775062561035
Irregular Singular,mouse,inspector,16.66540241241455,11.902159690856934
Irregular Plural,mice,inspector,16.557120323181152,11.127408027648926
Regular Singular,rat,inspector,13.20993423461914,12.326417922973633
Regular Plural,rats,inspector,14.261734008789062,13.198342323303223
