Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,12.842981338500977,16.435702323913574
Irregular Plural,geese,protector,13.040727615356445,19.54186725616455
Regular Singular,swan,protector,15.682614803314209,16.34809637069702
Regular Plural,swans,protector,14.121997117996216,19.767077445983887
Irregular Singular,goose,trader,12.842981338500977,13.939698934555054
Irregular Plural,geese,trader,13.040727615356445,16.741456508636475
Regular Singular,swan,trader,15.682614803314209,14.259856462478638
Regular Plural,swans,trader,14.121997117996216,16.11640739440918
Irregular Singular,goose,tracker,12.842981338500977,19.60861110687256
Irregular Plural,geese,tracker,13.040727615356445,19.179515838623047
Regular Singular,swan,tracker,15.682614803314209,16.87419891357422
Regular Plural,swans,tracker,14.121997117996216,20.10218048095703
Irregular Singular,goose,expert,12.84298038482666,14.258012771606445
Irregular Plural,geese,expert,13.040728092193604,14.451560020446777
Regular Singular,swan,expert,15.682613372802734,12.022954940795898
Regular Plural,swans,expert,14.121994733810425,14.646833419799805
Irregular Singular,ox,register,13.557952880859375,12.199935913085938
Irregular Plural,oxen,register,14.149335861206055,14.164939880371094
Regular Singular,cow,register,11.787766456604004,14.501273155212402
Regular Plural,cows,register,12.124591827392578,12.578027725219727
Irregular Singular,ox,trader,13.557954788208008,13.642555713653564
Irregular Plural,oxen,trader,14.149338722229004,13.592738628387451
Regular Singular,cow,trader,11.787768363952637,14.606288433074951
Regular Plural,cows,trader,12.124590873718262,14.828527450561523
Irregular Singular,ox,tracker,13.557954788208008,19.71903371810913
Irregular Plural,oxen,tracker,14.149338722229004,16.802093029022217
Regular Singular,cow,tracker,11.787768363952637,15.786620140075684
Regular Plural,cows,tracker,12.124590873718262,18.51755142211914
Irregular Singular,ox,finder,13.557954788208008,20.241405487060547
Irregular Plural,oxen,finder,14.149338722229004,20.891775131225586
Regular Singular,cow,finder,11.787768363952637,21.46557903289795
Regular Plural,cows,finder,12.124590873718262,19.733194828033447
Irregular Singular,louse,issue,17.014835357666016,14.318758010864258
Irregular Plural,lice,issue,18.9991397857666,12.951047897338867
Regular Singular,flea,issue,14.260690450668335,12.198139190673828
Regular Plural,fleas,issue,18.955326080322266,12.635599136352539
Irregular Singular,louse,trader,17.014833450317383,14.955077171325684
Irregular Plural,lice,trader,18.99913787841797,15.027034997940063
Regular Singular,flea,trader,14.260690450668335,13.039056062698364
Regular Plural,fleas,trader,18.955322742462158,14.18929672241211
Irregular Singular,louse,tracker,17.014833450317383,18.567233085632324
Irregular Plural,lice,tracker,18.99913787841797,19.309027194976807
Regular Singular,flea,tracker,14.260690450668335,17.668971061706543
Regular Plural,fleas,tracker,18.955322742462158,18.294089317321777
Irregular Singular,louse,expert,17.014835357666016,13.24563980102539
Irregular Plural,lice,expert,18.9991397857666,13.705642700195312
Regular Singular,flea,expert,14.260690450668335,12.514215469360352
Regular Plural,fleas,expert,18.955326080322266,14.275749206542969
Irregular Singular,mouse,issue,12.39061164855957,13.947610855102539
Irregular Plural,mice,issue,13.994673728942871,14.805158615112305
Regular Singular,rat,issue,12.472502708435059,15.153231620788574
Regular Plural,rats,issue,13.066455841064453,15.994441986083984
Irregular Singular,mouse,trader,12.390617370605469,17.04365825653076
Irregular Plural,mice,trader,13.994672775268555,16.872076988220215
Regular Singular,rat,trader,12.472500801086426,16.09634494781494
Regular Plural,rats,trader,13.066452026367188,17.211801767349243
Irregular Singular,mouse,tracker,12.390617370605469,17.30451011657715
Irregular Plural,mice,tracker,13.994672775268555,20.779629707336426
Regular Singular,rat,tracker,12.472500801086426,17.003721237182617
Regular Plural,rats,tracker,13.066452026367188,17.46692943572998
Irregular Singular,mouse,inspector,12.39061164855957,14.993785858154297
Irregular Plural,mice,inspector,13.994673728942871,14.496245384216309
Regular Singular,rat,inspector,12.472502708435059,16.38982391357422
Regular Plural,rats,inspector,13.066455841064453,15.301813125610352
Irregular Singular,foot,issue,9.996219635009766,13.325972557067871
Irregular Plural,feet,issue,9.863430976867676,14.56788444519043
Regular Singular,leg,issue,11.777387619018555,11.840656280517578
Regular Plural,legs,issue,10.831372261047363,14.279043197631836
Irregular Singular,foot,examination,9.996219635009766,11.163025856018066
Irregular Plural,feet,examination,9.863430976867676,12.927267074584961
Regular Singular,leg,examination,11.777387619018555,13.060848236083984
Regular Plural,legs,examination,10.831372261047363,14.262680053710938
Irregular Singular,foot,expert,9.996219635009766,13.157693862915039
Irregular Plural,feet,expert,9.863430976867676,13.845739364624023
Regular Singular,leg,expert,11.777387619018555,14.200204849243164
Regular Plural,legs,expert,10.831372261047363,14.864006042480469
Irregular Singular,foot,inspector,9.996219635009766,13.692715644836426
Irregular Plural,feet,inspector,9.863430976867676,15.228475570678711
Regular Singular,leg,inspector,11.777387619018555,13.802471160888672
Regular Plural,legs,inspector,10.831372261047363,15.895334243774414
Irregular Singular,tooth,issue,13.629622459411621,14.38420295715332
Irregular Plural,teeth,issue,12.301947593688965,13.703360557556152
Regular Singular,bone,issue,11.981136322021484,11.94493293762207
Regular Plural,bones,issue,12.871894836425781,13.645042419433594
Irregular Singular,tooth,examination,13.629622459411621,14.260150909423828
Irregular Plural,teeth,examination,12.301947593688965,13.116463661193848
Regular Singular,bone,examination,11.981136322021484,12.045330047607422
Regular Plural,bones,examination,12.871894836425781,13.000211715698242
Irregular Singular,tooth,expert,13.629622459411621,11.931316375732422
