Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,21.30299949645996,13.237939834594727
Irregular Plural,geese,protector,18.215364456176758,13.12098741531372
Regular Singular,swan,protector,20.68711233139038,14.457574844360352
Regular Plural,swans,protector,21.707775592803955,14.624152183532715
Irregular Singular,goose,trader,21.30299949645996,14.600805282592773
Irregular Plural,geese,trader,18.215364456176758,12.236447811126709
Regular Singular,swan,trader,20.68711233139038,13.003503799438477
Regular Plural,swans,trader,21.707775592803955,12.919190883636475
Irregular Singular,goose,tracker,21.30299949645996,15.39104700088501
Irregular Plural,geese,tracker,18.215364456176758,14.73606014251709
Regular Singular,swan,tracker,20.68711233139038,16.13384485244751
Regular Plural,swans,tracker,21.707775592803955,16.532081604003906
Irregular Singular,goose,expert,21.30299949645996,10.413030624389648
Irregular Plural,geese,expert,18.215364456176758,12.628872871398926
Regular Singular,swan,expert,20.68711233139038,11.861583709716797
Regular Plural,swans,expert,21.707775592803955,12.682918548583984
Irregular Singular,ox,register,13.890881538391113,10.138740539550781
Irregular Plural,oxen,register,17.139989852905273,11.38739013671875
Regular Singular,cow,register,15.651406288146973,12.188566207885742
Regular Plural,cows,register,14.878010749816895,12.528724670410156
Irregular Singular,ox,trader,13.89088249206543,12.010950565338135
Irregular Plural,oxen,trader,17.139989852905273,12.263681650161743
Regular Singular,cow,trader,15.651406288146973,13.20632028579712
Regular Plural,cows,trader,14.878010749816895,14.747488975524902
Irregular Singular,ox,tracker,13.89088249206543,16.301640033721924
Irregular Plural,oxen,tracker,17.139989852905273,16.468995094299316
Regular Singular,cow,tracker,15.651406288146973,15.757907390594482
Regular Plural,cows,tracker,14.878010749816895,16.51094627380371
Irregular Singular,ox,finder,13.89088249206543,14.969406127929688
Irregular Plural,oxen,finder,17.139989852905273,17.262039184570312
Regular Singular,cow,finder,15.651406288146973,16.63958168029785
Regular Plural,cows,finder,14.878010749816895,16.798009872436523
Irregular Singular,louse,issue,19.62704372406006,12.37007999420166
Irregular Plural,lice,issue,18.234477996826172,11.780118942260742
Regular Singular,flea,issue,21.00028133392334,11.761618614196777
Regular Plural,fleas,issue,20.884498119354248,13.156320571899414
Irregular Singular,louse,trader,19.62704372406006,12.524410486221313
Irregular Plural,lice,trader,18.234477996826172,13.039800643920898
Regular Singular,flea,trader,21.00028085708618,12.922840118408203
Regular Plural,fleas,trader,20.884496212005615,12.057867288589478
Irregular Singular,louse,tracker,19.62704372406006,16.189778804779053
Irregular Plural,lice,tracker,18.234477996826172,15.304975509643555
Regular Singular,flea,tracker,21.00028085708618,16.497089862823486
Regular Plural,fleas,tracker,20.884496212005615,16.82162094116211
Irregular Singular,louse,expert,19.62704372406006,11.141712188720703
Irregular Plural,lice,expert,18.234477996826172,11.642576217651367
Regular Singular,flea,expert,21.00028133392334,12.825789451599121
Regular Plural,fleas,expert,20.884498119354248,11.999490737915039
Irregular Singular,mouse,issue,21.76668357849121,12.48050308227539
Irregular Plural,mice,issue,18.847389221191406,11.754840850830078
Regular Singular,rat,issue,12.980725288391113,12.595189094543457
Regular Plural,rats,issue,15.1109619140625,12.307291030883789
Irregular Singular,mouse,trader,21.76668357849121,12.811022758483887
Irregular Plural,mice,trader,18.847389221191406,13.455993175506592
Regular Singular,rat,trader,12.980725288391113,13.030241012573242
Regular Plural,rats,trader,15.1109619140625,14.47811222076416
Irregular Singular,mouse,tracker,21.76668357849121,16.316938400268555
Irregular Plural,mice,tracker,18.847389221191406,15.271860122680664
Regular Singular,rat,tracker,12.980725288391113,17.177398681640625
Regular Plural,rats,tracker,15.1109619140625,16.959816932678223
Irregular Singular,mouse,inspector,21.76668357849121,10.60326862335205
Irregular Plural,mice,inspector,18.847389221191406,10.277702569961548
Regular Singular,rat,inspector,12.980725288391113,10.737308979034424
Regular Plural,rats,inspector,15.1109619140625,12.359202861785889
Irregular Singular,foot,issue,13.354602813720703,12.336112976074219
Irregular Plural,feet,issue,18.43812656402588,12.410541534423828
Regular Singular,leg,issue,19.33974838256836,10.570894241333008
Regular Plural,legs,issue,19.919991493225098,12.570945739746094
Irregular Singular,foot,examination,13.354602813720703,11.459364414215088
Irregular Plural,feet,examination,18.43812656402588,11.6358060836792
Regular Singular,leg,examination,19.33974838256836,8.825412511825562
Regular Plural,legs,examination,19.919991493225098,13.5997474193573
Irregular Singular,foot,expert,13.354602813720703,12.049816131591797
Irregular Plural,feet,expert,18.43812656402588,12.007587432861328
Regular Singular,leg,expert,19.33974838256836,11.322480201721191
Regular Plural,legs,expert,19.919991493225098,13.534774780273438
Irregular Singular,foot,inspector,13.354602813720703,11.721226930618286
Irregular Plural,feet,inspector,18.43812656402588,11.647545337677002
Regular Singular,leg,inspector,19.33974838256836,11.326856851577759
Regular Plural,legs,inspector,19.919991493225098,12.14582896232605
Irregular Singular,tooth,issue,20.76516628265381,12.915482521057129
Irregular Plural,teeth,issue,19.124391555786133,11.948302268981934
Regular Singular,bone,issue,15.420835494995117,12.022821426391602
Regular Plural,bones,issue,15.581230163574219,12.945237159729004
Irregular Singular,tooth,examination,20.76516628265381,12.431938409805298
Irregular Plural,teeth,examination,19.124391555786133,11.121351838111877
Regular Singular,bone,examination,15.420835494995117,11.95710039138794
Regular Plural,bones,examination,15.581230163574219,14.308128833770752
Irregular Singular,tooth,expert,20.76516628265381,12.481239318847656
Irregular Plural,teeth,expert,19.124391555786133,10.334671974182129
Regular Singular,bone,expert,15.420835494995117,11.80597972869873
Regular Plural,bones,expert,15.581230163574219,13.300480842590332
Irregular Singular,tooth,protector,20.76516628265381,14.331354141235352
Irregular Plural,teeth,protector,19.124391555786133,12.912868976593018
Regular Singular,bone,protector,15.420835494995117,15.407735824584961
Regular Plural,bones,protector,15.581230163574219,15.638688564300537
Irregular Singular,child,patrol,15.447325706481934,11.809880495071411
Irregular Plural,children,patrol,17.215892791748047,13.4906325340271
Regular Singular,adult,patrol,22.07962989807129,11.847013473510742
Regular Plural,adults,patrol,24.963221073150635,12.628943920135498
Irregular Singular,child,register,15.447325706481934,14.82028579711914
Irregular Plural,children,register,17.215892791748047,13.180276870727539
Regular Singular,adult,register,22.07962989807129,13.00080680847168
Regular Plural,adults,register,24.96321964263916,11.81037712097168
Irregular Singular,child,institute,15.447325706481934,11.010408401489258
Irregular Plural,children,institute,17.215892791748047,10.715524673461914
Regular Singular,adult,institute,22.07962989807129,8.345048904418945
Regular Plural,adults,institute,24.96321964263916,11.534454345703125
Irregular Singular,child,crew,15.447325706481934,10.814899444580078
Irregular Plural,children,crew,17.215892791748047,11.720491409301758
Regular Singular,adult,crew,22.07962989807129,12.179582595825195
Regular Plural,adults,crew,24.96321964263916,12.70527458190918
Irregular Singular,woman,protector,14.116277694702148,15.189275741577148
Irregular Plural,women,protector,13.849398612976074,15.055683135986328
Regular Singular,girl,protector,16.78241539001465,14.778839111328125
Regular Plural,girls,protector,18.329406023025513,14.743298530578613
Irregular Singular,woman,register,14.116277694702148,14.802680015563965
Irregular Plural,women,register,13.849398612976074,11.795103073120117
Regular Singular,girl,register,16.78241539001465,14.823659896850586
Regular Plural,girls,register,18.329406023025513,11.78252124786377
Irregular Singular,woman,hangout,14.116277694702148,15.58975601196289
Irregular Plural,women,hangout,13.849398612976074,16.967127799987793
Regular Singular,girl,hangout,16.78241539001465,16.35459041595459
Regular Plural,girls,hangout,18.329406023025513,16.21928310394287
Irregular Singular,woman,crew,14.116277694702148,10.724604606628418
Irregular Plural,women,crew,13.849398612976074,11.065601348876953
Regular Singular,girl,crew,16.78241539001465,9.966389656066895
Regular Plural,girls,crew,18.329406023025513,11.903718948364258
Irregular Singular,man,institute,9.718871116638184,10.012320518493652
Irregular Plural,men,institute,13.3997163772583,10.105364799499512
Regular Singular,boy,institute,15.603410720825195,12.609954833984375
Regular Plural,boys,institute,14.513702154159546,10.779322624206543
Irregular Singular,man,register,9.718871116638184,12.789909362792969
Irregular Plural,men,register,13.3997163772583,11.642783164978027
Regular Singular,boy,register,15.603410720825195,16.044082641601562
