Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,21.087496757507324,14.884543418884277
Irregular Plural,geese,protector,24.292633056640625,14.608025550842285
Regular Singular,swan,protector,20.50202178955078,14.878263473510742
Regular Plural,swans,protector,21.96025323867798,14.905012130737305
Irregular Singular,goose,trader,21.087496757507324,13.503966331481934
Irregular Plural,geese,trader,24.292633056640625,13.145853996276855
Regular Singular,swan,trader,20.50202178955078,13.16702651977539
Regular Plural,swans,trader,21.96025323867798,14.410100936889648
Irregular Singular,goose,tracker,21.087496757507324,15.203475952148438
Irregular Plural,geese,tracker,24.292633056640625,15.63187551498413
Regular Singular,swan,tracker,20.50202178955078,16.074726104736328
Regular Plural,swans,tracker,21.96025323867798,16.342164039611816
Irregular Singular,goose,expert,21.087496757507324,11.451818466186523
Irregular Plural,geese,expert,24.292633056640625,12.278303623199463
Regular Singular,swan,expert,20.50202178955078,13.326694011688232
Regular Plural,swans,expert,21.96025323867798,14.871165990829468
Irregular Singular,ox,register,16.94086265563965,10.23790431022644
Irregular Plural,oxen,register,23.597617149353027,10.89441466331482
Regular Singular,cow,register,19.748400688171387,10.858273983001709
Regular Plural,cows,register,19.085294723510742,11.363034725189209
Irregular Singular,ox,trader,16.94086265563965,12.262695789337158
Irregular Plural,oxen,trader,23.597617149353027,12.649399757385254
Regular Singular,cow,trader,19.748400688171387,14.969867706298828
Regular Plural,cows,trader,19.085294723510742,15.690516471862793
Irregular Singular,ox,tracker,16.94086265563965,16.33754539489746
Irregular Plural,oxen,tracker,23.597617149353027,16.1529483795166
Regular Singular,cow,tracker,19.748400688171387,15.274299144744873
Regular Plural,cows,tracker,19.085294723510742,15.71618938446045
Irregular Singular,ox,finder,16.94086265563965,14.251903533935547
Irregular Plural,oxen,finder,23.597617149353027,14.029913902282715
Regular Singular,cow,finder,19.748400688171387,14.650150299072266
Regular Plural,cows,finder,19.085294723510742,14.309593200683594
Irregular Singular,louse,issue,19.295581817626953,11.438180923461914
Irregular Plural,lice,issue,17.414342880249023,10.984621047973633
Regular Singular,flea,issue,20.81975507736206,12.31423568725586
Regular Plural,fleas,issue,21.569482803344727,12.7638578414917
Irregular Singular,louse,trader,19.295581817626953,14.43052864074707
Irregular Plural,lice,trader,17.414342880249023,14.908583641052246
Regular Singular,flea,trader,20.81975507736206,13.076906204223633
Regular Plural,fleas,trader,21.569482803344727,14.236090183258057
