Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,26.026371955871582,16.37568473815918
Irregular Plural,geese,protector,26.90767478942871,16.94648838043213
Regular Singular,swan,protector,25.905144691467285,17.180530548095703
Regular Plural,swans,protector,17.849310159683228,18.792919158935547
Irregular Singular,goose,trader,26.026371955871582,13.732950687408447
Irregular Plural,geese,trader,26.90767478942871,16.884345054626465
Regular Singular,swan,trader,25.905144691467285,18.376264572143555
Regular Plural,swans,trader,17.849310159683228,18.698511123657227
Irregular Singular,goose,tracker,26.026371955871582,13.80874228477478
Irregular Plural,geese,tracker,26.90767478942871,12.448509216308594
Regular Singular,swan,tracker,25.905144691467285,17.43103265762329
Regular Plural,swans,tracker,17.849310159683228,18.290038108825684
Irregular Singular,goose,expert,26.026371955871582,13.039466857910156
Irregular Plural,geese,expert,26.90767478942871,11.792801856994629
Regular Singular,swan,expert,25.905144691467285,11.18968391418457
Regular Plural,swans,expert,17.849310159683228,13.85179615020752
Irregular Singular,ox,register,20.55064582824707,10.840190887451172
Irregular Plural,oxen,register,27.362323760986328,13.65093994140625
Regular Singular,cow,register,18.215694427490234,13.560673713684082
Regular Plural,cows,register,20.03390073776245,13.17864990234375
Irregular Singular,ox,trader,20.550642013549805,15.559313774108887
Irregular Plural,oxen,trader,27.362323760986328,15.670481204986572
Regular Singular,cow,trader,18.21569061279297,17.89345932006836
Regular Plural,cows,trader,20.03390073776245,15.89767074584961
Irregular Singular,ox,tracker,20.550642013549805,18.590641975402832
Irregular Plural,oxen,tracker,27.362323760986328,15.468583106994629
Regular Singular,cow,tracker,18.21569061279297,18.704291820526123
Regular Plural,cows,tracker,20.03390073776245,16.7195143699646
Irregular Singular,ox,finder,20.550642013549805,17.31673812866211
Irregular Plural,oxen,finder,27.362323760986328,18.265324592590332
Regular Singular,cow,finder,18.21569061279297,18.83001136779785
Regular Plural,cows,finder,20.03390073776245,20.95142936706543
