Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,17.15885019302368,12.06442642211914
Irregular Plural,geese,protector,18.452438354492188,11.475896835327148
Regular Singular,swan,protector,17.563109874725342,11.694869995117188
Regular Plural,swans,protector,18.32137680053711,13.08130931854248
Irregular Singular,goose,trader,17.15885019302368,11.658565521240234
Irregular Plural,geese,trader,18.452438354492188,14.85062026977539
Regular Singular,swan,trader,17.563109874725342,11.139013290405273
Regular Plural,swans,trader,18.32137680053711,12.965936660766602
Irregular Singular,goose,tracker,17.15885019302368,12.07792854309082
Irregular Plural,geese,tracker,18.452438354492188,11.087034225463867
Regular Singular,swan,tracker,17.563109874725342,11.284225463867188
Regular Plural,swans,tracker,18.32137680053711,14.032600402832031
Irregular Singular,goose,expert,17.15885019302368,10.656856536865234
Irregular Plural,geese,expert,18.452438354492188,9.49859619140625
Regular Singular,swan,expert,17.563109874725342,10.87794303894043
Regular Plural,swans,expert,18.32137680053711,10.579296112060547
Irregular Singular,ox,register,12.349894523620605,10.984491348266602
Irregular Plural,oxen,register,17.73813533782959,12.22273063659668
Regular Singular,cow,register,15.680887222290039,12.1156587600708
Regular Plural,cows,register,16.005475997924805,11.028216361999512
Irregular Singular,ox,trader,12.349894523620605,11.619704246520996
Irregular Plural,oxen,trader,17.73813533782959,13.221758842468262
Regular Singular,cow,trader,15.680887222290039,11.67051887512207
Regular Plural,cows,trader,16.005475997924805,13.738070487976074
Irregular Singular,ox,tracker,12.349894523620605,11.287397384643555
Irregular Plural,oxen,tracker,17.73813533782959,12.92095947265625
Regular Singular,cow,tracker,15.680887222290039,11.874518394470215
Regular Plural,cows,tracker,16.005475997924805,16.286537170410156
Irregular Singular,ox,finder,12.349896430969238,13.745252132415771
Irregular Plural,oxen,finder,17.738136768341064,13.33543586730957
Regular Singular,cow,finder,15.680888175964355,11.573837757110596
Regular Plural,cows,finder,16.005475521087646,14.820533752441406
Irregular Singular,louse,issue,18.928166389465332,9.610754013061523
Irregular Plural,lice,issue,15.70238208770752,10.915934562683105
Regular Singular,flea,issue,16.804088592529297,8.260584831237793
Regular Plural,fleas,issue,18.633975982666016,9.640768051147461
Irregular Singular,louse,trader,18.928166389465332,11.97142505645752
Irregular Plural,lice,trader,15.70238208770752,12.81564998626709
Regular Singular,flea,trader,16.804088592529297,10.333399772644043
Regular Plural,fleas,trader,18.633975982666016,13.10057544708252
Irregular Singular,louse,tracker,18.928166389465332,11.873037338256836
Irregular Plural,lice,tracker,15.70238208770752,13.02306079864502
Regular Singular,flea,tracker,16.804088592529297,10.684073448181152
Regular Plural,fleas,tracker,18.633975982666016,12.274835586547852
Irregular Singular,louse,expert,18.928166389465332,8.961504936218262
Irregular Plural,lice,expert,15.70238208770752,11.058552742004395
Regular Singular,flea,expert,16.804088592529297,7.4299092292785645
Regular Plural,fleas,expert,18.633975982666016,7.995664596557617
Irregular Singular,mouse,issue,14.404982566833496,10.172062873840332
Irregular Plural,mice,issue,15.724761486053467,12.29991340637207
Regular Singular,rat,issue,13.850379943847656,8.558534622192383
Regular Plural,rats,issue,14.942806243896484,11.400579452514648
Irregular Singular,mouse,trader,14.404982566833496,11.77188491821289
Irregular Plural,mice,trader,15.724761486053467,12.335912704467773
Regular Singular,rat,trader,13.850379943847656,12.24150562286377
Regular Plural,rats,trader,14.942806243896484,13.151512145996094
Irregular Singular,mouse,tracker,14.404982566833496,9.079117774963379
Irregular Plural,mice,tracker,15.724761486053467,10.918725967407227
Regular Singular,rat,tracker,13.850379943847656,14.52170467376709
Regular Plural,rats,tracker,14.942806243896484,14.982963562011719
Irregular Singular,mouse,inspector,14.404982566833496,11.914972305297852
Irregular Plural,mice,inspector,15.724761486053467,12.981782913208008
Regular Singular,rat,inspector,13.850379943847656,12.225223541259766
Regular Plural,rats,inspector,14.942806243896484,13.473804473876953
Irregular Singular,foot,issue,13.906057357788086,9.71992301940918
Irregular Plural,feet,issue,15.27584457397461,11.18760871887207
Regular Singular,leg,issue,14.403204917907715,9.07044506072998
Regular Plural,legs,issue,16.48916482925415,9.989810943603516
Irregular Singular,foot,examination,13.906057357788086,8.88611125946045
Irregular Plural,feet,examination,15.27584457397461,11.280867576599121
Regular Singular,leg,examination,14.403204917907715,10.303215980529785
Regular Plural,legs,examination,16.48916482925415,12.154508590698242
Irregular Singular,foot,expert,13.906057357788086,11.041884422302246
Irregular Plural,feet,expert,15.27584457397461,11.160205841064453
Regular Singular,leg,expert,14.403204917907715,11.687029838562012
Regular Plural,legs,expert,16.48916482925415,11.306764602661133
Irregular Singular,foot,inspector,13.906057357788086,10.641449928283691
Irregular Plural,feet,inspector,15.27584457397461,12.425389289855957
Regular Singular,leg,inspector,14.403204917907715,10.763497352600098
Regular Plural,legs,inspector,16.48916482925415,14.659566879272461
Irregular Singular,tooth,issue,15.731135845184326,10.292882919311523
Irregular Plural,teeth,issue,16.869361877441406,10.064733505249023
Regular Singular,bone,issue,13.9552001953125,9.279529571533203
Regular Plural,bones,issue,15.386676788330078,9.835404396057129
Irregular Singular,tooth,examination,15.731135845184326,11.674924850463867
