Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,15.182443618774414,10.05437183380127
Irregular Singular,goose,trader,12.176346778869629,12.516052722930908
Irregular Singular,goose,tracker,14.119705200195312,17.492487907409668
Irregular Singular,goose,expert,15.25562858581543,14.892617225646973
Irregular Plural,geese,protector,6.045173645019531,13.118920803070068
Irregular Plural,geese,trader,4.187997817993164,11.418394088745117
Irregular Plural,geese,tracker,3.47959041595459,13.189671039581299
Irregular Plural,geese,expert,7.147319793701172,13.247098922729492
Regular Singular,swan,protector,9.76194715499878,12.177062034606934
Regular Singular,swan,trader,9.418111801147461,10.666207790374756
Regular Singular,swan,tracker,9.788671016693115,12.898821353912354
Regular Singular,swan,expert,10.84957218170166,13.237971305847168
Regular Plural,swans,protector,10.329861640930176,13.414488792419434
Regular Plural,swans,trader,10.239690780639648,12.678002834320068
Regular Plural,swans,tracker,13.420619010925293,13.170092582702637
Regular Plural,swans,expert,12.303383827209473,13.782478332519531
Irregular Singular,ox,register,15.569694519042969,15.511578559875488
Irregular Singular,ox,trader,10.765104293823242,14.049065113067627
Irregular Singular,ox,tracker,11.544770240783691,18.1432204246521
Irregular Singular,ox,finder,12.665810585021973,18.735031127929688
Irregular Plural,oxen,register,12.24646282196045,16.346189498901367
Irregular Plural,oxen,trader,5.968923568725586,12.722898006439209
Irregular Plural,oxen,tracker,9.666276931762695,13.896207332611084
Irregular Plural,oxen,finder,10.437613010406494,18.582788467407227
Regular Singular,cow,register,15.619392395019531,15.82646656036377
Regular Singular,cow,trader,7.507467746734619,9.908466339111328
Regular Singular,cow,tracker,10.557178497314453,17.2618465423584
Regular Singular,cow,finder,12.643522262573242,15.178701877593994
Regular Plural,cows,register,15.164224624633789,13.822890281677246
Regular Plural,cows,trader,13.2952880859375,11.139997482299805
Regular Plural,cows,tracker,15.353170394897461,15.620070934295654
Regular Plural,cows,finder,16.394947052001953,17.54687786102295
Irregular Singular,louse,issue,14.805577754974365,13.72954273223877
Irregular Singular,louse,trader,13.883108139038086,9.933231353759766
Irregular Singular,louse,tracker,12.748144149780273,14.798374652862549
Irregular Singular,louse,expert,14.982818603515625,12.930431365966797
Irregular Plural,lice,issue,15.164152145385742,13.449755668640137
Irregular Plural,lice,trader,10.973104476928711,10.552082538604736
Irregular Plural,lice,tracker,15.556982040405273,15.18461799621582
Irregular Plural,lice,expert,12.994099617004395,12.705747604370117
Regular Singular,flea,issue,11.811141014099121,12.958928108215332
Regular Singular,flea,trader,4.619968414306641,6.8591508865356445
Regular Singular,flea,tracker,5.840906143188477,12.368496894836426
Regular Singular,flea,expert,9.789323806762695,13.979907035827637
Regular Plural,fleas,issue,11.540858268737793,13.285452842712402
Regular Plural,fleas,trader,9.629557609558105,12.27287769317627
Regular Plural,fleas,tracker,10.54198408126831,16.04673671722412
Regular Plural,fleas,expert,11.980006217956543,13.411481857299805
Irregular Singular,mouse,issue,14.550914764404297,17.3040771484375
Irregular Singular,mouse,trader,10.370817184448242,8.573532104492188
Irregular Singular,mouse,tracker,9.855169296264648,13.284879684448242
Irregular Singular,mouse,inspector,13.365716934204102,9.363892555236816
Irregular Plural,mice,issue,12.489079475402832,13.726329803466797
Irregular Plural,mice,trader,7.74033260345459,10.669792175292969
Irregular Plural,mice,tracker,10.747978687286377,13.445250034332275
Irregular Plural,mice,inspector,12.417854309082031,9.014070987701416
Regular Singular,rat,issue,12.60307788848877,14.706167221069336
Regular Singular,rat,trader,9.131279945373535,10.000228881835938
Regular Singular,rat,tracker,9.238678932189941,15.166059970855713
Regular Singular,rat,inspector,12.214709281921387,10.255393981933594
Regular Plural,rats,issue,11.270709991455078,14.713397979736328
Regular Plural,rats,trader,8.1900634765625,11.790370464324951
Regular Plural,rats,tracker,9.371879577636719,12.500821113586426
Regular Plural,rats,inspector,10.167340278625488,7.884788513183594
Irregular Singular,foot,issue,11.8591947555542,15.109219551086426
Irregular Singular,foot,examination,10.766617774963379,4.249331951141357
Irregular Singular,foot,expert,11.268336296081543,15.658747673034668
Irregular Singular,foot,inspector,10.159292221069336,6.141427993774414
Irregular Plural,feet,issue,13.930646896362305,18.432252883911133
Irregular Plural,feet,examination,14.096116065979004,6.490704536437988
Irregular Plural,feet,expert,12.80276107788086,16.766366958618164
Irregular Plural,feet,inspector,13.19156551361084,11.213607788085938
Regular Singular,leg,issue,13.440086364746094,11.339508056640625
Regular Singular,leg,examination,11.101021766662598,5.30428409576416
Regular Singular,leg,expert,12.008343696594238,12.39681339263916
Regular Singular,leg,inspector,11.293363571166992,9.673005104064941
Regular Plural,legs,issue,15.323543548583984,16.2069091796875
Regular Plural,legs,examination,12.863014221191406,7.418288230895996
Regular Plural,legs,expert,14.313411712646484,14.997091293334961
Regular Plural,legs,inspector,12.892213821411133,12.124828338623047
Irregular Singular,tooth,issue,13.502613067626953,15.084300994873047
Irregular Singular,tooth,examination,11.766035079956055,2.841141700744629
Irregular Singular,tooth,expert,11.757616996765137,14.225679397583008
Irregular Singular,tooth,protector,9.946552276611328,12.165863513946533
Irregular Plural,teeth,issue,14.179511070251465,16.813344955444336
Irregular Plural,teeth,examination,12.385335922241211,4.8831024169921875
Irregular Plural,teeth,expert,10.753756523132324,14.199540138244629
Irregular Plural,teeth,protector,12.441059112548828,11.711230754852295
Regular Singular,bone,issue,11.680487632751465,16.189943313598633
Regular Singular,bone,examination,10.175719261169434,3.028200149536133
Regular Singular,bone,expert,12.088568687438965,17.355451583862305
Regular Singular,bone,protector,11.346344947814941,8.982577800750732
Regular Plural,bones,issue,12.918724060058594,13.70999526977539
Regular Plural,bones,examination,14.50777816772461,3.5128660202026367
Regular Plural,bones,expert,14.964788436889648,15.529132843017578
