Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,12.035701751708984,14.356842994689941
Irregular Singular,goose,trader,12.035701751708984,13.573750495910645
Irregular Singular,goose,tracker,12.035701751708984,17.313426971435547
Irregular Singular,goose,expert,12.0357027053833,13.415066719055176
Irregular Plural,geese,protector,14.102131843566895,16.426504611968994
Irregular Plural,geese,trader,14.102131843566895,10.928742408752441
Irregular Plural,geese,tracker,14.102131843566895,15.100210666656494
Irregular Plural,geese,expert,14.102131843566895,10.342337608337402
Regular Singular,swan,protector,13.001348495483398,11.866918563842773
Regular Singular,swan,trader,13.001348495483398,12.35406494140625
Regular Singular,swan,tracker,13.001348495483398,16.673670768737793
Regular Singular,swan,expert,13.001346588134766,15.518129348754883
Regular Plural,swans,protector,14.026016235351562,16.723363399505615
Regular Plural,swans,trader,14.026016235351562,13.06554889678955
Regular Plural,swans,tracker,14.026016235351562,14.796074867248535
Regular Plural,swans,expert,14.026016235351562,14.34350299835205
Irregular Singular,ox,register,11.901525497436523,15.667242050170898
Irregular Singular,ox,trader,11.901525497436523,11.407471656799316
Irregular Singular,ox,tracker,11.901525497436523,16.28832721710205
Irregular Singular,ox,finder,11.901525497436523,13.832303524017334
Irregular Plural,oxen,register,14.847546577453613,11.799822807312012
Irregular Plural,oxen,trader,14.847546577453613,14.963589668273926
Irregular Plural,oxen,tracker,14.847546577453613,16.895828247070312
Irregular Plural,oxen,finder,14.847546577453613,15.992444515228271
Regular Singular,cow,register,11.471901893615723,20.288429260253906
Regular Singular,cow,trader,11.471900939941406,14.173474311828613
Regular Singular,cow,tracker,11.471900939941406,16.136571407318115
Regular Singular,cow,finder,11.471900939941406,13.923788070678711
Regular Plural,cows,register,12.959644317626953,14.462822914123535
Regular Plural,cows,trader,12.959644317626953,13.451947212219238
Regular Plural,cows,tracker,12.959644317626953,16.558300495147705
Regular Plural,cows,finder,12.959644317626953,17.71925449371338
Irregular Singular,louse,issue,14.682445526123047,9.83322525024414
Irregular Singular,louse,trader,14.682445526123047,13.564688682556152
Irregular Singular,louse,tracker,14.682445526123047,16.17857074737549
Irregular Singular,louse,expert,14.682445526123047,13.764291763305664
Irregular Plural,lice,issue,14.003291130065918,11.16340446472168
Irregular Plural,lice,trader,14.003291130065918,10.152295112609863
Irregular Plural,lice,tracker,14.003291130065918,15.882304191589355
Irregular Plural,lice,expert,14.003291130065918,15.031439781188965
Regular Singular,flea,issue,15.080887794494629,15.595418930053711
Regular Singular,flea,trader,15.080887794494629,12.6560697555542
Regular Singular,flea,tracker,15.080887794494629,15.559303283691406
Regular Singular,flea,expert,15.080887794494629,15.890423774719238
Regular Plural,fleas,issue,14.813152313232422,13.852428436279297
Regular Plural,fleas,trader,14.813152313232422,14.718698501586914
Regular Plural,fleas,tracker,14.813152313232422,15.765999794006348
