Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,20.239455223083496,15.245355129241943
Irregular Singular,goose,trader,20.239455223083496,13.672523260116577
Irregular Singular,goose,tracker,20.239455223083496,14.029566764831543
Irregular Singular,goose,expert,20.239455223083496,12.019065856933594
Irregular Plural,geese,protector,20.210139274597168,14.120251655578613
Irregular Plural,geese,trader,20.210139274597168,12.471015691757202
Irregular Plural,geese,tracker,20.210139274597168,15.081239700317383
Irregular Plural,geese,expert,20.210139274597168,12.46110725402832
Regular Singular,swan,protector,20.1867618560791,16.887925148010254
Regular Singular,swan,trader,20.1867618560791,15.089598417282104
Regular Singular,swan,tracker,20.1867618560791,14.912837028503418
Regular Singular,swan,expert,20.1867618560791,13.849014282226562
Regular Plural,swans,protector,18.063531398773193,17.481501579284668
Regular Plural,swans,trader,18.063531398773193,14.010822296142578
Regular Plural,swans,tracker,18.063531398773193,14.243305683135986
Regular Plural,swans,expert,18.063531398773193,12.230024337768555
Irregular Singular,ox,register,16.175622940063477,13.274446487426758
Irregular Singular,ox,trader,16.175630569458008,14.220866680145264
Irregular Singular,ox,tracker,16.175630569458008,13.970396518707275
Irregular Singular,ox,finder,16.175630569458008,15.323792934417725
Irregular Plural,oxen,register,21.772544384002686,12.483094215393066
Irregular Plural,oxen,trader,21.772544384002686,12.760786294937134
Irregular Plural,oxen,tracker,21.772544384002686,13.000520706176758
Irregular Plural,oxen,finder,21.772544384002686,14.119322299957275
Regular Singular,cow,register,12.996916770935059,12.39626693725586
Regular Singular,cow,trader,12.99689769744873,13.874416589736938
Regular Singular,cow,tracker,12.99689769744873,15.221398830413818
Regular Singular,cow,finder,12.99689769744873,15.493927955627441
Regular Plural,cows,register,16.27591323852539,12.839229583740234
Regular Plural,cows,trader,16.27591323852539,14.234130859375
Regular Plural,cows,tracker,16.27591323852539,15.680327892303467
Regular Plural,cows,finder,16.27591323852539,17.664267539978027
Irregular Singular,louse,issue,15.186264038085938,11.093650817871094
Irregular Singular,louse,trader,15.186264038085938,13.5733962059021
Irregular Singular,louse,tracker,15.186264038085938,14.17628002166748
Irregular Singular,louse,expert,15.186264038085938,12.329988479614258
Irregular Plural,lice,issue,15.326460838317871,10.925189018249512
Irregular Plural,lice,trader,15.326460838317871,13.473884582519531
Irregular Plural,lice,tracker,15.326460838317871,14.410460948944092
Irregular Plural,lice,expert,15.326460838317871,11.51142406463623
Regular Singular,flea,issue,21.488489151000977,12.710350036621094
Regular Singular,flea,trader,21.488489151000977,14.010071754455566
Regular Singular,flea,tracker,21.488489151000977,13.428694486618042
Regular Singular,flea,expert,21.488489151000977,12.205047607421875
Regular Plural,fleas,issue,22.112234115600586,12.30948257446289
Regular Plural,fleas,trader,22.112234115600586,13.936019897460938
Regular Plural,fleas,tracker,22.112234115600586,14.160941123962402
Regular Plural,fleas,expert,22.112234115600586,12.03620719909668
Irregular Singular,mouse,issue,17.25596809387207,11.117159843444824
Irregular Singular,mouse,trader,17.25596809387207,13.714300036430359
Irregular Singular,mouse,tracker,17.25596809387207,13.569357872009277
Irregular Singular,mouse,inspector,17.25596809387207,12.801817417144775
Irregular Plural,mice,issue,20.052966117858887,11.271665573120117
Irregular Plural,mice,trader,20.052966117858887,13.830039501190186
Irregular Plural,mice,tracker,20.052966117858887,14.195304870605469
Irregular Plural,mice,inspector,20.052966117858887,13.502628087997437
Regular Singular,rat,issue,11.664012908935547,11.454429626464844
Regular Singular,rat,trader,11.664002418518066,13.901115417480469
Regular Singular,rat,tracker,11.664002418518066,14.39071798324585
Regular Singular,rat,inspector,11.664002418518066,12.38559341430664
Regular Plural,rats,issue,16.39108180999756,11.781357765197754
Regular Plural,rats,trader,16.39108180999756,14.627721309661865
Regular Plural,rats,tracker,16.39108180999756,14.880678176879883
Regular Plural,rats,inspector,16.39108180999756,13.588131189346313
Irregular Singular,foot,issue,13.41248893737793,11.61363697052002
Irregular Singular,foot,examination,13.41248893737793,12.231348037719727
Irregular Singular,foot,expert,13.41248893737793,11.761707305908203
Irregular Singular,foot,inspector,13.412483215332031,13.597404479980469
Irregular Plural,feet,issue,14.323306560516357,11.145479202270508
Irregular Plural,feet,examination,14.323306560516357,12.208219528198242
Irregular Plural,feet,expert,14.323306560516357,10.96649169921875
Irregular Plural,feet,inspector,14.323306560516357,12.682324886322021
Regular Singular,leg,issue,13.336725234985352,11.628836631774902
Regular Singular,leg,examination,13.336725234985352,10.232091903686523
Regular Singular,leg,expert,13.336725234985352,12.633155822753906
Regular Singular,leg,inspector,13.336742401123047,12.050823211669922
Regular Plural,legs,issue,14.191903114318848,11.908228874206543
Regular Plural,legs,examination,14.191903114318848,13.530375480651855
Regular Plural,legs,expert,14.191903114318848,12.984940528869629
Regular Plural,legs,inspector,14.191903114318848,14.888882637023926
Irregular Singular,tooth,issue,15.289942741394043,10.805705070495605
Irregular Singular,tooth,examination,15.289942741394043,11.333349227905273
Irregular Singular,tooth,expert,15.289942741394043,11.643661499023438
Irregular Singular,tooth,protector,15.289942741394043,13.6538827419281
Irregular Plural,teeth,issue,15.999881744384766,11.486490249633789
Irregular Plural,teeth,examination,15.999881744384766,12.67177677154541
Irregular Plural,teeth,expert,15.999881744384766,12.466025352478027
Irregular Plural,teeth,protector,15.999881744384766,14.987098693847656
Regular Singular,bone,issue,12.799434661865234,10.81319808959961
Regular Singular,bone,examination,12.799434661865234,12.13720703125
Regular Singular,bone,expert,12.799434661865234,12.62668228149414
Regular Singular,bone,protector,12.799402236938477,14.116780757904053
Regular Plural,bones,issue,15.057326793670654,12.102592468261719
Regular Plural,bones,examination,15.057326793670654,13.962096214294434
Regular Plural,bones,expert,15.057326793670654,12.588967323303223
Regular Plural,bones,protector,15.057326793670654,17.63530445098877
Irregular Singular,child,patrol,10.330652236938477,12.771564483642578
Irregular Singular,child,register,10.330652236938477,12.961898803710938
Irregular Singular,child,committee,10.330652236938477,11.780815124511719
Irregular Singular,child,brigade,10.330660820007324,13.766385078430176
Irregular Plural,children,patrol,9.498042106628418,12.553828239440918
Irregular Plural,children,register,9.498042106628418,11.35092544555664
Irregular Plural,children,committee,9.498042106628418,11.670536041259766
Irregular Plural,children,brigade,9.49802303314209,16.01938009262085
Regular Singular,adult,patrol,18.087782859802246,10.651117324829102
Regular Singular,adult,register,18.087782859802246,11.975346565246582
Regular Singular,adult,committee,18.087782859802246,10.036698341369629
Regular Singular,adult,brigade,18.087782859802246,11.869397401809692
Regular Plural,adults,patrol,19.131343841552734,11.708431243896484
Regular Plural,adults,register,19.131343841552734,11.480684280395508
Regular Plural,adults,committee,19.131343841552734,11.965375900268555
Regular Plural,adults,brigade,19.131343841552734,13.475138664245605
Irregular Singular,woman,protector,13.021100044250488,15.08842945098877
Irregular Singular,woman,register,13.021106719970703,12.033477783203125
Irregular Singular,woman,hangout,13.021100044250488,17.356513500213623
Irregular Singular,woman,brigade,13.021100044250488,13.121763944625854
Irregular Plural,women,protector,13.729133129119873,17.72100830078125
Irregular Plural,women,register,13.729133129119873,10.66501235961914
Irregular Plural,women,hangout,13.729133129119873,17.26173686981201
Irregular Plural,women,brigade,13.729133129119873,15.164963722229004
Regular Singular,girl,protector,12.432883262634277,14.073683738708496
Regular Singular,girl,register,12.43289852142334,11.404370307922363
Regular Singular,girl,hangout,12.432883262634277,17.007096767425537
Regular Singular,girl,brigade,12.432883262634277,13.96178150177002
Regular Plural,girls,protector,13.374182105064392,18.1301851272583
Regular Plural,girls,register,13.374182105064392,10.852898597717285
Regular Plural,girls,hangout,13.374182105064392,17.473214149475098
Regular Plural,girls,brigade,13.374182105064392,14.639509439468384
Irregular Singular,man,committee,10.415497779846191,10.816981315612793
Irregular Singular,man,register,10.415497779846191,12.138957977294922
Irregular Singular,man,finder,10.41549301147461,15.202082633972168
Irregular Singular,man,hangout,10.41549301147461,18.067395210266113
Irregular Plural,men,committee,11.42038345336914,12.143453598022461
Irregular Plural,men,register,11.42038345336914,12.378812789916992
Irregular Plural,men,finder,11.420380592346191,17.151355743408203
Irregular Plural,men,hangout,11.420380592346191,18.404597282409668
Regular Singular,boy,committee,14.774957656860352,11.10894775390625
Regular Singular,boy,register,14.774957656860352,12.259809494018555
Regular Singular,boy,finder,14.774949073791504,13.996466636657715
Regular Singular,boy,hangout,14.774949073791504,18.168392181396484
Regular Plural,boys,committee,13.371702194213867,12.11255931854248
Regular Plural,boys,register,13.371702194213867,12.136632919311523
Regular Plural,boys,finder,13.37169075012207,17.575270652770996
Regular Plural,boys,hangout,13.37169075012207,17.77122163772583
Irregular Singular,salesman,committee,25.365413665771484,10.348578453063965
Irregular Singular,salesman,inspector,25.365413665771484,12.982135534286499
Irregular Singular,salesman,protector,25.365413665771484,15.801954746246338
Irregular Singular,salesman,employer,25.365413665771484,14.078883647918701
Irregular Plural,salesmen,committee,24.860212802886963,11.14548110961914
Irregular Plural,salesmen,inspector,24.860212802886963,14.079918384552002
Irregular Plural,salesmen,protector,24.860212802886963,18.311482429504395
Irregular Plural,salesmen,employer,24.860212802886963,14.736769199371338
Regular Singular,retailer,committee,25.90016746520996,10.841886520385742
Regular Singular,retailer,inspector,25.90016746520996,11.46202301979065
Regular Singular,retailer,protector,25.90016746520996,13.356657028198242
Regular Singular,retailer,employer,25.90016746520996,12.850341796875
Regular Plural,retailers,committee,26.904288291931152,10.815150260925293
Regular Plural,retailers,inspector,26.904288291931152,14.062566757202148
Regular Plural,retailers,protector,26.904288291931152,17.34840726852417
Regular Plural,retailers,employer,26.904288291931152,14.643832683563232
Irregular Singular,nobleman,patrol,23.935970783233643,11.577921867370605
Irregular Singular,nobleman,hangout,23.935970783233643,16.47790002822876
Irregular Singular,nobleman,committee,23.935970783233643,11.26708984375
Irregular Singular,nobleman,brigade,23.935970783233643,13.438777446746826
Irregular Plural,noblemen,patrol,22.383301258087158,11.182284355163574
Irregular Plural,noblemen,hangout,22.383301258087158,16.810808181762695
Irregular Plural,noblemen,committee,22.383301258087158,12.30014705657959
Irregular Plural,noblemen,brigade,22.383301258087158,13.165015459060669
Regular Singular,aristocrat,patrol,27.18715238571167,12.715997695922852
Regular Singular,aristocrat,hangout,27.18715238571167,15.478790760040283
Regular Singular,aristocrat,committee,27.18715238571167,9.780059814453125
Regular Singular,aristocrat,brigade,27.18715238571167,12.667814016342163
Regular Plural,aristocrats,patrol,27.1104975938797,12.672346115112305
Regular Plural,aristocrats,hangout,27.1104975938797,17.058876991271973
Regular Plural,aristocrats,committee,27.1104975938797,9.914137840270996
