Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,14.17326545715332,14.414918184280396
Irregular Singular,goose,trader,14.17326545715332,16.685101985931396
Irregular Singular,goose,tracker,14.17326545715332,16.378279209136963
Irregular Singular,goose,expert,14.17326545715332,14.036100387573242
Irregular Plural,geese,protector,13.961232662200928,13.302533149719238
Irregular Plural,geese,trader,13.961232662200928,13.326787948608398
Irregular Plural,geese,tracker,13.961232662200928,16.083728790283203
Irregular Plural,geese,expert,13.961232662200928,9.192869186401367
Regular Singular,swan,protector,15.974190711975098,13.554896354675293
Regular Singular,swan,trader,15.974190711975098,14.330892086029053
Regular Singular,swan,tracker,15.974190711975098,14.787721633911133
Regular Singular,swan,expert,15.974190711975098,11.778456687927246
Regular Plural,swans,protector,15.59238338470459,18.122551918029785
Regular Plural,swans,trader,15.59238338470459,18.334871768951416
Regular Plural,swans,tracker,15.59238338470459,17.896761417388916
Regular Plural,swans,expert,15.59238338470459,14.996293067932129
Irregular Singular,ox,register,13.521754264831543,11.294634819030762
Irregular Singular,ox,trader,13.521753311157227,13.750036239624023
Irregular Singular,ox,tracker,13.521753311157227,18.660600662231445
Irregular Singular,ox,finder,13.521753311157227,17.9470796585083
Irregular Plural,oxen,register,13.235061645507812,12.031567573547363
Irregular Plural,oxen,trader,13.235061645507812,16.344854831695557
Irregular Plural,oxen,tracker,13.235061645507812,17.915151596069336
Irregular Plural,oxen,finder,13.235061645507812,19.879255294799805
Regular Singular,cow,register,11.505239486694336,10.846661567687988
Regular Singular,cow,trader,11.505239486694336,15.547718048095703
Regular Singular,cow,tracker,11.505239486694336,16.93515110015869
Regular Singular,cow,finder,11.505239486694336,19.208956718444824
Regular Plural,cows,register,11.488527297973633,12.017293930053711
Regular Plural,cows,trader,11.48852825164795,17.108524322509766
Regular Plural,cows,tracker,11.48852825164795,17.97835111618042
Regular Plural,cows,finder,11.48852825164795,18.9391770362854
Irregular Singular,louse,issue,16.899398803710938,13.094921112060547
Irregular Singular,louse,trader,16.899398803710938,14.55637812614441
Irregular Singular,louse,tracker,16.899398803710938,16.49463129043579
Irregular Singular,louse,expert,16.899398803710938,14.021728515625
Irregular Plural,lice,issue,16.09294843673706,12.49664306640625
Irregular Plural,lice,trader,16.09294843673706,16.835816860198975
Irregular Plural,lice,tracker,16.09294843673706,16.168248653411865
Irregular Plural,lice,expert,16.09294843673706,12.656795501708984
Regular Singular,flea,issue,14.51203179359436,12.821075439453125
Regular Singular,flea,trader,14.51203179359436,12.851642608642578
Regular Singular,flea,tracker,14.51203179359436,13.859199523925781
Regular Singular,flea,expert,14.51203179359436,12.509730339050293
Regular Plural,fleas,issue,18.275986194610596,12.394607543945312
Regular Plural,fleas,trader,18.275986194610596,17.236557006835938
Regular Plural,fleas,tracker,18.275986194610596,16.55784320831299
Regular Plural,fleas,expert,18.275986194610596,13.736257553100586
Irregular Singular,mouse,issue,12.245528221130371,12.430582046508789
Irregular Singular,mouse,trader,12.245527267456055,17.395421981811523
Irregular Singular,mouse,tracker,12.245527267456055,17.90392780303955
Irregular Singular,mouse,inspector,12.245528221130371,14.614389419555664
Irregular Plural,mice,issue,12.363341331481934,14.521647453308105
Irregular Plural,mice,trader,12.363340377807617,18.01390552520752
Irregular Plural,mice,tracker,12.363340377807617,19.654982566833496
Irregular Plural,mice,inspector,12.363341331481934,16.129600524902344
Regular Singular,rat,issue,15.230710983276367,9.957841873168945
Regular Singular,rat,trader,15.230709075927734,14.366750717163086
Regular Singular,rat,tracker,15.230709075927734,16.79932689666748
Regular Singular,rat,inspector,15.230710983276367,12.848044395446777
Regular Plural,rats,issue,12.970491409301758,14.147832870483398
Regular Plural,rats,trader,12.97049331665039,17.727582931518555
Regular Plural,rats,tracker,12.97049331665039,17.951555728912354
Regular Plural,rats,inspector,12.970491409301758,14.293489456176758
Irregular Singular,foot,issue,10.821150779724121,12.735955238342285
Irregular Singular,foot,examination,10.821150779724121,12.973663330078125
Irregular Singular,foot,expert,10.821150779724121,13.079570770263672
Irregular Singular,foot,inspector,10.821150779724121,13.345953941345215
Irregular Plural,feet,issue,10.620962142944336,14.300271987915039
Irregular Plural,feet,examination,10.620962142944336,15.021651268005371
Irregular Plural,feet,expert,10.620962142944336,14.413080215454102
Irregular Plural,feet,inspector,10.620962142944336,15.472262382507324
Regular Singular,leg,issue,12.332231521606445,10.481477737426758
Regular Singular,leg,examination,12.332231521606445,12.289259910583496
Regular Singular,leg,expert,12.332231521606445,11.041232109069824
Regular Singular,leg,inspector,12.332231521606445,11.754859924316406
Regular Plural,legs,issue,11.274249076843262,13.518533706665039
Regular Plural,legs,examination,11.274249076843262,15.239277839660645
Regular Plural,legs,expert,11.274249076843262,14.438947677612305
Regular Plural,legs,inspector,11.274249076843262,16.72002410888672
Irregular Singular,tooth,issue,13.137458801269531,12.066873550415039
Irregular Singular,tooth,examination,13.137458801269531,11.31669807434082
Irregular Singular,tooth,expert,13.137458801269531,12.5750150680542
Irregular Singular,tooth,protector,13.137457847595215,15.763957977294922
Irregular Plural,teeth,issue,12.78261947631836,12.580976486206055
Irregular Plural,teeth,examination,12.78261947631836,13.490951538085938
Irregular Plural,teeth,expert,12.78261947631836,14.343233108520508
Irregular Plural,teeth,protector,12.782622337341309,14.840924263000488
Regular Singular,bone,issue,12.132149696350098,12.316709518432617
Regular Singular,bone,examination,12.132149696350098,13.698507308959961
Regular Singular,bone,expert,12.132149696350098,11.672204971313477
Regular Singular,bone,protector,12.13215160369873,13.624597072601318
Regular Plural,bones,issue,12.823932647705078,13.300942420959473
Regular Plural,bones,examination,12.823932647705078,14.535971641540527
Regular Plural,bones,expert,12.823932647705078,13.198972702026367
Regular Plural,bones,protector,12.823932647705078,14.894630908966064
Irregular Singular,child,patrol,10.190390586853027,12.572556495666504
Irregular Singular,child,register,10.190390586853027,14.900917053222656
Irregular Singular,child,institute,10.190391540527344,14.610355615615845
Irregular Singular,child,crew,10.190390586853027,12.49594497680664
Irregular Plural,children,patrol,8.613853454589844,13.024246215820312
Irregular Plural,children,register,8.613853454589844,13.424066543579102
Irregular Plural,children,institute,8.61385440826416,14.779727458953857
Irregular Plural,children,crew,8.613853454589844,13.572942733764648
Regular Singular,adult,patrol,12.787961959838867,11.788249015808105
Regular Singular,adult,register,12.787961959838867,13.633909225463867
Regular Singular,adult,institute,12.787962913513184,13.280304670333862
Regular Singular,adult,crew,12.787961959838867,9.96731185913086
Regular Plural,adults,patrol,11.686789512634277,12.414597511291504
Regular Plural,adults,register,11.686789512634277,11.817938804626465
Regular Plural,adults,institute,11.686789512634277,14.430586814880371
Regular Plural,adults,crew,11.686789512634277,13.355199813842773
Irregular Singular,woman,protector,10.658656120300293,16.10092306137085
Irregular Singular,woman,register,10.658656120300293,15.095343589782715
Irregular Singular,woman,hangout,10.658656120300293,19.146525382995605
Irregular Singular,woman,crew,10.658656120300293,12.918609619140625
Irregular Plural,women,protector,10.523561477661133,16.004481315612793
Irregular Plural,women,register,10.523561477661133,12.432998657226562
Irregular Plural,women,hangout,10.523561477661133,18.192174911499023
Irregular Plural,women,crew,10.523561477661133,12.73609733581543
Regular Singular,girl,protector,9.369382858276367,18.815157890319824
Regular Singular,girl,register,9.369382858276367,14.243753433227539
Regular Singular,girl,hangout,9.369382858276367,18.829540252685547
Regular Singular,girl,crew,9.369382858276367,12.11556625366211
Regular Plural,girls,protector,9.431927680969238,21.622697830200195
Regular Plural,girls,register,9.431926727294922,12.975662231445312
Regular Plural,girls,hangout,9.431927680969238,20.547407150268555
Regular Plural,girls,crew,9.431926727294922,13.554485321044922
Irregular Singular,man,institute,8.616484642028809,14.731250762939453
Irregular Singular,man,register,8.616483688354492,12.666690826416016
Irregular Singular,man,finder,8.616484642028809,21.081109046936035
Irregular Singular,man,hangout,8.616484642028809,19.12319564819336
Irregular Plural,men,institute,8.779848098754883,14.987211227416992
Irregular Plural,men,register,8.779848098754883,12.610055923461914
Irregular Plural,men,finder,8.779848098754883,18.829230308532715
Irregular Plural,men,hangout,8.779848098754883,18.9330997467041
Regular Singular,boy,institute,8.675480842590332,14.881977796554565
Regular Singular,boy,register,8.675481796264648,15.452245712280273
Regular Singular,boy,finder,8.675480842590332,20.49365234375
Regular Singular,boy,hangout,8.675480842590332,19.95616912841797
Regular Plural,boys,institute,9.294792175292969,14.841145992279053
Regular Plural,boys,register,9.294792175292969,13.309548377990723
Regular Plural,boys,finder,9.294792175292969,20.599419593811035
Regular Plural,boys,hangout,9.294792175292969,20.231120109558105
Irregular Singular,salesman,institute,15.053703784942627,12.77988052368164
Irregular Singular,salesman,inspector,15.053703784942627,10.138205528259277
Irregular Singular,salesman,protector,15.053703784942627,14.068094253540039
Irregular Singular,salesman,employer,15.053703784942627,10.656249761581421
Irregular Plural,salesmen,institute,18.468942642211914,13.056509971618652
Irregular Plural,salesmen,inspector,18.468942642211914,12.357248306274414
Irregular Plural,salesmen,protector,18.468942642211914,14.374544143676758
Irregular Plural,salesmen,employer,18.468942642211914,13.117641925811768
Regular Singular,retailer,institute,19.006986141204834,15.417781591415405
Regular Singular,retailer,inspector,19.006986141204834,12.887201309204102
Regular Singular,retailer,protector,19.006986141204834,12.901852369308472
Regular Singular,retailer,employer,19.006986141204834,11.664597988128662
Regular Plural,retailers,institute,18.54317045211792,14.73842740058899
Regular Plural,retailers,inspector,18.54317045211792,13.818359375
Regular Plural,retailers,protector,18.54317045211792,16.186939239501953
Regular Plural,retailers,employer,18.54317045211792,15.495121002197266
Irregular Singular,nobleman,patrol,15.58142614364624,11.477630615234375
Irregular Singular,nobleman,hangout,15.58142614364624,17.49696397781372
Irregular Singular,nobleman,institute,15.58142614364624,14.282049179077148
Irregular Singular,nobleman,crew,15.58142614364624,11.66346263885498
Irregular Plural,noblemen,patrol,19.81723117828369,11.803535461425781
Irregular Plural,noblemen,hangout,19.81723117828369,17.322769165039062
Irregular Plural,noblemen,institute,19.81723117828369,14.407992839813232
Irregular Plural,noblemen,crew,19.81723117828369,12.121902465820312
Regular Singular,aristocrat,patrol,26.652583122253418,11.465028762817383
Regular Singular,aristocrat,hangout,26.652583122253418,16.998480796813965
Regular Singular,aristocrat,institute,26.652583122253418,12.136403322219849
Regular Singular,aristocrat,crew,26.652583122253418,10.673734664916992
Regular Plural,aristocrats,patrol,20.732028007507324,10.63399600982666
Regular Plural,aristocrats,hangout,20.732028007507324,17.186164379119873
