Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,16.54948139190674,13.983938217163086
Irregular Singular,goose,trader,16.54948139190674,12.760722160339355
Irregular Singular,goose,tracker,16.54948139190674,12.924365997314453
Irregular Singular,goose,expert,16.54948139190674,11.375188827514648
Irregular Plural,geese,protector,17.29572105407715,14.363198280334473
Irregular Plural,geese,trader,17.29572105407715,14.948951721191406
Irregular Plural,geese,tracker,17.29572105407715,13.37104320526123
Irregular Plural,geese,expert,17.29572105407715,10.04352855682373
Regular Singular,swan,protector,16.450316429138184,15.026713371276855
Regular Singular,swan,trader,16.450316429138184,11.713363647460938
Regular Singular,swan,tracker,16.450316429138184,13.813475608825684
Regular Singular,swan,expert,16.450316429138184,11.348039627075195
Regular Plural,swans,protector,18.497161865234375,15.663719177246094
Regular Plural,swans,trader,18.497161865234375,13.547670364379883
Regular Plural,swans,tracker,18.497161865234375,15.002359390258789
Regular Plural,swans,expert,18.497161865234375,11.262868881225586
Irregular Singular,ox,register,13.85116958618164,12.429729461669922
Irregular Singular,ox,trader,13.85116958618164,13.528861999511719
Irregular Singular,ox,tracker,13.85116958618164,14.881505966186523
Irregular Singular,ox,finder,13.851175308227539,12.156410455703735
Irregular Plural,oxen,register,18.543663024902344,12.524819374084473
Irregular Plural,oxen,trader,18.543663024902344,13.739295959472656
Irregular Plural,oxen,tracker,18.543663024902344,14.624322891235352
Irregular Plural,oxen,finder,18.543667793273926,12.728825092315674
Regular Singular,cow,register,16.375850677490234,11.620542526245117
Regular Singular,cow,trader,16.375850677490234,11.655755996704102
Regular Singular,cow,tracker,16.375850677490234,11.770126342773438
Regular Singular,cow,finder,16.37584686279297,9.946639060974121
Regular Plural,cows,register,18.1376895904541,11.81529426574707
Regular Plural,cows,trader,18.1376895904541,14.189802169799805
Regular Plural,cows,tracker,18.1376895904541,15.422774314880371
Regular Plural,cows,finder,18.137690544128418,15.16815185546875
Irregular Singular,louse,issue,17.05293369293213,8.824233055114746
Irregular Singular,louse,trader,17.05293369293213,14.3167085647583
Irregular Singular,louse,tracker,17.05293369293213,10.174473762512207
Irregular Singular,louse,expert,17.05293369293213,7.858675003051758
Irregular Plural,lice,issue,15.683465957641602,11.066267967224121
Irregular Plural,lice,trader,15.683465957641602,12.828431129455566
Irregular Plural,lice,tracker,15.683465957641602,15.175444602966309
Irregular Plural,lice,expert,15.683465957641602,11.461158752441406
Regular Singular,flea,issue,17.082291841506958,9.106257438659668
Regular Singular,flea,trader,17.082291841506958,11.626282691955566
Regular Singular,flea,tracker,17.082291841506958,10.989703178405762
Regular Singular,flea,expert,17.082291841506958,7.379093170166016
Regular Plural,fleas,issue,18.377665996551514,10.832610130310059
