Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,18.60182476043701,13.019416809082031
Irregular Singular,goose,trader,18.60182476043701,13.901966094970703
Irregular Singular,goose,tracker,18.60182476043701,14.769117832183838
Irregular Singular,goose,expert,18.60182476043701,11.870238304138184
Irregular Plural,geese,protector,20.877119064331055,12.833084106445312
Irregular Plural,geese,trader,20.877119064331055,10.779577255249023
Irregular Plural,geese,tracker,20.877119064331055,13.069583892822266
Irregular Plural,geese,expert,20.877119064331055,8.551380157470703
Regular Singular,swan,protector,11.270803451538086,13.348020553588867
Regular Singular,swan,trader,11.270803451538086,11.720623970031738
Regular Singular,swan,tracker,11.270803451538086,12.10936450958252
Regular Singular,swan,expert,11.270803451538086,10.837471961975098
Regular Plural,swans,protector,14.78545331954956,17.927054405212402
Regular Plural,swans,trader,14.78545331954956,13.859904289245605
Regular Plural,swans,tracker,14.78545331954956,17.482747077941895
Regular Plural,swans,expert,14.78545331954956,10.530223846435547
Irregular Singular,ox,register,13.992006301879883,10.589287757873535
Irregular Singular,ox,trader,13.99200439453125,14.94536304473877
Irregular Singular,ox,tracker,13.99200439453125,17.21933937072754
Irregular Singular,ox,finder,13.99200439453125,17.305638313293457
Irregular Plural,oxen,register,18.291399002075195,11.429228782653809
Irregular Plural,oxen,trader,18.291399002075195,12.686734199523926
Irregular Plural,oxen,tracker,18.291399002075195,14.717340469360352
Irregular Plural,oxen,finder,18.291399002075195,18.130472660064697
Regular Singular,cow,register,12.564427375793457,14.625161170959473
Regular Singular,cow,trader,12.56442642211914,13.281591415405273
Regular Singular,cow,tracker,12.56442642211914,13.938228607177734
Regular Singular,cow,finder,12.56442642211914,16.634600162506104
Regular Plural,cows,register,17.7656569480896,12.876347541809082
Regular Plural,cows,trader,17.7656569480896,15.034086227416992
Regular Plural,cows,tracker,17.7656569480896,17.047906398773193
Regular Plural,cows,finder,17.7656569480896,18.38573455810547
Irregular Singular,louse,issue,17.710341930389404,11.58263874053955
Irregular Singular,louse,trader,17.710341930389404,14.434723854064941
Irregular Singular,louse,tracker,17.710341930389404,15.206316947937012
Irregular Singular,louse,expert,17.710341930389404,12.202760696411133
Irregular Plural,lice,issue,17.240187168121338,11.802367210388184
Irregular Plural,lice,trader,17.240187168121338,12.710944175720215
Irregular Plural,lice,tracker,17.240187168121338,15.007291793823242
Irregular Plural,lice,expert,17.240187168121338,11.237957954406738
Regular Singular,flea,issue,24.768885612487793,10.940865516662598
Regular Singular,flea,trader,24.768885612487793,12.695960998535156
Regular Singular,flea,tracker,24.768885612487793,13.403806686401367
Regular Singular,flea,expert,24.768885612487793,12.044509887695312
Regular Plural,fleas,issue,21.284506797790527,11.679924011230469
Regular Plural,fleas,trader,21.284506797790527,13.921706199645996
Regular Plural,fleas,tracker,21.284506797790527,14.04869270324707
Regular Plural,fleas,expert,21.284506797790527,11.805802345275879
Irregular Singular,mouse,issue,18.21257448196411,11.230606079101562
Irregular Singular,mouse,trader,18.21257448196411,14.8401460647583
Irregular Singular,mouse,tracker,18.21257448196411,15.387876510620117
