Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,20.50932788848877,13.286720275878906
Irregular Singular,goose,trader,20.50932788848877,14.826520919799805
Irregular Singular,goose,tracker,20.50932788848877,15.660857677459717
Irregular Singular,goose,expert,20.50932788848877,10.319969177246094
Irregular Plural,geese,protector,17.879353523254395,12.78434944152832
Irregular Plural,geese,trader,17.879353523254395,12.016129493713379
Irregular Plural,geese,tracker,17.879353523254395,14.510261058807373
Irregular Plural,geese,expert,17.879353523254395,11.702762603759766
Regular Singular,swan,protector,20.116568565368652,14.382555484771729
Regular Singular,swan,trader,20.116568565368652,13.085609436035156
Regular Singular,swan,tracker,20.116568565368652,16.22541570663452
Regular Singular,swan,expert,20.116568565368652,11.852020263671875
Regular Plural,swans,protector,21.095001220703125,14.531155586242676
Regular Plural,swans,trader,21.095001220703125,12.985833168029785
Regular Plural,swans,tracker,21.095001220703125,16.675703525543213
Regular Plural,swans,expert,21.095001220703125,11.964529037475586
Irregular Singular,ox,register,12.670270919799805,10.8296537399292
Irregular Singular,ox,trader,12.670272827148438,12.650318145751953
Irregular Singular,ox,tracker,12.670272827148438,16.979175567626953
Irregular Singular,ox,finder,12.670272827148438,15.657598972320557
Irregular Plural,oxen,register,16.32129955291748,11.652963638305664
Irregular Plural,oxen,trader,16.32129955291748,12.558409690856934
Irregular Plural,oxen,tracker,16.32129955291748,16.794798851013184
Irregular Plural,oxen,finder,16.32129955291748,17.61089038848877
Regular Singular,cow,register,14.676373958587646,12.712157249450684
Regular Singular,cow,trader,14.676373958587646,13.646063804626465
Regular Singular,cow,tracker,14.676373958587646,16.181654930114746
Regular Singular,cow,finder,14.676373958587646,17.04209566116333
Regular Plural,cows,register,14.337753772735596,12.55251407623291
Regular Plural,cows,trader,14.337753772735596,14.803828239440918
Regular Plural,cows,tracker,14.337753772735596,16.556667804718018
Regular Plural,cows,finder,14.337753772735596,16.857280731201172
Irregular Singular,louse,issue,18.855217933654785,12.46873664855957
Irregular Singular,louse,trader,18.855217933654785,12.745645523071289
Irregular Singular,louse,tracker,18.855217933654785,16.420957565307617
Irregular Singular,louse,expert,18.855217933654785,11.151986122131348
Irregular Plural,lice,issue,17.64777898788452,11.731042861938477
Irregular Plural,lice,trader,17.64777898788452,13.103015899658203
Irregular Plural,lice,tracker,17.64777898788452,15.368943691253662
Irregular Plural,lice,expert,17.64777898788452,11.590092658996582
Regular Singular,flea,issue,20.45596694946289,11.776227951049805
Regular Singular,flea,trader,20.45596694946289,13.08002758026123
Regular Singular,flea,tracker,20.45596694946289,16.605310440063477
Regular Singular,flea,expert,20.45596694946289,12.792058944702148
Regular Plural,fleas,issue,20.215968132019043,13.254220962524414
Regular Plural,fleas,trader,20.215968132019043,12.25207805633545
Regular Plural,fleas,tracker,20.215968132019043,17.007039546966553
Regular Plural,fleas,expert,20.215968132019043,11.989985466003418
Irregular Singular,mouse,issue,20.981270790100098,12.556967735290527
Irregular Singular,mouse,trader,20.981270790100098,13.056208610534668
Irregular Singular,mouse,tracker,20.981270790100098,16.566768169403076
Irregular Singular,mouse,inspector,20.981270790100098,10.892441749572754
Irregular Plural,mice,issue,18.24928855895996,11.696757316589355
Irregular Plural,mice,trader,18.24928855895996,13.5550537109375
Irregular Plural,mice,tracker,18.24928855895996,15.356307983398438
Irregular Plural,mice,inspector,18.24928855895996,10.439970016479492
Regular Singular,rat,issue,12.098034858703613,12.709216117858887
Regular Singular,rat,trader,12.098036766052246,13.280040740966797
Regular Singular,rat,tracker,12.098036766052246,17.463134765625
Regular Singular,rat,inspector,12.098036766052246,11.123998641967773
Regular Plural,rats,issue,14.598554611206055,12.280379295349121
Regular Plural,rats,trader,14.598554611206055,14.475784301757812
Regular Plural,rats,tracker,14.598554611206055,16.977970600128174
Regular Plural,rats,inspector,14.598554611206055,12.418913841247559
Irregular Singular,foot,issue,12.59691333770752,12.493098258972168
Irregular Singular,foot,examination,12.596914291381836,11.711163520812988
Irregular Singular,foot,expert,12.59691333770752,11.884784698486328
Irregular Singular,foot,inspector,12.596914291381836,11.983231544494629
Irregular Plural,feet,issue,17.889548778533936,12.254197120666504
Irregular Plural,feet,examination,17.889548778533936,11.665242195129395
Irregular Plural,feet,expert,17.889548778533936,11.884613037109375
Irregular Plural,feet,inspector,17.889548778533936,11.667257308959961
Regular Singular,leg,issue,16.15268325805664,12.957472801208496
Regular Singular,leg,examination,16.152685165405273,11.46728515625
Regular Singular,leg,expert,16.15268325805664,13.637537002563477
Regular Singular,leg,inspector,16.152685165405273,13.991347312927246
Regular Plural,legs,issue,19.31040859222412,12.634254455566406
Regular Plural,legs,examination,19.31040859222412,13.708282470703125
Regular Plural,legs,expert,19.31040859222412,13.030208587646484
Regular Plural,legs,inspector,19.31040859222412,12.213140487670898
Irregular Singular,tooth,issue,19.719648361206055,13.359193801879883
Irregular Singular,tooth,examination,19.719648361206055,12.964119911193848
Irregular Singular,tooth,expert,19.719648361206055,12.726337432861328
Irregular Singular,tooth,protector,19.719648361206055,14.81579303741455
Irregular Plural,teeth,issue,18.981021881103516,11.46243953704834
