Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,20.549798011779785,14.639262199401855
Irregular Singular,goose,trader,20.549798011779785,13.311054229736328
Irregular Singular,goose,tracker,20.549798011779785,15.191706657409668
Irregular Singular,goose,expert,20.549798011779785,10.732751846313477
Irregular Plural,geese,protector,23.930880546569824,14.32966661453247
Irregular Plural,geese,trader,23.930880546569824,12.752055644989014
Irregular Plural,geese,tracker,23.930880546569824,15.508879661560059
Irregular Plural,geese,expert,23.930880546569824,11.32636833190918
Regular Singular,swan,protector,19.67295789718628,14.9699125289917
Regular Singular,swan,trader,19.67295789718628,13.213356971740723
Regular Singular,swan,tracker,19.67295789718628,16.439032077789307
Regular Singular,swan,expert,19.67295789718628,12.786340713500977
Regular Plural,swans,protector,21.245367527008057,14.855855941772461
Regular Plural,swans,trader,21.245367527008057,14.252020359039307
Regular Plural,swans,tracker,21.245367527008057,16.580095291137695
Regular Plural,swans,expert,21.245367527008057,14.199629783630371
Irregular Singular,ox,register,16.085594177246094,10.563809871673584
Irregular Singular,ox,trader,16.085594177246094,12.308473587036133
Irregular Singular,ox,tracker,16.085594177246094,16.601911067962646
Irregular Singular,ox,finder,16.085594177246094,14.467586040496826
Irregular Plural,oxen,register,22.927244186401367,11.078125953674316
Irregular Plural,oxen,trader,22.927244186401367,12.514610290527344
Irregular Plural,oxen,tracker,22.927244186401367,16.291354179382324
Irregular Plural,oxen,finder,22.927244186401367,14.12106990814209
Regular Singular,cow,register,17.963572025299072,12.159106254577637
Regular Singular,cow,trader,17.963572025299072,16.186678886413574
Regular Singular,cow,tracker,17.963572025299072,16.594001293182373
Regular Singular,cow,finder,17.963572025299072,15.883612155914307
Regular Plural,cows,register,18.587566375732422,11.324003219604492
Regular Plural,cows,trader,18.587566375732422,15.450932502746582
Regular Plural,cows,tracker,18.587566375732422,15.731468200683594
Regular Plural,cows,finder,18.587566375732422,14.260665893554688
Irregular Singular,louse,issue,18.536056518554688,11.666778564453125
Irregular Singular,louse,trader,18.536056518554688,14.524110317230225
Irregular Singular,louse,tracker,18.536056518554688,16.299354076385498
Irregular Singular,louse,expert,18.536056518554688,12.903080940246582
Irregular Plural,lice,issue,16.712757110595703,11.104989051818848
Irregular Plural,lice,trader,16.712757110595703,14.814361572265625
Irregular Plural,lice,tracker,16.712757110595703,15.961657524108887
Irregular Plural,lice,expert,16.712757110595703,12.26573371887207
Regular Singular,flea,issue,20.17665719985962,12.422176361083984
Regular Singular,flea,trader,20.176661014556885,12.908514976501465
Regular Singular,flea,tracker,20.176661014556885,16.66260862350464
Regular Singular,flea,expert,20.176661014556885,12.61800765991211
Regular Plural,fleas,issue,20.711978435516357,13.08635139465332
Regular Plural,fleas,trader,20.71198272705078,14.322568416595459
Regular Plural,fleas,tracker,20.71198272705078,16.415926456451416
Regular Plural,fleas,expert,20.71198272705078,12.427070617675781
Irregular Singular,mouse,issue,17.891071319580078,11.694650650024414
Irregular Singular,mouse,trader,17.891071319580078,14.073219776153564
Irregular Singular,mouse,tracker,17.891071319580078,16.25627040863037
Irregular Singular,mouse,inspector,17.89107084274292,14.507808685302734
Irregular Plural,mice,issue,17.10835075378418,11.14151382446289
Irregular Plural,mice,trader,17.10835075378418,14.418688774108887
Irregular Plural,mice,tracker,17.10835075378418,15.907329559326172
Irregular Plural,mice,inspector,17.108352661132812,14.609358787536621
Regular Singular,rat,issue,16.525776386260986,12.554075241088867
Regular Singular,rat,trader,16.525776386260986,15.210400104522705
Regular Singular,rat,tracker,16.525776386260986,17.195680618286133
Regular Singular,rat,inspector,16.52577781677246,14.612324714660645
Regular Plural,rats,issue,16.71375274658203,13.387451171875
Regular Plural,rats,trader,16.71375274658203,15.08833122253418
Regular Plural,rats,tracker,16.71375274658203,16.709001064300537
Regular Plural,rats,inspector,16.713753700256348,14.684576034545898
Irregular Singular,foot,issue,11.843937873840332,11.994246482849121
Irregular Singular,foot,examination,11.843936920166016,14.867856979370117
Irregular Singular,foot,expert,11.843936920166016,13.615168571472168
Irregular Singular,foot,inspector,11.843936920166016,15.20993709564209
Irregular Plural,feet,issue,20.073759078979492,10.618390083312988
Irregular Plural,feet,examination,20.073764324188232,12.907164096832275
Irregular Plural,feet,expert,20.073759078979492,11.911632537841797
Irregular Plural,feet,inspector,20.073764324188232,14.737809181213379
Regular Singular,leg,issue,18.931039810180664,12.017273902893066
Regular Singular,leg,examination,18.931042671203613,14.70658254623413
Regular Singular,leg,expert,18.931039810180664,12.805903434753418
Regular Singular,leg,inspector,18.931042671203613,15.32532024383545
Regular Plural,legs,issue,20.71675729751587,12.259429931640625
Regular Plural,legs,examination,20.716760635375977,13.141350269317627
Regular Plural,legs,expert,20.71675729751587,12.997759819030762
Regular Plural,legs,inspector,20.716760635375977,13.858910083770752
Irregular Singular,tooth,issue,18.902202129364014,12.116988182067871
Irregular Singular,tooth,examination,18.90220546722412,12.216038227081299
